period,store,channel,sessions,users,vdp_views,form_submissions,click_to_call,conversions
2024-11,Chevrolet Cranberry,cars.com / referral,1421,1096,4273,21,15,36
2024-11,Chevrolet Cranberry,direct / (none),3795,2789,3168,30,48,78
2024-11,Chevrolet Cranberry,email / newsletter,595,472,975,13,3,16
2024-11,Chevrolet Cranberry,facebook / paid,3149,2448,2583,9,10,19
2024-11,Chevrolet Cranberry,google / cpc,3270,2366,5347,49,82,131
2024-11,Chevrolet Cranberry,google / organic,9070,6881,23230,76,95,171
2024-11,Chevrolet Cranberry,iHeartMedia / radio,1836,1296,2751,12,25,37
2024-11,Honda Monroeville,autotrader / referral,896,664,2272,6,3,9
2024-11,Honda Monroeville,bing / cpc,663,530,1140,6,8,14
2024-11,Honda Monroeville,cars.com / referral,1233,887,3789,21,14,35
2024-11,Honda Monroeville,direct / (none),2569,1873,2302,18,24,42
2024-11,Honda Monroeville,email / newsletter,418,301,664,8,2,10
2024-11,Honda Monroeville,facebook / paid,2403,1920,2050,6,8,14
2024-11,Honda Monroeville,google / cpc,2512,1931,4151,36,47,83
2024-11,Honda Monroeville,google / organic,7170,5377,17001,61,85,146
2024-11,Honda Monroeville,iHeartMedia / radio,1461,1141,2286,10,20,30
2024-11,Nissan Boardman,autotrader / referral,1382,1103,3692,8,5,13
2024-11,Nissan Boardman,bing / cpc,1265,902,2175,11,16,27
2024-11,Nissan Boardman,cars.com / referral,2185,1630,7270,37,24,61
2024-11,Nissan Boardman,direct / (none),4433,3369,4022,34,49,83
2024-11,Nissan Boardman,email / newsletter,808,586,1502,17,4,21
2024-11,Nissan Boardman,facebook / paid,4528,3492,3566,16,18,34
2024-11,Nissan Boardman,google / cpc,4214,3129,7103,65,93,158
2024-11,Nissan Boardman,google / organic,14038,11104,33613,136,205,341
2024-11,Nissan Boardman,iHeartMedia / radio,2740,1950,4853,16,39,55
2024-12,Chevrolet Cranberry,autotrader / referral,1264,1010,3792,10,6,16
2024-12,Chevrolet Cranberry,bing / cpc,961,751,1506,10,13,23
2024-12,Chevrolet Cranberry,cars.com / referral,1646,1293,5609,26,13,39
2024-12,Chevrolet Cranberry,direct / (none),3925,3043,3456,27,35,62
2024-12,Chevrolet Cranberry,email / newsletter,224,169,341,5,1,6
2024-12,Chevrolet Cranberry,facebook / paid,3394,2582,3196,12,14,26
2024-12,Chevrolet Cranberry,google / cpc,3368,2605,6179,52,77,129
2024-12,Chevrolet Cranberry,google / organic,11264,8899,26269,95,121,216
2024-12,Chevrolet Cranberry,iHeartMedia / radio,1692,1239,3295,10,22,32
2024-12,Honda Monroeville,autotrader / referral,917,705,2689,4,2,6
2024-12,Honda Monroeville,bing / cpc,726,551,1060,7,10,17
2024-12,Honda Monroeville,cars.com / referral,1308,1017,3864,20,14,34
2024-12,Honda Monroeville,direct / (none),2996,2367,2589,19,24,43
2024-12,Honda Monroeville,email / newsletter,164,127,272,4,1,5
2024-12,Honda Monroeville,facebook / paid,3110,2367,2831,12,14,26
2024-12,Honda Monroeville,google / cpc,3203,2502,5100,48,64,112
2024-12,Honda Monroeville,google / organic,9364,6907,21681,96,136,232
2024-12,Honda Monroeville,iHeartMedia / radio,1567,1112,3114,9,22,31
2024-12,Nissan Boardman,autotrader / referral,1571,1230,4534,9,6,15
2024-12,Nissan Boardman,bing / cpc,1285,1008,1955,14,20,34
2024-12,Nissan Boardman,cars.com / referral,2633,1935,7862,46,29,75
2024-12,Nissan Boardman,direct / (none),5508,4351,4677,39,62,101
2024-12,Nissan Boardman,email / newsletter,316,223,510,8,2,10
2024-12,Nissan Boardman,facebook / paid,5247,3962,3994,19,21,40
2024-12,Nissan Boardman,google / cpc,5345,4172,8474,79,109,188
2024-12,Nissan Boardman,google / organic,16384,11928,39329,156,239,395
2024-12,Nissan Boardman,iHeartMedia / radio,2479,1816,4274,14,31,45
2025-01,Chevrolet Cranberry,autotrader / referral,1019,728,3438,6,4,10
2025-01,Chevrolet Cranberry,bing / cpc,746,580,902,9,12,21
2025-01,Chevrolet Cranberry,cars.com / referral,1470,1104,4729,23,15,38
2025-01,Chevrolet Cranberry,direct / (none),3383,2451,3256,22,30,52
2025-01,Chevrolet Cranberry,email / newsletter,561,421,808,16,5,21
2025-01,Chevrolet Cranberry,facebook / paid,3076,2233,3065,10,12,22
2025-01,Chevrolet Cranberry,google / cpc,3722,2767,7004,56,72,128
2025-01,Chevrolet Cranberry,google / organic,8945,6578,19867,95,137,232
2025-01,Honda Monroeville,autotrader / referral,731,558,2245,5,2,7
2025-01,Honda Monroeville,bing / cpc,612,436,779,8,9,17
2025-01,Honda Monroeville,cars.com / referral,1261,898,4216,20,10,30
2025-01,Honda Monroeville,direct / (none),2869,2212,2966,17,24,41
2025-01,Honda Monroeville,email / newsletter,448,322,692,11,4,15
2025-01,Honda Monroeville,facebook / paid,2423,1720,2120,8,10,18
2025-01,Honda Monroeville,google / cpc,2913,2042,5449,47,63,110
2025-01,Honda Monroeville,google / organic,7362,5244,15437,82,123,205
2025-01,Nissan Boardman,autotrader / referral,1478,1106,4468,11,5,16
2025-01,Nissan Boardman,bing / cpc,1122,833,1330,12,18,30
2025-01,Nissan Boardman,cars.com / referral,1922,1456,6445,34,19,53
2025-01,Nissan Boardman,direct / (none),4673,3546,4546,32,53,85
2025-01,Nissan Boardman,email / newsletter,660,464,1069,18,4,22
2025-01,Nissan Boardman,facebook / paid,4034,3054,3524,14,17,31
2025-01,Nissan Boardman,google / cpc,5010,3832,9989,85,115,200
2025-01,Nissan Boardman,google / organic,12001,9251,25333,129,210,339
2025-02,Chevrolet Cranberry,autotrader / referral,1104,869,3877,7,3,10
2025-02,Chevrolet Cranberry,bing / cpc,914,714,939,11,16,27
2025-02,Chevrolet Cranberry,cars.com / referral,1469,1141,4409,26,17,43
2025-02,Chevrolet Cranberry,direct / (none),3694,2671,4459,21,30,51
2025-02,Chevrolet Cranberry,email / newsletter,208,156,282,6,1,7
2025-02,Chevrolet Cranberry,facebook / paid,3365,2569,3523,15,20,35
2025-02,Chevrolet Cranberry,google / cpc,4532,3320,8855,64,104,168
2025-02,Chevrolet Cranberry,google / organic,9588,7051,18324,94,151,245
2025-02,Honda Monroeville,autotrader / referral,793,631,2757,5,3,8
2025-02,Honda Monroeville,bing / cpc,721,547,704,8,12,20
2025-02,Honda Monroeville,cars.com / referral,1264,991,4053,22,12,34
2025-02,Honda Monroeville,direct / (none),2531,2023,2674,15,21,36
2025-02,Honda Monroeville,email / newsletter,143,108,175,4,1,5
2025-02,Honda Monroeville,facebook / paid,2473,1904,2724,12,14,26
2025-02,Honda Monroeville,google / cpc,3723,2792,8177,55,86,141
2025-02,Honda Monroeville,google / organic,7180,5041,14655,77,118,195
2025-02,Nissan Boardman,autotrader / referral,1456,1030,4662,10,5,15
2025-02,Nissan Boardman,bing / cpc,1061,834,993,14,17,31
2025-02,Nissan Boardman,cars.com / referral,1931,1459,6357,31,17,48
2025-02,Nissan Boardman,direct / (none),5130,4092,4919,28,45,73
2025-02,Nissan Boardman,email / newsletter,262,192,327,7,2,9
2025-02,Nissan Boardman,facebook / paid,4097,2934,4087,15,19,34
2025-02,Nissan Boardman,google / cpc,5798,4352,12446,93,145,238
2025-02,Nissan Boardman,google / organic,13960,10402,26169,159,218,377
2025-03,Chevrolet Cranberry,autotrader / referral,1054,838,3562,8,5,13
2025-03,Chevrolet Cranberry,bing / cpc,978,716,1103,13,18,31
2025-03,Chevrolet Cranberry,cars.com / referral,1700,1316,5519,31,19,50
2025-03,Chevrolet Cranberry,direct / (none),4352,3337,5715,22,33,55
2025-03,Chevrolet Cranberry,email / newsletter,582,410,690,16,5,21
2025-03,Chevrolet Cranberry,facebook / paid,3451,2567,4421,15,21,36
2025-03,Chevrolet Cranberry,google / cpc,6240,4457,12887,81,116,197
2025-03,Chevrolet Cranberry,google / organic,12369,9558,19714,123,172,295
2025-03,Honda Monroeville,autotrader / referral,986,750,3197,8,5,13
2025-03,Honda Monroeville,bing / cpc,772,590,904,10,15,25
2025-03,Honda Monroeville,cars.com / referral,1271,920,3725,22,12,34
2025-03,Honda Monroeville,direct / (none),3240,2422,3703,17,27,44
2025-03,Honda Monroeville,email / newsletter,532,402,637,14,3,17
2025-03,Honda Monroeville,facebook / paid,2595,2027,3423,13,17,30
2025-03,Honda Monroeville,google / cpc,5083,3999,10281,66,86,152
2025-03,Honda Monroeville,google / organic,8700,6447,14804,89,125,214
2025-03,Nissan Boardman,autotrader / referral,1680,1240,5559,12,7,19
2025-03,Nissan Boardman,bing / cpc,1354,977,1225,16,19,35
2025-03,Nissan Boardman,cars.com / referral,2197,1588,6100,43,23,66
2025-03,Nissan Boardman,direct / (none),5747,4416,6476,32,55,87
2025-03,Nissan Boardman,email / newsletter,907,646,1022,24,8,32
2025-03,Nissan Boardman,facebook / paid,4391,3091,5301,18,20,38
2025-03,Nissan Boardman,google / cpc,8594,6061,17425,122,154,276
2025-03,Nissan Boardman,google / organic,14016,10405,23092,153,206,359
2025-04,Chevrolet Cranberry,autotrader / referral,1070,817,3828,9,5,14
2025-04,Chevrolet Cranberry,bing / cpc,1102,794,946,12,15,27
2025-04,Chevrolet Cranberry,cars.com / referral,1722,1299,4626,31,16,47
2025-04,Chevrolet Cranberry,direct / (none),4377,3284,6531,24,32,56
2025-04,Chevrolet Cranberry,email / newsletter,236,173,253,6,1,7
2025-04,Chevrolet Cranberry,facebook / paid,3403,2562,4321,17,23,40
2025-04,Chevrolet Cranberry,google / cpc,7876,6268,17374,104,151,255
2025-04,Chevrolet Cranberry,google / organic,10448,8009,16315,124,188,312
2025-04,Honda Monroeville,autotrader / referral,937,716,3079,10,5,15
2025-04,Honda Monroeville,bing / cpc,776,593,760,9,11,20
2025-04,Honda Monroeville,cars.com / referral,1419,1098,3556,24,13,37
2025-04,Honda Monroeville,direct / (none),3149,2256,4493,15,23,38
2025-04,Honda Monroeville,email / newsletter,161,114,178,4,1,5
2025-04,Honda Monroeville,facebook / paid,2661,1894,3817,13,19,32
2025-04,Honda Monroeville,google / cpc,6214,4602,12770,91,124,215
2025-04,Honda Monroeville,google / organic,8899,6279,12816,87,109,196
2025-04,Nissan Boardman,autotrader / referral,1489,1125,4782,14,8,22
2025-04,Nissan Boardman,bing / cpc,1244,884,1347,15,21,36
2025-04,Nissan Boardman,cars.com / referral,2318,1833,6093,45,30,75
2025-04,Nissan Boardman,direct / (none),5875,4438,8914,27,42,69
2025-04,Nissan Boardman,email / newsletter,291,226,285,7,2,9
2025-04,Nissan Boardman,facebook / paid,4157,3221,5428,19,27,46
2025-04,Nissan Boardman,google / cpc,10498,7991,21018,123,170,293
2025-04,Nissan Boardman,google / organic,17068,13114,26084,193,314,507
2025-05,Chevrolet Cranberry,autotrader / referral,1250,950,4245,14,7,21
2025-05,Chevrolet Cranberry,bing / cpc,1000,722,1030,12,17,29
2025-05,Chevrolet Cranberry,cars.com / referral,1855,1467,4767,36,24,60
2025-05,Chevrolet Cranberry,direct / (none),4112,2903,6555,16,25,41
2025-05,Chevrolet Cranberry,email / newsletter,667,511,667,19,6,25
2025-05,Chevrolet Cranberry,facebook / paid,3214,2528,4467,18,24,42
2025-05,Chevrolet Cranberry,google / cpc,8586,6237,18925,117,174,291
2025-05,Chevrolet Cranberry,google / organic,12726,9556,16116,138,205,343
2025-05,Honda Monroeville,autotrader / referral,813,607,2526,10,6,16
2025-05,Honda Monroeville,bing / cpc,785,627,667,10,14,24
2025-05,Honda Monroeville,cars.com / referral,1459,1045,3472,29,17,46
2025-05,Honda Monroeville,direct / (none),3201,2478,4708,14,22,36
2025-05,Honda Monroeville,email / newsletter,472,375,425,14,4,18
2025-05,Honda Monroeville,facebook / paid,2564,1856,3412,12,14,26
2025-05,Honda Monroeville,google / cpc,7084,5042,15731,92,149,241
2025-05,Honda Monroeville,google / organic,9342,7292,14212,99,162,261
2025-05,Nissan Boardman,autotrader / referral,1510,1106,4872,15,8,23
2025-05,Nissan Boardman,bing / cpc,1378,1085,1612,17,23,40
2025-05,Nissan Boardman,cars.com / referral,2320,1747,6137,40,23,63
2025-05,Nissan Boardman,direct / (none),5604,4317,8788,19,30,49
2025-05,Nissan Boardman,email / newsletter,851,653,744,24,7,31
2025-05,Nissan Boardman,facebook / paid,4315,3032,5870,24,32,56
2025-05,Nissan Boardman,google / cpc,12531,9119,26670,136,190,326
2025-05,Nissan Boardman,google / organic,14818,10499,21269,174,218,392
2025-06,Chevrolet Cranberry,autotrader / referral,1159,920,3883,14,9,23
2025-06,Chevrolet Cranberry,bing / cpc,933,707,1093,12,17,29
2025-06,Chevrolet Cranberry,cars.com / referral,1842,1428,4011,31,21,52
2025-06,Chevrolet Cranberry,direct / (none),4204,3354,7254,15,24,39
2025-06,Chevrolet Cranberry,email / newsletter,239,175,197,6,2,8
2025-06,Chevrolet Cranberry,facebook / paid,3176,2445,4468,17,19,36
2025-06,Chevrolet Cranberry,google / cpc,9373,7353,17331,107,157,264
2025-06,Chevrolet Cranberry,google / organic,12736,9565,14232,126,162,288
2025-06,Honda Monroeville,autotrader / referral,936,744,2773,11,7,18
2025-06,Honda Monroeville,bing / cpc,725,515,834,8,9,17
2025-06,Honda Monroeville,cars.com / referral,1463,1077,2818,26,18,44
2025-06,Honda Monroeville,direct / (none),3395,2511,5240,12,18,30
2025-06,Honda Monroeville,email / newsletter,183,136,184,5,1,6
2025-06,Honda Monroeville,facebook / paid,2077,1558,3012,10,11,21
2025-06,Honda Monroeville,google / cpc,7370,5466,15272,86,108,194
2025-06,Honda Monroeville,google / organic,10172,7862,13032,106,169,275
2025-06,Nissan Boardman,autotrader / referral,1366,1030,4023,19,11,30
2025-06,Nissan Boardman,bing / cpc,1284,902,1635,15,21,36
2025-06,Nissan Boardman,cars.com / referral,2660,2052,6298,51,34,85
2025-06,Nissan Boardman,direct / (none),5312,4040,8733,19,27,46
2025-06,Nissan Boardman,email / newsletter,304,219,236,7,2,9
2025-06,Nissan Boardman,facebook / paid,3713,2859,5511,20,26,46
2025-06,Nissan Boardman,google / cpc,13159,10072,27076,132,204,336
2025-06,Nissan Boardman,google / organic,14905,11568,15683,142,207,349
2025-07,Chevrolet Cranberry,autotrader / referral,1056,818,2808,15,9,24
2025-07,Chevrolet Cranberry,bing / cpc,1066,805,1223,11,15,26
2025-07,Chevrolet Cranberry,cars.com / referral,1887,1469,3994,30,18,48
2025-07,Chevrolet Cranberry,direct / (none),4427,3455,7166,12,20,32
2025-07,Chevrolet Cranberry,email / newsletter,580,442,470,14,4,18
2025-07,Chevrolet Cranberry,facebook / paid,2478,1858,3569,14,18,32
2025-07,Chevrolet Cranberry,google / cpc,8032,6345,13444,70,91,161
2025-07,Chevrolet Cranberry,google / organic,12215,8687,13849,108,163,271
2025-07,Honda Monroeville,autotrader / referral,837,637,2138,13,8,21
2025-07,Honda Monroeville,bing / cpc,708,512,832,8,10,18
2025-07,Honda Monroeville,cars.com / referral,1394,1046,2655,22,13,35
2025-07,Honda Monroeville,direct / (none),3135,2410,4725,8,11,19
2025-07,Honda Monroeville,email / newsletter,439,317,349,12,3,15
2025-07,Honda Monroeville,facebook / paid,2240,1602,3059,12,14,26
2025-07,Honda Monroeville,google / cpc,6266,4863,10255,68,96,164
2025-07,Honda Monroeville,google / organic,8621,6823,9660,88,113,201
2025-07,Nissan Boardman,autotrader / referral,1325,954,3419,20,11,31
2025-07,Nissan Boardman,bing / cpc,1382,982,1745,15,18,33
2025-07,Nissan Boardman,cars.com / referral,2420,1809,4625,37,19,56
2025-07,Nissan Boardman,direct / (none),5131,3830,8726,18,25,43
2025-07,Nissan Boardman,email / newsletter,849,617,600,24,7,31
2025-07,Nissan Boardman,facebook / paid,3565,2850,5310,21,26,47
2025-07,Nissan Boardman,google / cpc,11584,8180,18189,96,122,218
2025-07,Nissan Boardman,google / organic,16167,11952,22278,161,232,393
2025-08,Chevrolet Cranberry,autotrader / referral,1070,794,2694,16,9,25
2025-08,Chevrolet Cranberry,bing / cpc,1029,795,1626,10,15,25
2025-08,Chevrolet Cranberry,cars.com / referral,2006,1558,3351,33,22,55
2025-08,Chevrolet Cranberry,direct / (none),3922,3125,6550,9,16,25
2025-08,Chevrolet Cranberry,email / newsletter,226,177,227,5,1,6
2025-08,Chevrolet Cranberry,facebook / paid,2797,2233,4019,16,24,40
2025-08,Chevrolet Cranberry,google / cpc,6720,4865,11132,51,74,125
2025-08,Chevrolet Cranberry,google / organic,13344,10438,14690,134,210,344
2025-08,Chevrolet Cranberry,iHeartMedia / radio,390,303,685,1,3,4
2025-08,Honda Monroeville,autotrader / referral,896,661,2131,14,7,21
2025-08,Honda Monroeville,bing / cpc,809,569,1050,7,9,16
2025-08,Honda Monroeville,cars.com / referral,1382,996,2110,20,10,30
2025-08,Honda Monroeville,direct / (none),3229,2461,5214,8,12,20
2025-08,Honda Monroeville,email / newsletter,162,128,144,3,1,4
2025-08,Honda Monroeville,facebook / paid,2289,1731,3168,13,16,29
2025-08,Honda Monroeville,google / cpc,5373,3830,7351,47,77,124
2025-08,Honda Monroeville,google / organic,9674,7315,13487,86,126,212
2025-08,Honda Monroeville,iHeartMedia / radio,291,219,502,1,2,3
2025-08,Nissan Boardman,autotrader / referral,1463,1086,3318,20,12,32
2025-08,Nissan Boardman,bing / cpc,1521,1102,2386,15,20,35
2025-08,Nissan Boardman,cars.com / referral,2421,1809,3517,36,22,58
2025-08,Nissan Boardman,direct / (none),5876,4693,10081,18,23,41
2025-08,Nissan Boardman,email / newsletter,303,226,290,7,1,8
2025-08,Nissan Boardman,facebook / paid,3637,2686,4643,21,27,48
2025-08,Nissan Boardman,google / cpc,8400,6138,13040,84,116,200
2025-08,Nissan Boardman,google / organic,16036,12627,20228,136,223,359
2025-08,Nissan Boardman,iHeartMedia / radio,497,390,768,1,3,4
2025-09,Chevrolet Cranberry,autotrader / referral,829,648,2058,13,7,20
2025-09,Chevrolet Cranberry,bing / cpc,944,663,1700,10,13,23
2025-09,Chevrolet Cranberry,cars.com / referral,1545,1089,2792,21,12,33
2025-09,Chevrolet Cranberry,direct / (none),3919,2839,6421,10,14,24
2025-09,Chevrolet Cranberry,email / newsletter,531,380,565,11,3,14
2025-09,Chevrolet Cranberry,facebook / paid,2885,2114,3779,16,21,37
2025-09,Chevrolet Cranberry,google / cpc,4481,3139,5440,39,63,102
2025-09,Chevrolet Cranberry,google / organic,10189,7669,14384,77,119,196
2025-09,Chevrolet Cranberry,iHeartMedia / radio,547,428,736,1,2,3
2025-09,Honda Monroeville,autotrader / referral,691,529,1357,10,5,15
2025-09,Honda Monroeville,bing / cpc,716,534,1320,7,10,17
2025-09,Honda Monroeville,cars.com / referral,1342,1006,1932,20,14,34
2025-09,Honda Monroeville,direct / (none),2830,2130,4270,9,14,23
2025-09,Honda Monroeville,email / newsletter,485,365,514,12,4,16
2025-09,Honda Monroeville,facebook / paid,2030,1550,2617,10,12,22
2025-09,Honda Monroeville,google / cpc,3749,2961,4452,26,37,63
2025-09,Honda Monroeville,google / organic,7940,5939,12426,66,86,152
2025-09,Honda Monroeville,iHeartMedia / radio,436,325,606,1,4,5
2025-09,Nissan Boardman,autotrader / referral,1242,897,2980,19,9,28
2025-09,Nissan Boardman,bing / cpc,1345,1035,2114,12,17,29
2025-09,Nissan Boardman,cars.com / referral,2292,1795,3727,34,22,56
2025-09,Nissan Boardman,direct / (none),5013,3673,7708,20,31,51
2025-09,Nissan Boardman,email / newsletter,722,523,774,18,5,23
2025-09,Nissan Boardman,facebook / paid,3999,2962,5214,20,27,47
2025-09,Nissan Boardman,google / cpc,7349,5211,10744,54,82,136
2025-09,Nissan Boardman,google / organic,13806,10762,18696,115,143,258
2025-09,Nissan Boardman,iHeartMedia / radio,815,629,1137,3,7,10
2025-10,Chevrolet Cranberry,autotrader / referral,901,646,1466,14,7,21
2025-10,Chevrolet Cranberry,bing / cpc,801,574,1446,7,10,17
2025-10,Chevrolet Cranberry,cars.com / referral,1479,1181,2030,18,10,28
2025-10,Chevrolet Cranberry,direct / (none),3584,2516,4533,14,21,35
2025-10,Chevrolet Cranberry,email / newsletter,192,134,222,4,1,5
2025-10,Chevrolet Cranberry,facebook / paid,2981,2329,3617,15,18,33
2025-10,Chevrolet Cranberry,google / cpc,4260,3061,5167,23,35,58
2025-10,Chevrolet Cranberry,google / organic,10162,7574,16701,83,105,188
2025-10,Chevrolet Cranberry,iHeartMedia / radio,879,680,1281,2,6,8
2025-10,Honda Monroeville,autotrader / referral,669,497,1346,10,6,16
2025-10,Honda Monroeville,bing / cpc,743,567,1314,6,7,13
2025-10,Honda Monroeville,cars.com / referral,1148,875,1740,13,7,20
2025-10,Honda Monroeville,direct / (none),2813,2216,4283,8,13,21
2025-10,Honda Monroeville,email / newsletter,161,112,169,3,1,4
2025-10,Honda Monroeville,facebook / paid,2232,1664,2331,11,13,24
2025-10,Honda Monroeville,google / cpc,3179,2301,4152,26,39,65
2025-10,Honda Monroeville,google / organic,8821,6936,13544,66,91,157
2025-10,Honda Monroeville,iHeartMedia / radio,702,541,1019,1,4,5
2025-10,Nissan Boardman,autotrader / referral,1034,730,2196,16,10,26
2025-10,Nissan Boardman,bing / cpc,1066,796,1830,8,9,17
2025-10,Nissan Boardman,cars.com / referral,2376,1734,3554,27,17,44
2025-10,Nissan Boardman,direct / (none),4735,3723,5918,18,32,50
2025-10,Nissan Boardman,email / newsletter,255,182,261,4,1,5
2025-10,Nissan Boardman,facebook / paid,3565,2685,3774,20,22,42
2025-10,Nissan Boardman,google / cpc,5787,4262,7524,34,53,87
2025-10,Nissan Boardman,google / organic,14840,10996,26074,105,151,256
2025-10,Nissan Boardman,iHeartMedia / radio,1206,945,1373,3,8,11
2025-11,Chevrolet Cranberry,autotrader / referral,802,615,1596,13,7,20
2025-11,Chevrolet Cranberry,bing / cpc,853,601,1655,6,8,14
2025-11,Chevrolet Cranberry,cars.com / referral,1656,1312,2397,21,12,33
2025-11,Chevrolet Cranberry,direct / (none),3355,2493,4353,15,21,36
2025-11,Chevrolet Cranberry,email / newsletter,521,393,646,10,3,13
2025-11,Chevrolet Cranberry,facebook / paid,3140,2333,3226,18,22,40
2025-11,Chevrolet Cranberry,google / cpc,3109,2261,3064,24,31,55
2025-11,Chevrolet Cranberry,google / organic,10937,7796,22553,68,102,170
2025-11,Chevrolet Cranberry,iHeartMedia / radio,1391,1072,1527,2,7,9
2025-11,Honda Monroeville,autotrader / referral,616,445,1150,10,5,15
2025-11,Honda Monroeville,bing / cpc,689,507,1462,5,7,12
2025-11,Honda Monroeville,cars.com / referral,1310,960,2534,13,7,20
2025-11,Honda Monroeville,direct / (none),2559,1868,2895,9,15,24
2025-11,Honda Monroeville,email / newsletter,410,291,601,6,1,7
2025-11,Honda Monroeville,facebook / paid,2158,1724,2261,11,14,25
2025-11,Honda Monroeville,google / cpc,2408,1858,2982,18,25,43
2025-11,Honda Monroeville,google / organic,8545,6084,17825,64,95,159
2025-11,Honda Monroeville,iHeartMedia / radio,981,775,1049,2,5,7
2025-11,Nissan Boardman,autotrader / referral,1073,782,2034,17,11,28
2025-11,Nissan Boardman,bing / cpc,1029,756,1884,7,9,16
2025-11,Nissan Boardman,cars.com / referral,1865,1447,2920,24,15,39
2025-11,Nissan Boardman,direct / (none),4422,3485,6086,17,26,43
2025-11,Nissan Boardman,email / newsletter,696,520,884,13,3,16
2025-11,Nissan Boardman,facebook / paid,3702,2762,3298,18,21,39
2025-11,Nissan Boardman,google / cpc,4636,3426,5128,25,38,63
2025-11,Nissan Boardman,google / organic,13572,9572,24868,96,162,258
2025-11,Nissan Boardman,iHeartMedia / radio,1830,1302,1743,4,9,13
2025-12,Chevrolet Cranberry,autotrader / referral,829,608,1511,15,9,24
2025-12,Chevrolet Cranberry,bing / cpc,933,724,1971,6,8,14
2025-12,Chevrolet Cranberry,cars.com / referral,1752,1270,3308,16,9,25
2025-12,Chevrolet Cranberry,direct / (none),4203,3099,4716,18,30,48
2025-12,Chevrolet Cranberry,email / newsletter,195,143,289,3,1,4
2025-12,Chevrolet Cranberry,facebook / paid,3517,2539,3094,18,22,40
2025-12,Chevrolet Cranberry,google / cpc,3860,2988,3587,23,38,61
2025-12,Chevrolet Cranberry,google / organic,11706,8441,24339,61,101,162
2025-12,Chevrolet Cranberry,iHeartMedia / radio,2000,1406,2269,5,12,17
2025-12,Honda Monroeville,autotrader / referral,653,516,1036,10,5,15
2025-12,Honda Monroeville,bing / cpc,691,515,1336,4,6,10
2025-12,Honda Monroeville,cars.com / referral,1322,930,2542,13,9,22
2025-12,Honda Monroeville,direct / (none),3465,2722,3682,17,29,46
2025-12,Honda Monroeville,email / newsletter,150,112,233,2,0,2
2025-12,Honda Monroeville,facebook / paid,3051,2301,3057,16,21,37
2025-12,Honda Monroeville,google / cpc,2732,1915,2848,18,23,41
2025-12,Honda Monroeville,google / organic,9034,6433,18601,52,69,121
2025-12,Honda Monroeville,iHeartMedia / radio,1445,1078,1825,4,7,11
2025-12,Nissan Boardman,autotrader / referral,1158,883,1745,21,11,32
2025-12,Nissan Boardman,bing / cpc,1261,972,2448,8,11,19
2025-12,Nissan Boardman,cars.com / referral,2621,1837,4808,24,13,37
2025-12,Nissan Boardman,direct / (none),5283,4148,5509,20,34,54
2025-12,Nissan Boardman,email / newsletter,301,223,435,4,1,5
2025-12,Nissan Boardman,facebook / paid,5308,4091,4941,28,31,59
2025-12,Nissan Boardman,google / cpc,4972,3826,5568,38,53,91
2025-12,Nissan Boardman,google / organic,15185,11346,33537,98,159,257
2025-12,Nissan Boardman,iHeartMedia / radio,2610,1962,2440,5,13,18
2026-01,Chevrolet Cranberry,autotrader / referral,681,539,1092,11,7,18
2026-01,Chevrolet Cranberry,bing / cpc,744,572,1467,4,6,10
2026-01,Chevrolet Cranberry,cars.com / referral,1448,1093,3095,12,8,20
2026-01,Chevrolet Cranberry,direct / (none),3538,2685,3670,18,24,42
2026-01,Chevrolet Cranberry,email / newsletter,519,363,914,7,2,9
2026-01,Chevrolet Cranberry,facebook / paid,3319,2454,2401,13,17,30
2026-01,Chevrolet Cranberry,google / cpc,3698,2674,3434,24,36,60
2026-01,Chevrolet Cranberry,google / organic,9002,6346,21009,40,59,99
2026-01,Chevrolet Cranberry,iHeartMedia / radio,2020,1529,2647,6,12,18
2026-01,Honda Monroeville,autotrader / referral,502,393,941,9,5,14
2026-01,Honda Monroeville,bing / cpc,561,412,1055,2,4,6
2026-01,Honda Monroeville,cars.com / referral,1203,936,2764,12,8,20
2026-01,Honda Monroeville,direct / (none),2443,1730,2046,12,17,29
2026-01,Honda Monroeville,email / newsletter,398,316,597,5,1,6
2026-01,Honda Monroeville,facebook / paid,2419,1834,1910,11,12,23
2026-01,Honda Monroeville,google / cpc,2997,2189,3448,16,20,36
2026-01,Honda Monroeville,google / organic,7535,5300,17837,34,43,77
2026-01,Honda Monroeville,iHeartMedia / radio,1419,1106,1582,3,7,10
2026-01,Nissan Boardman,autotrader / referral,993,738,1704,18,11,29
2026-01,Nissan Boardman,bing / cpc,997,704,2171,6,7,13
2026-01,Nissan Boardman,cars.com / referral,2026,1608,4876,16,9,25
2026-01,Nissan Boardman,direct / (none),4464,3240,4207,24,33,57
2026-01,Nissan Boardman,email / newsletter,649,511,1074,8,2,10
2026-01,Nissan Boardman,facebook / paid,4069,2957,2674,18,22,40
2026-01,Nissan Boardman,google / cpc,4566,3512,5520,27,40,67
2026-01,Nissan Boardman,google / organic,12764,9310,30929,64,84,148
2026-01,Nissan Boardman,iHeartMedia / radio,2572,2053,2506,7,16,23
2026-02,Chevrolet Cranberry,autotrader / referral,776,544,1551,12,7,19
2026-02,Chevrolet Cranberry,bing / cpc,789,629,1517,3,5,8
2026-02,Chevrolet Cranberry,cars.com / referral,1388,1011,3914,11,7,18
