period,store,source,lead_type,leads,sales,new_sales,used_sales,gross,budget
2024-05,Honda Monroeville,Walk In,showroom,68,21,15,6,69768,
2024-05,Honda Monroeville,Website Chat,chat,37,4,2,2,10934,554
2024-05,Nissan Boardman,Autotrader,internet,390,26,14,12,81304,4110
2024-05,Nissan Boardman,CarGurus,internet,45,1,0,1,2505,912
2024-05,Nissan Boardman,CarGurus,phone,11,1,0,1,2917,228
2024-05,Nissan Boardman,Cars.com,internet,274,11,6,5,31132,3114
2024-05,Nissan Boardman,Craigslist,internet,41,2,1,1,4422,
2024-05,Nissan Boardman,Dealer Website,chat,91,9,5,4,33775,
2024-05,Nissan Boardman,Dealer Website,internet,560,41,23,18,125799,
2024-05,Nissan Boardman,Facebook Marketplace,internet,324,13,7,6,29543,2449
2024-05,Nissan Boardman,Inbound Calls,phone,158,24,17,7,66134,
2024-05,Nissan Boardman,Lease Return,campaign,26,7,5,2,12763,
2024-05,Nissan Boardman,Service Conquest,service,68,15,11,4,31210,
2024-05,Nissan Boardman,TrueCar,internet,73,8,4,4,20906,1910
2024-05,Nissan Boardman,Walk In,showroom,124,32,23,9,114753,
2024-05,Nissan Boardman,Website Chat,chat,82,9,5,4,22540,955
2024-06,Chevrolet Cranberry,Autotrader,internet,207,8,4,4,25321,3033
2024-06,Chevrolet Cranberry,CarGurus,internet,36,3,1,2,9133,674
2024-06,Chevrolet Cranberry,CarGurus,phone,9,1,0,1,2764,168
2024-06,Chevrolet Cranberry,Cars.com,internet,119,9,5,4,28264,2305
2024-06,Chevrolet Cranberry,Dealer Website,chat,48,8,4,4,29346,
2024-06,Chevrolet Cranberry,Dealer Website,internet,295,32,18,14,110312,
2024-06,Chevrolet Cranberry,Facebook Marketplace,internet,272,16,9,7,33007,1812
2024-06,Chevrolet Cranberry,Inbound Calls,phone,81,18,13,5,59854,
2024-06,Chevrolet Cranberry,Lease Return,campaign,59,21,15,6,31569,
2024-06,Chevrolet Cranberry,Service Conquest,service,46,7,5,2,14228,
2024-06,Chevrolet Cranberry,TrueCar,internet,54,5,3,2,11316,1360
2024-06,Chevrolet Cranberry,Walk In,showroom,74,32,23,9,128744,
2024-06,Chevrolet Cranberry,Website Chat,chat,66,7,4,3,15583,712
2024-06,Honda Monroeville,Autotrader,internet,226,13,7,6,34558,2377
2024-06,Honda Monroeville,CarGurus,internet,12,1,0,1,2869,528
2024-06,Honda Monroeville,CarGurus,phone,3,0,0,0,0,132
2024-06,Honda Monroeville,Cars.com,internet,141,12,7,5,32232,1807
2024-06,Honda Monroeville,Dealer Website,chat,36,2,1,1,7093,
2024-06,Honda Monroeville,Dealer Website,internet,219,20,11,9,67127,
2024-06,Honda Monroeville,Facebook Marketplace,internet,171,8,4,4,19792,1420
2024-06,Honda Monroeville,Inbound Calls,phone,98,27,19,8,76349,
2024-06,Honda Monroeville,Lease Return,campaign,35,14,10,4,23498,
2024-06,Honda Monroeville,Service Conquest,service,29,5,4,1,9634,
2024-06,Honda Monroeville,TrueCar,internet,61,6,3,3,14930,1066
2024-06,Honda Monroeville,Walk In,showroom,61,25,18,7,87151,
2024-06,Honda Monroeville,Website Chat,chat,37,5,3,2,11451,558
2024-06,Nissan Boardman,Autotrader,internet,336,25,14,11,70893,4099
2024-06,Nissan Boardman,CarGurus,internet,39,0,0,0,0,912
2024-06,Nissan Boardman,CarGurus,phone,10,0,0,0,0,228
2024-06,Nissan Boardman,Cars.com,internet,226,19,10,9,58747,3115
2024-06,Nissan Boardman,Dealer Website,chat,86,8,4,4,27172,
2024-06,Nissan Boardman,Dealer Website,internet,529,39,21,18,115830,
2024-06,Nissan Boardman,Facebook Marketplace,internet,283,12,7,5,28465,2449
2024-06,Nissan Boardman,Inbound Calls,phone,163,23,17,6,69685,
2024-06,Nissan Boardman,Lease Return,campaign,70,21,15,6,36605,
2024-06,Nissan Boardman,Service Conquest,service,73,16,12,4,34225,
2024-06,Nissan Boardman,TrueCar,internet,75,2,1,1,4863,1838
2024-06,Nissan Boardman,Walk In,showroom,107,41,30,11,138530,
2024-06,Nissan Boardman,Website Chat,chat,84,5,3,2,11699,962
2024-07,Chevrolet Cranberry,Autotrader,internet,214,11,6,5,35771,3025
2024-07,Chevrolet Cranberry,CarGurus,internet,27,1,0,1,2531,674
2024-07,Chevrolet Cranberry,CarGurus,phone,7,1,0,1,3122,168
2024-07,Chevrolet Cranberry,Cars.com,internet,107,8,4,4,24883,2307
2024-07,Chevrolet Cranberry,Dealer Website,chat,40,3,2,1,8792,
2024-07,Chevrolet Cranberry,Dealer Website,internet,248,25,14,11,89641,
2024-07,Chevrolet Cranberry,Facebook Marketplace,internet,238,17,9,8,41270,1586
2024-07,Chevrolet Cranberry,Inbound Calls,phone,77,17,12,5,58414,
2024-07,Chevrolet Cranberry,Lease Return,campaign,19,4,3,1,6868,
2024-07,Chevrolet Cranberry,Service Conquest,service,38,4,3,1,9456,
2024-07,Chevrolet Cranberry,TrueCar,internet,54,8,4,4,20566,1309
2024-07,Chevrolet Cranberry,Walk In,showroom,74,23,17,6,79138,
2024-07,Chevrolet Cranberry,Website Chat,chat,59,7,4,3,19974,717
2024-07,Honda Monroeville,Autotrader,internet,186,14,8,6,46007,2371
2024-07,Honda Monroeville,CarGurus,internet,13,1,0,1,2648,528
2024-07,Honda Monroeville,CarGurus,phone,3,0,0,0,0,132
2024-07,Honda Monroeville,Cars.com,internet,147,15,8,7,42793,1808
2024-07,Honda Monroeville,Dealer Website,chat,40,2,1,1,6540,
2024-07,Honda Monroeville,Dealer Website,internet,249,22,12,10,82016,
2024-07,Honda Monroeville,Facebook Marketplace,internet,147,9,5,4,17828,1243
2024-07,Honda Monroeville,Inbound Calls,phone,107,19,14,5,63244,
2024-07,Honda Monroeville,Lease Return,campaign,13,3,2,1,5383,
2024-07,Honda Monroeville,Service Conquest,service,24,9,6,3,18794,
2024-07,Honda Monroeville,TrueCar,internet,59,4,2,2,11329,1026
2024-07,Honda Monroeville,Walk In,showroom,69,26,19,7,82324,
2024-07,Honda Monroeville,Website Chat,chat,36,5,3,2,13677,562
2024-07,Nissan Boardman,Autotrader,internet,307,21,12,9,68628,4088
2024-07,Nissan Boardman,CarGurus,internet,59,2,0,2,5240,912
2024-07,Nissan Boardman,CarGurus,phone,15,2,0,2,6009,228
2024-07,Nissan Boardman,Cars.com,internet,239,13,7,6,41573,3117
2024-07,Nissan Boardman,Dealer Website,chat,70,6,3,3,21137,
2024-07,Nissan Boardman,Dealer Website,internet,428,40,22,18,118193,
2024-07,Nissan Boardman,Facebook Marketplace,internet,249,15,8,7,31444,2143
2024-07,Nissan Boardman,Inbound Calls,phone,141,26,19,7,81534,
2024-07,Nissan Boardman,Lease Return,campaign,28,7,5,2,11940,
2024-07,Nissan Boardman,Service Conquest,service,68,18,13,5,33280,
2024-07,Nissan Boardman,TrueCar,internet,73,9,5,4,23658,1769
2024-07,Nissan Boardman,Walk In,showroom,97,41,30,11,141395,
2024-07,Nissan Boardman,Website Chat,chat,91,5,3,2,11980,970
2024-08,Chevrolet Cranberry,Autotrader,internet,244,17,9,8,44154,3017
2024-08,Chevrolet Cranberry,CarGurus,internet,32,3,1,2,8609,674
2024-08,Chevrolet Cranberry,CarGurus,phone,8,1,0,1,2829,168
2024-08,Chevrolet Cranberry,Cars.com,internet,129,17,9,8,48435,2308
2024-08,Chevrolet Cranberry,Dealer Website,chat,50,1,1,0,3831,
2024-08,Chevrolet Cranberry,Dealer Website,internet,307,37,20,17,129433,
2024-08,Chevrolet Cranberry,Facebook Marketplace,internet,177,9,5,4,20152,1252
2024-08,Chevrolet Cranberry,Inbound Calls,phone,100,18,13,5,64867,
2024-08,Chevrolet Cranberry,Lease Return,campaign,18,8,6,2,15616,
2024-08,Chevrolet Cranberry,Service Conquest,service,49,16,12,4,38343,
2024-08,Chevrolet Cranberry,TrueCar,internet,48,2,1,1,5164,1259
2024-08,Chevrolet Cranberry,Walk In,showroom,70,33,24,9,118723,
2024-08,Chevrolet Cranberry,Website Chat,chat,57,6,3,3,17925,723
2024-08,Honda Monroeville,Autotrader,internet,216,17,9,8,49647,2364
2024-08,Honda Monroeville,CarGurus,internet,18,0,0,0,0,528
2024-08,Honda Monroeville,CarGurus,phone,4,0,0,0,0,132
2024-08,Honda Monroeville,Cars.com,internet,161,20,11,9,67701,1809
2024-08,Honda Monroeville,Dealer Website,chat,41,5,3,2,15774,
2024-08,Honda Monroeville,Dealer Website,internet,250,20,11,9,61036,
2024-08,Honda Monroeville,Facebook Marketplace,internet,122,9,5,4,17549,981
2024-08,Honda Monroeville,Inbound Calls,phone,105,24,17,7,66882,
2024-08,Honda Monroeville,Lease Return,campaign,12,2,1,1,3103,
2024-08,Honda Monroeville,Service Conquest,service,30,10,7,3,22172,
2024-08,Honda Monroeville,TrueCar,internet,62,6,3,3,14235,987
2024-08,Honda Monroeville,Walk In,showroom,62,13,9,4,42012,
2024-08,Honda Monroeville,Website Chat,chat,41,2,1,1,5955,566
2024-08,Nissan Boardman,Autotrader,internet,388,18,10,8,54859,4077
2024-08,Nissan Boardman,CarGurus,internet,50,6,1,5,19150,912
2024-08,Nissan Boardman,CarGurus,phone,12,0,0,0,0,228
2024-08,Nissan Boardman,Cars.com,internet,247,21,12,9,56022,3119
2024-08,Nissan Boardman,Dealer Website,chat,89,9,5,4,30628,
2024-08,Nissan Boardman,Dealer Website,internet,547,55,30,25,165426,
2024-08,Nissan Boardman,Facebook Marketplace,internet,209,8,4,4,17485,1692
2024-08,Nissan Boardman,Inbound Calls,phone,159,27,19,8,95444,
2024-08,Nissan Boardman,Lease Return,campaign,26,7,5,2,13129,
2024-08,Nissan Boardman,Service Conquest,service,78,14,10,4,29613,
2024-08,Nissan Boardman,TrueCar,internet,69,7,4,3,17104,1702
2024-08,Nissan Boardman,Walk In,showroom,126,46,33,13,172903,
2024-08,Nissan Boardman,Website Chat,chat,89,4,2,2,11057,977
2024-09,Chevrolet Cranberry,Autotrader,internet,223,22,12,10,69668,3009
2024-09,Chevrolet Cranberry,CarGurus,internet,28,5,1,4,14840,674
2024-09,Chevrolet Cranberry,CarGurus,phone,7,0,0,0,0,168
2024-09,Chevrolet Cranberry,Cars.com,internet,124,14,8,6,48233,2309
2024-09,Chevrolet Cranberry,Dealer Website,chat,46,8,4,4,28505,
2024-09,Chevrolet Cranberry,Dealer Website,internet,282,36,20,16,106291,
2024-09,Chevrolet Cranberry,Facebook Marketplace,internet,133,8,4,4,15105,951
2024-09,Chevrolet Cranberry,Inbound Calls,phone,78,13,9,4,39975,
2024-09,Chevrolet Cranberry,Lease Return,campaign,41,9,6,3,13742,
2024-09,Chevrolet Cranberry,Service Conquest,service,43,10,7,3,23084,
2024-09,Chevrolet Cranberry,TrueCar,internet,45,10,6,4,23056,1212
2024-09,Chevrolet Cranberry,Walk In,showroom,65,18,13,5,74312,
2024-09,Chevrolet Cranberry,Website Chat,chat,60,5,3,2,13586,728
2024-09,Honda Monroeville,Autotrader,internet,195,22,12,10,73278,2358
2024-09,Honda Monroeville,CarGurus,internet,13,0,0,0,0,528
2024-09,Honda Monroeville,CarGurus,phone,3,0,0,0,0,132
2024-09,Honda Monroeville,Cars.com,internet,116,7,4,3,22839,1810
2024-09,Honda Monroeville,Dealer Website,chat,40,3,2,1,11461,
2024-09,Honda Monroeville,Dealer Website,internet,248,32,18,14,119650,
2024-09,Honda Monroeville,Facebook Marketplace,internet,96,7,4,3,16817,745
2024-09,Honda Monroeville,Inbound Calls,phone,107,28,20,8,79400,
2024-09,Honda Monroeville,Lease Return,campaign,32,11,8,3,18502,
2024-09,Honda Monroeville,Service Conquest,service,31,6,4,2,13817,
2024-09,Honda Monroeville,TrueCar,internet,48,2,1,1,5468,950
2024-09,Honda Monroeville,Walk In,showroom,67,26,19,7,90790,
2024-09,Honda Monroeville,Website Chat,chat,39,3,2,1,6859,571
2024-09,Nissan Boardman,Autotrader,internet,304,23,13,10,64367,4066
2024-09,Nissan Boardman,CarGurus,internet,40,2,0,2,6053,912
2024-09,Nissan Boardman,CarGurus,phone,10,0,0,0,0,228
2024-09,Nissan Boardman,Cars.com,internet,235,17,9,8,57259,3121
2024-09,Nissan Boardman,Dealer Website,chat,68,4,2,2,15035,
2024-09,Nissan Boardman,Dealer Website,internet,417,40,22,18,119334,
2024-09,Nissan Boardman,Facebook Marketplace,internet,134,3,2,1,6145,1285
2024-09,Nissan Boardman,Inbound Calls,phone,165,29,21,8,92752,
2024-09,Nissan Boardman,Lease Return,campaign,69,19,14,5,29423,
2024-09,Nissan Boardman,Service Conquest,service,66,10,7,3,19949,
2024-09,Nissan Boardman,TrueCar,internet,64,6,3,3,15177,1638
2024-09,Nissan Boardman,Walk In,showroom,111,24,17,7,80860,
2024-09,Nissan Boardman,Website Chat,chat,94,4,2,2,9186,984
2024-10,Chevrolet Cranberry,Autotrader,internet,225,20,11,9,65334,3001
2024-10,Chevrolet Cranberry,CarGurus,internet,36,1,0,1,2701,674
2024-10,Chevrolet Cranberry,CarGurus,phone,9,1,0,1,2797,168
2024-10,Chevrolet Cranberry,Cars.com,internet,100,8,4,4,22586,2310
2024-10,Chevrolet Cranberry,Dealer Website,chat,45,2,1,1,7696,
2024-10,Chevrolet Cranberry,Dealer Website,internet,277,37,20,17,132834,
2024-10,Chevrolet Cranberry,Facebook Marketplace,internet,90,2,1,1,4271,754
2024-10,Chevrolet Cranberry,Inbound Calls,phone,71,21,15,6,70897,
2024-10,Chevrolet Cranberry,Lease Return,campaign,15,6,4,2,9432,
2024-10,Chevrolet Cranberry,Service Conquest,service,44,12,9,3,24504,
2024-10,Chevrolet Cranberry,TrueCar,internet,44,5,3,2,11875,1166
2024-10,Chevrolet Cranberry,Walk In,showroom,75,37,27,10,134157,
2024-10,Chevrolet Cranberry,Website Chat,chat,61,5,3,2,12384,734
2024-10,Honda Monroeville,Autotrader,internet,178,16,9,7,39577,2352
2024-10,Honda Monroeville,CarGurus,internet,17,4,1,3,11778,528
2024-10,Honda Monroeville,CarGurus,phone,4,0,0,0,0,132
2024-10,Honda Monroeville,Cars.com,internet,121,7,4,3,18430,1811
2024-10,Honda Monroeville,Dealer Website,chat,36,2,1,1,6971,
2024-10,Honda Monroeville,Dealer Website,internet,219,32,18,14,121815,
2024-10,Honda Monroeville,Facebook Marketplace,internet,71,4,2,2,8105,591
2024-10,Honda Monroeville,Inbound Calls,phone,103,15,11,4,44162,
2024-10,Honda Monroeville,Lease Return,campaign,10,3,2,1,4779,
2024-10,Honda Monroeville,Service Conquest,service,32,10,7,3,23303,
2024-10,Honda Monroeville,TrueCar,internet,44,2,1,1,5686,914
2024-10,Honda Monroeville,Walk In,showroom,52,16,12,4,50103,
2024-10,Honda Monroeville,Website Chat,chat,37,3,2,1,7919,575
2024-10,Nissan Boardman,Autotrader,internet,333,24,13,11,62497,4055
2024-10,Nissan Boardman,CarGurus,internet,52,1,0,1,3096,912
2024-10,Nissan Boardman,CarGurus,phone,13,0,0,0,0,228
2024-10,Nissan Boardman,Cars.com,internet,235,18,10,8,56168,3122
2024-10,Nissan Boardman,Dealer Website,chat,66,3,2,1,10603,
2024-10,Nissan Boardman,Dealer Website,internet,407,50,28,22,158206,
2024-10,Nissan Boardman,Facebook Marketplace,internet,115,2,1,1,4257,1019
2024-10,Nissan Boardman,Inbound Calls,phone,148,27,19,8,87475,
2024-10,Nissan Boardman,Lease Return,campaign,19,5,4,1,8481,
2024-10,Nissan Boardman,Service Conquest,service,66,15,11,4,36081,
2024-10,Nissan Boardman,TrueCar,internet,58,7,4,3,18822,1576
2024-10,Nissan Boardman,Walk In,showroom,105,33,24,9,110344,
2024-10,Nissan Boardman,Website Chat,chat,85,6,3,3,16263,992
2024-11,Chevrolet Cranberry,Autotrader,internet,205,21,12,9,64570,2992
2024-11,Chevrolet Cranberry,CarGurus,internet,36,1,0,1,3064,674
2024-11,Chevrolet Cranberry,CarGurus,phone,9,0,0,0,0,168
2024-11,Chevrolet Cranberry,Cars.com,internet,113,16,9,7,55537,2312
2024-11,Chevrolet Cranberry,Dealer Website,chat,38,6,3,3,17678,
2024-11,Chevrolet Cranberry,Dealer Website,internet,232,27,15,12,85498,
2024-11,Chevrolet Cranberry,Facebook Marketplace,internet,72,2,1,1,4909,655
2024-11,Chevrolet Cranberry,Google Ads,campaign,2,1,0,1,1858,115
2024-11,Chevrolet Cranberry,Google Ads,internet,13,4,2,2,8564,750
2024-11,Chevrolet Cranberry,Google Ads,phone,5,1,0,1,2293,288
2024-11,Chevrolet Cranberry,Inbound Calls,phone,72,15,11,4,40735,
2024-11,Chevrolet Cranberry,Lease Return,campaign,15,6,4,2,8973,
2024-11,Chevrolet Cranberry,Service Conquest,service,45,11,8,3,26351,
2024-11,Chevrolet Cranberry,TrueCar,internet,37,3,2,1,7565,1122
2024-11,Chevrolet Cranberry,Walk In,showroom,58,22,16,6,68122,
2024-11,Chevrolet Cranberry,Website Chat,chat,56,3,2,1,7021,739
2024-11,Honda Monroeville,Autotrader,internet,163,18,10,8,50657,2345
2024-11,Honda Monroeville,CarGurus,internet,22,0,0,0,0,528
2024-11,Honda Monroeville,CarGurus,phone,5,1,0,1,2696,132
2024-11,Honda Monroeville,Cars.com,internet,114,9,5,4,29353,1812
2024-11,Honda Monroeville,Dealer Website,chat,34,4,2,2,12409,
2024-11,Honda Monroeville,Dealer Website,internet,211,27,15,12,91862,
2024-11,Honda Monroeville,Facebook Marketplace,internet,56,0,0,0,0,513
2024-11,Honda Monroeville,Google Ads,campaign,2,1,0,1,2203,90
2024-11,Honda Monroeville,Google Ads,internet,13,2,1,1,4277,588
2024-11,Honda Monroeville,Google Ads,phone,5,1,0,1,2055,226
2024-11,Honda Monroeville,Inbound Calls,phone,97,8,6,2,22317,
2024-11,Honda Monroeville,Lease Return,campaign,10,7,5,2,11209,
2024-11,Honda Monroeville,Service Conquest,service,27,5,4,1,9879,
2024-11,Honda Monroeville,TrueCar,internet,46,3,2,1,7092,879
2024-11,Honda Monroeville,Walk In,showroom,49,13,9,4,51672,
2024-11,Honda Monroeville,Website Chat,chat,36,3,2,1,7062,579
2024-11,Nissan Boardman,Autotrader,internet,254,20,11,9,53176,4044
2024-11,Nissan Boardman,CarGurus,internet,62,5,1,4,15515,912
2024-11,Nissan Boardman,CarGurus,phone,16,1,0,1,2862,228
2024-11,Nissan Boardman,Cars.com,internet,193,14,8,6,44964,3124
2024-11,Nissan Boardman,Dealer Website,chat,67,6,3,3,21652,
2024-11,Nissan Boardman,Dealer Website,internet,413,52,29,23,202277,
2024-11,Nissan Boardman,Facebook Marketplace,internet,87,4,2,2,9862,885
2024-11,Nissan Boardman,Google Ads,campaign,3,1,0,1,2127,156
2024-11,Nissan Boardman,Google Ads,internet,18,4,2,2,7614,1014
2024-11,Nissan Boardman,Google Ads,phone,7,2,1,1,3995,390
2024-11,Nissan Boardman,Inbound Calls,phone,124,20,14,6,70234,
2024-11,Nissan Boardman,Lease Return,campaign,21,6,4,2,9940,
2024-11,Nissan Boardman,Service Conquest,service,71,15,11,4,35598,
2024-11,Nissan Boardman,TrueCar,internet,48,3,2,1,8263,1516
2024-11,Nissan Boardman,Walk In,showroom,101,36,26,10,117630,
2024-11,Nissan Boardman,Website Chat,chat,88,10,6,4,25866,999
2024-12,Chevrolet Cranberry,Autotrader,internet,219,18,10,8,51705,2984
2024-12,Chevrolet Cranberry,CarGurus,internet,59,4,1,3,11630,746
2024-12,Chevrolet Cranberry,CarGurus,phone,15,0,0,0,0,186
2024-12,Chevrolet Cranberry,Cars.com,internet,125,14,8,6,38163,2313
2024-12,Chevrolet Cranberry,Dealer Website,chat,47,7,4,3,25910,
2024-12,Chevrolet Cranberry,Dealer Website,internet,291,40,22,18,123731,
2024-12,Chevrolet Cranberry,Facebook Marketplace,internet,86,8,4,4,19963,616
2024-12,Chevrolet Cranberry,Google Ads,campaign,5,2,1,1,4190,115
2024-12,Chevrolet Cranberry,Google Ads,internet,29,10,4,6,21901,750
2024-12,Chevrolet Cranberry,Google Ads,phone,11,6,2,4,13774,288
2024-12,Chevrolet Cranberry,Inbound Calls,phone,91,17,12,5,59239,
2024-12,Chevrolet Cranberry,Lease Return,campaign,40,8,6,2,12009,
2024-12,Chevrolet Cranberry,Service Conquest,service,57,14,10,4,30755,
2024-12,Chevrolet Cranberry,TrueCar,internet,42,2,1,1,5312,1080
2024-12,Chevrolet Cranberry,Walk In,showroom,74,29,21,8,109636,
2024-12,Chevrolet Cranberry,Website Chat,chat,60,5,3,2,14724,745
2024-12,Honda Monroeville,Autotrader,internet,186,20,11,9,50674,2339
2024-12,Honda Monroeville,CarGurus,internet,26,2,0,2,4858,585
2024-12,Honda Monroeville,CarGurus,phone,7,1,0,1,2626,146
2024-12,Honda Monroeville,Cars.com,internet,130,9,5,4,24466,1813
2024-12,Honda Monroeville,Dealer Website,chat,38,7,4,3,21421,
2024-12,Honda Monroeville,Dealer Website,internet,234,23,13,10,85436,
2024-12,Honda Monroeville,Facebook Marketplace,internet,68,4,2,2,8462,483
2024-12,Honda Monroeville,Google Ads,campaign,4,0,0,0,0,90
2024-12,Honda Monroeville,Google Ads,internet,26,3,1,2,6239,588
2024-12,Honda Monroeville,Google Ads,phone,10,4,2,2,9536,226
2024-12,Honda Monroeville,Inbound Calls,phone,102,22,16,6,70820,
2024-12,Honda Monroeville,Lease Return,campaign,28,5,4,1,9501,
2024-12,Honda Monroeville,Service Conquest,service,37,9,6,3,17957,
2024-12,Honda Monroeville,TrueCar,internet,46,4,2,2,9709,846
2024-12,Honda Monroeville,Walk In,showroom,66,26,19,7,84038,
2024-12,Honda Monroeville,Website Chat,chat,41,2,1,1,5730,584
2024-12,Nissan Boardman,Autotrader,internet,374,26,14,12,73107,4033
2024-12,Nissan Boardman,CarGurus,internet,88,2,0,2,5969,1009
2024-12,Nissan Boardman,CarGurus,phone,22,2,0,2,5256,252
2024-12,Nissan Boardman,Cars.com,internet,251,16,9,7,52105,3126
2024-12,Nissan Boardman,Dealer Website,chat,77,7,4,3,22055,
2024-12,Nissan Boardman,Dealer Website,internet,475,45,25,20,161375,
2024-12,Nissan Boardman,Facebook Marketplace,internet,112,7,4,3,14613,833
2024-12,Nissan Boardman,Google Ads,campaign,6,2,1,1,3808,156
2024-12,Nissan Boardman,Google Ads,internet,36,14,6,8,32113,1014
2024-12,Nissan Boardman,Google Ads,phone,14,2,1,1,3708,390
2024-12,Nissan Boardman,Inbound Calls,phone,146,36,26,10,98435,
2024-12,Nissan Boardman,Lease Return,campaign,57,11,8,3,20850,
2024-12,Nissan Boardman,Service Conquest,service,90,17,12,5,39600,
2024-12,Nissan Boardman,TrueCar,internet,63,3,2,1,8052,1459
2024-12,Nissan Boardman,Walk In,showroom,101,29,21,8,101695,
2024-12,Nissan Boardman,Website Chat,chat,102,8,4,4,19750,1007
2025-01,Chevrolet Cranberry,Autotrader,internet,196,16,9,7,47132,2976
2025-01,Chevrolet Cranberry,CarGurus,internet,58,1,0,1,3187,916
2025-01,Chevrolet Cranberry,CarGurus,phone,15,0,0,0,0,229
2025-01,Chevrolet Cranberry,Cars.com,internet,94,9,5,4,25595,2314
2025-01,Chevrolet Cranberry,Dealer Website,chat,40,6,3,3,22662,
2025-01,Chevrolet Cranberry,Dealer Website,internet,247,29,16,13,109014,
2025-01,Chevrolet Cranberry,Direct Mail Q1,campaign,101,11,8,3,30424,4810
2025-01,Chevrolet Cranberry,Facebook Marketplace,internet,88,2,1,1,4404,754
2025-01,Chevrolet Cranberry,Google Ads,campaign,5,0,0,0,0,149
2025-01,Chevrolet Cranberry,Google Ads,internet,34,10,4,6,20564,974
2025-01,Chevrolet Cranberry,Google Ads,phone,13,2,1,1,4058,374
2025-01,Chevrolet Cranberry,Inbound Calls,phone,68,10,7,3,32770,
2025-01,Chevrolet Cranberry,Lease Return,campaign,12,7,5,2,13562,
2025-01,Chevrolet Cranberry,Service Conquest,service,43,5,4,1,11112,
2025-01,Chevrolet Cranberry,TrueCar,internet,31,1,1,0,2713,1039
2025-01,Chevrolet Cranberry,Walk In,showroom,64,24,17,7,83084,
2025-01,Chevrolet Cranberry,Website Chat,chat,51,4,2,2,9617,750
2025-01,Honda Monroeville,Autotrader,internet,149,7,4,3,22153,2333
2025-01,Honda Monroeville,CarGurus,internet,30,3,1,2,8849,718
2025-01,Honda Monroeville,CarGurus,phone,8,0,0,0,0,179
2025-01,Honda Monroeville,Cars.com,internet,102,4,2,2,11583,1814
2025-01,Honda Monroeville,Dealer Website,chat,32,4,2,2,13822,
2025-01,Honda Monroeville,Dealer Website,internet,198,28,15,13,108736,
2025-01,Honda Monroeville,Direct Mail Q1,campaign,95,11,8,3,25163,3769
2025-01,Honda Monroeville,Facebook Marketplace,internet,54,3,2,1,7004,591
2025-01,Honda Monroeville,Google Ads,campaign,4,0,0,0,0,117
2025-01,Honda Monroeville,Google Ads,internet,25,3,1,2,5526,763
2025-01,Honda Monroeville,Google Ads,phone,10,1,0,1,2094,293
2025-01,Honda Monroeville,Inbound Calls,phone,92,19,14,5,63638,
2025-01,Honda Monroeville,Lease Return,campaign,8,4,3,1,7265,
2025-01,Honda Monroeville,Service Conquest,service,31,9,6,3,18798,
2025-01,Honda Monroeville,TrueCar,internet,39,2,1,1,5261,814
2025-01,Honda Monroeville,Walk In,showroom,57,22,16,6,68664,
2025-01,Honda Monroeville,Website Chat,chat,38,4,2,2,9415,588
2025-01,Nissan Boardman,Autotrader,internet,272,15,8,7,47091,4022
2025-01,Nissan Boardman,CarGurus,internet,79,5,1,4,13320,1238
2025-01,Nissan Boardman,CarGurus,phone,20,1,0,1,2427,309
2025-01,Nissan Boardman,Cars.com,internet,194,17,9,8,49824,3128
2025-01,Nissan Boardman,Dealer Website,chat,69,11,6,5,39441,
2025-01,Nissan Boardman,Dealer Website,internet,426,33,18,15,128513,
2025-01,Nissan Boardman,Direct Mail Q1,campaign,141,12,9,3,31144,6500
2025-01,Nissan Boardman,Facebook Marketplace,internet,92,2,1,1,4379,1019
2025-01,Nissan Boardman,Google Ads,campaign,5,0,0,0,0,202
2025-01,Nissan Boardman,Google Ads,internet,35,8,3,5,16681,1316
2025-01,Nissan Boardman,Google Ads,phone,14,4,2,2,9263,506
2025-01,Nissan Boardman,Inbound Calls,phone,134,22,16,6,67164,
2025-01,Nissan Boardman,Lease Return,campaign,16,5,4,1,8161,
2025-01,Nissan Boardman,Service Conquest,service,75,14,10,4,30150,
2025-01,Nissan Boardman,TrueCar,internet,48,4,2,2,11261,1404
2025-01,Nissan Boardman,Walk In,showroom,81,32,23,9,126619,
2025-01,Nissan Boardman,Website Chat,chat,85,5,3,2,12521,1014
2025-02,Chevrolet Cranberry,Autotrader,internet,182,18,10,8,49942,2968
2025-02,Chevrolet Cranberry,CarGurus,internet,75,5,1,4,12736,1103
2025-02,Chevrolet Cranberry,CarGurus,phone,19,1,0,1,2811,275
2025-02,Chevrolet Cranberry,Cars.com,internet,92,7,4,3,21823,2316
2025-02,Chevrolet Cranberry,Dealer Website,chat,41,7,4,3,21047,
2025-02,Chevrolet Cranberry,Dealer Website,internet,255,31,17,14,92304,
2025-02,Chevrolet Cranberry,Direct Mail Q1,campaign,130,15,11,4,35501,6012
2025-02,Chevrolet Cranberry,Facebook Marketplace,internet,123,5,3,2,12331,951
2025-02,Chevrolet Cranberry,Google Ads,campaign,7,0,0,0,0,193
2025-02,Chevrolet Cranberry,Google Ads,internet,44,13,5,8,28815,1258
2025-02,Chevrolet Cranberry,Google Ads,phone,17,4,2,2,9241,483
2025-02,Chevrolet Cranberry,Inbound Calls,phone,81,17,12,5,54193,
2025-02,Chevrolet Cranberry,Lease Return,campaign,14,1,1,0,1644,
2025-02,Chevrolet Cranberry,Service Conquest,service,46,8,6,2,19170,
