deal_id,date,group,store,source,lead_type,new_used,make,model,model_year,sale_price,front_gross,back_gross,fi_products,salesperson_id,days_to_close
D112929,2024-03-26,Summit Auto Group,Summit Honda Westland,Website Chat,chat,new,Honda,Civic,2024,46002,1669,1595,2,SP828,40
D130583,2024-03-26,Summit Auto Group,Summit Hyundai Oakhurst,ATC,internet,new,Hyundai,Kona,2024,37001,1676,1234,3,SP258,32
D132172,2024-03-26,Summit Auto Group,Summit Hyundai Oakhurst,Svc Conquest,service,used,Hyundai,Palisade,2020,18865,1229,630,1,SP533,9
D133976,2024-03-26,Summit Auto Group,Summit Hyundai Oakhurst,Inbound Calls,phone,new,Hyundai,Palisade,2024,42118,2108,1800,1,SP948,38
D134650,2024-03-26,Summit Auto Group,Summit Hyundai Oakhurst,Facebook,internet,used,Chevrolet,Tahoe,2020,21585,2227,818,2,SP883,17
D145730,2024-03-26,Summit Auto Group,Summit Jeep Ram Clearwater,AutoTrader.com,internet,used,Jeep Ram,Wrangler,2021,21336,1985,1228,0,SP713,3
D145732,2024-03-26,Summit Auto Group,Summit Jeep Ram Clearwater,AutoTrader.com,internet,used,Subaru,Forester,2023,24019,1863,922,1,SP503,23
D147083,2024-03-26,Summit Auto Group,Summit Jeep Ram Clearwater,Website,internet,new,Jeep Ram,Gladiator,2024,35911,2173,765,1,SP438,0
D147087,2024-03-26,Summit Auto Group,Summit Jeep Ram Clearwater,Website,internet,new,Jeep Ram,Ram 1500,2024,36114,2692,2136,1,SP187,35
D147088,2024-03-26,Summit Auto Group,Summit Jeep Ram Clearwater,Website,internet,new,Jeep Ram,Grand Cherokee,2024,31913,3115,1685,0,SP426,38
D147109,2024-03-26,Summit Auto Group,Summit Jeep Ram Clearwater,Website,internet,used,Jeep Ram,Ram 2500,2019,20154,3785,717,3,SP216,28
D148514,2024-03-26,Summit Auto Group,Summit Jeep Ram Clearwater,Svc Conquest,service,used,BMW,X3,2022,21771,1604,838,1,SP216,29
D148695,2024-03-26,Summit Auto Group,Summit Jeep Ram Clearwater,Direct Mail,campaign,new,Jeep Ram,Ram 1500,2024,43901,2310,763,0,SP187,15
D148697,2024-03-26,Summit Auto Group,Summit Jeep Ram Clearwater,Direct Mail,campaign,used,Jeep Ram,Compass,2020,20610,1675,1230,0,SP216,18
D148944,2024-03-26,Summit Auto Group,Summit Jeep Ram Clearwater,Walk In,showroom,new,Jeep Ram,Ram 2500,2024,37292,3167,1569,0,SP257,43
D149785,2024-03-26,Summit Auto Group,Summit Jeep Ram Clearwater,Inbound Calls,phone,new,Jeep Ram,Ram 1500,2024,40729,2848,1282,0,SP426,20
D149786,2024-03-26,Summit Auto Group,Summit Jeep Ram Clearwater,Inbound Calls,phone,new,Jeep Ram,Ram 2500,2024,33783,2237,1499,2,SP713,20
D150545,2024-03-26,Summit Auto Group,Summit Jeep Ram Clearwater,Facebook,internet,new,Jeep Ram,Ram 2500,2024,33725,1604,936,0,SP397,19
D150709,2024-03-26,Summit Auto Group,Summit Jeep Ram Clearwater,True Car,internet,used,Subaru,Impreza,2017,22658,1775,575,2,SP672,12
D137386,2024-03-26,Summit Auto Group,Summit Kia Brookfield,Showroom,showroom,new,Kia,Telluride,2024,41125,3257,1268,2,SP586,24
D137391,2024-03-26,Summit Auto Group,Summit Kia Brookfield,Showroom,showroom,new,Kia,Telluride,2024,35482,2245,1876,0,SP944,10
D138750,2024-03-26,Summit Auto Group,Summit Kia Brookfield,True Car,internet,used,Kia,Seltos,2021,18858,1872,579,2,SP488,43
D138902,2024-03-26,Summit Auto Group,Summit Mazda Lakeside,AutoTrader.com,internet,new,Mazda,CX-50,2024,42447,1851,494,2,SP918,14
D139478,2024-03-26,Summit Auto Group,Summit Mazda Lakeside,CarGurus,internet,new,Mazda,CX-30,2024,41873,2806,543,0,SP293,22
D140437,2024-03-26,Summit Auto Group,Summit Mazda Lakeside,Lease Return,campaign,used,Mazda,Mazda3,2019,18569,1361,569,2,SP228,6
D140754,2024-03-26,Summit Auto Group,Summit Mazda Lakeside,Direct Mail,campaign,used,Hyundai,Tucson,2019,21120,1561,681,3,SP228,37
D140912,2024-03-26,Summit Auto Group,Summit Mazda Lakeside,Walk In,showroom,new,Mazda,CX-90,2024,28812,2071,468,1,SP228,22
D140916,2024-03-26,Summit Auto Group,Summit Mazda Lakeside,Walk In,showroom,new,Mazda,CX-90,2024,40886,2641,1327,3,SP882,16
D140922,2024-03-26,Summit Auto Group,Summit Mazda Lakeside,Walk In,showroom,used,Mazda,CX-50,2021,30125,3115,1661,3,SP397,37
D126378,2024-03-26,Summit Auto Group,Summit Nissan Ridgemont,CARS,internet,new,Nissan,Frontier,2024,49096,2747,1255,1,SP788,0
D127113,2024-03-26,Summit Auto Group,Summit Nissan Ridgemont,Dealer Website,internet,new,Nissan,Frontier,2024,48444,3271,1680,1,SP912,17
D127115,2024-03-26,Summit Auto Group,Summit Nissan Ridgemont,Dealer Website,internet,new,Nissan,Kicks,2024,37673,2429,788,3,SP287,37
D127133,2024-03-26,Summit Auto Group,Summit Nissan Ridgemont,Dealer Website,internet,used,Honda,Odyssey,2019,29922,2369,1448,3,SP538,45
D142099,2024-03-26,Summit Auto Group,Summit Subaru Northgate,Autotrader,internet,new,Subaru,Crosstrek,2024,47221,2406,1017,0,SP273,20
D143881,2024-03-26,Summit Auto Group,Summit Subaru Northgate,Lease Return,campaign,new,Subaru,Impreza,2024,31143,1272,508,1,SP548,14
D144369,2024-03-26,Summit Auto Group,Summit Subaru Northgate,Walk-In,showroom,new,Subaru,Outback,2024,30088,3835,1288,1,SP273,18
D144374,2024-03-26,Summit Auto Group,Summit Subaru Northgate,Walk-In,showroom,new,Subaru,Crosstrek,2024,30228,2695,1522,2,SP593,3
D145308,2024-03-26,Summit Auto Group,Summit Subaru Northgate,Website Chat,chat,used,Honda,HR-V,2018,18931,1788,607,2,SP273,37
D100881,2024-03-26,Summit Auto Group,Summit Toyota of Fairview,CARS,internet,used,Toyota,RAV4,2022,26921,1851,959,3,SP628,45
D102043,2024-03-26,Summit Auto Group,Summit Toyota of Fairview,Dealer Website,internet,new,Toyota,Highlander,2024,36206,3271,1607,1,SP353,16
D102051,2024-03-26,Summit Auto Group,Summit Toyota of Fairview,Dealer Website,internet,used,Ford,Maverick,2022,25470,2358,1350,3,SP874,9
D104081,2024-03-26,Summit Auto Group,Summit Toyota of Fairview,Svc Conquest,service,new,Toyota,Corolla,2024,35175,1755,850,1,SP475,18
D151589,2024-03-26,Summit Auto Group,Summit Volkswagen Eastdale,Dealer Website,internet,used,Volkswagen,ID.4,2018,28417,3327,1651,0,SP593,14
D153531,2024-03-26,Summit Auto Group,Summit Volkswagen Eastdale,Facebook,internet,new,Volkswagen,Jetta,2024,29496,1636,429,3,SP593,42
D196572,2024-03-27,Harbor Motor Group,Harbor BMW,auto trader,internet,used,BMW,3 Series,2017,30071,3966,2432,1,SP961,29
D196578,2024-03-27,Harbor Motor Group,Harbor BMW,auto trader,internet,used,Hyundai,Tucson,2022,34735,5367,1898,1,SP839,14
D199243,2024-03-27,Harbor Motor Group,Harbor BMW,Lease Retention,campaign,new,BMW,5 Series,2024,51060,2855,648,3,SP460,41
D199604,2024-03-27,Harbor Motor Group,Harbor BMW,Svc Conquest,service,new,BMW,3 Series,2024,46443,2287,617,1,SP481,37
D199611,2024-03-27,Harbor Motor Group,Harbor BMW,Svc Conquest,service,used,Nissan,Altima,2020,33492,3519,861,1,SP230,8
D199614,2024-03-27,Harbor Motor Group,Harbor BMW,Svc Conquest,service,used,Hyundai,Sonata,2019,29822,2352,711,0,SP629,21
D200089,2024-03-27,Harbor Motor Group,Harbor BMW,Walk In,showroom,used,Ford,Escape,2022,45680,4289,2125,0,SP670,34
D202047,2024-03-27,Harbor Motor Group,Harbor BMW,True Car,internet,new,BMW,X3,2024,46887,3146,817,2,SP629,44
D179225,2024-03-27,Harbor Motor Group,Harbor Chevrolet Marina,auto trader,internet,new,Chevrolet,Equinox,2024,30667,2301,706,1,SP252,35
D180551,2024-03-27,Harbor Motor Group,Harbor Chevrolet Marina,OEM Website,internet,new,Chevrolet,Equinox,2024,37083,3058,1554,0,SP252,11
D180553,2024-03-27,Harbor Motor Group,Harbor Chevrolet Marina,OEM Website,internet,used,Chevrolet,Equinox,2018,24425,3611,1649,1,SP457,23
D180559,2024-03-27,Harbor Motor Group,Harbor Chevrolet Marina,OEM Website,internet,used,BMW,i4,2023,18193,2608,952,3,SP539,43
D180562,2024-03-27,Harbor Motor Group,Harbor Chevrolet Marina,OEM Website,internet,used,Chevrolet,Traverse,2017,18941,3417,1310,1,SP942,27
D181690,2024-03-27,Harbor Motor Group,Harbor Chevrolet Marina,Lease Retention,campaign,new,Chevrolet,Traverse,2024,38155,1629,885,1,SP457,30
D181704,2024-03-27,Harbor Motor Group,Harbor Chevrolet Marina,Lease Retention,campaign,used,Chevrolet,Trax,2023,26250,1104,890,3,SP983,11
D172816,2024-03-27,Harbor Motor Group,Harbor Ford Portside,auto trader,internet,used,Ford,Maverick,2023,22087,2709,424,0,SP490,30
D173480,2024-03-27,Harbor Motor Group,Harbor Ford Portside,Cars .com,internet,used,Ford,Explorer,2020,26673,3258,1328,2,SP490,7
D176756,2024-03-27,Harbor Motor Group,Harbor Ford Portside,Showroom,showroom,new,Ford,Explorer,2024,39314,2726,1495,3,SP244,33
D176766,2024-03-27,Harbor Motor Group,Harbor Ford Portside,Showroom,showroom,new,Ford,Bronco,2024,28820,2131,1211,3,SP946,21
D177784,2024-03-27,Harbor Motor Group,Harbor Ford Portside,Inbound Calls,phone,used,BMW,X1,2018,27455,2478,550,1,SP321,12
D168022,2024-03-27,Harbor Motor Group,Harbor Honda Seaside,CarGurus,internet,new,Honda,Pilot,2024,48707,1341,483,1,SP756,14
D168023,2024-03-27,Harbor Motor Group,Harbor Honda Seaside,CarGurus,internet,new,Honda,HR-V,2024,47137,2438,587,0,SP587,42
D168474,2024-03-27,Harbor Motor Group,Harbor Honda Seaside,Dealer Website,internet,new,Honda,Odyssey,2024,36154,2635,845,0,SP587,11
D169730,2024-03-27,Harbor Motor Group,Harbor Honda Seaside,Lease Retention,campaign,new,Honda,CR-V,2024,35273,1633,791,2,SP756,33
D169732,2024-03-27,Harbor Motor Group,Harbor Honda Seaside,Lease Retention,campaign,new,Honda,Accord,2024,28601,1668,968,0,SP102,35
D170616,2024-03-27,Harbor Motor Group,Harbor Honda Seaside,Showroom,showroom,new,Honda,CR-V,2024,47152,4097,1096,3,SP727,6
D192282,2024-03-27,Harbor Motor Group,Harbor Jeep Ram Anchor,Cars .com,internet,used,Nissan,Sentra,2020,18467,1624,907,1,SP398,18
D194572,2024-03-27,Harbor Motor Group,Harbor Jeep Ram Anchor,Direct Mail,campaign,new,Jeep Ram,Ram 1500,2024,34127,2527,1111,0,SP164,42
D196195,2024-03-27,Harbor Motor Group,Harbor Jeep Ram Anchor,Facebook,internet,new,Jeep Ram,Ram 2500,2024,28810,2044,352,1,SP714,21
D185490,2024-03-27,Harbor Motor Group,Harbor Kia Lighthouse,Dealer Website,internet,used,Toyota,Camry,2021,28870,3336,1781,0,SP607,43
D185493,2024-03-27,Harbor Motor Group,Harbor Kia Lighthouse,Dealer Website,internet,used,Nissan,Frontier,2023,20560,2803,729,3,SP672,12
D185494,2024-03-27,Harbor Motor Group,Harbor Kia Lighthouse,Dealer Website,internet,used,Kia,Sportage,2018,20235,2450,970,3,SP882,35
D185498,2024-03-27,Harbor Motor Group,Harbor Kia Lighthouse,Dealer Website,internet,used,Kia,K5,2017,18608,2995,1680,1,SP841,34
D186937,2024-03-27,Harbor Motor Group,Harbor Kia Lighthouse,Walk In,showroom,new,Kia,K5,2024,33059,1895,1569,2,SP760,43
D187532,2024-03-27,Harbor Motor Group,Harbor Kia Lighthouse,Inbound Calls,phone,new,Kia,Telluride,2024,48831,2902,1152,0,SP151,14
D188279,2024-03-27,Harbor Motor Group,Harbor Kia Lighthouse,True Car,internet,new,Kia,Sportage,2024,46941,1700,951,0,SP106,8
D189267,2024-03-27,Harbor Motor Group,Harbor Subaru Tidewater,Dealer Website,internet,new,Subaru,Impreza,2024,39307,3299,1488,1,SP552,26
D190301,2024-03-27,Harbor Motor Group,Harbor Subaru Tidewater,Direct Mail Q1,campaign,new,Subaru,WRX,2024,40903,2566,1076,0,SP511,31
D191517,2024-03-27,Harbor Motor Group,Harbor Subaru Tidewater,FB Marketplace,internet,used,Honda,HR-V,2019,28431,1665,677,0,SP803,27
D160748,2024-03-27,Harbor Motor Group,Harbor Toyota Bayview,Cars .com,internet,used,Toyota,Highlander,2019,24262,2377,485,3,SP817,22
D161293,2024-03-27,Harbor Motor Group,Harbor Toyota Bayview,cargurus.com,internet,used,Honda,Accord,2023,28626,2018,908,1,SP397,24
D163839,2024-03-27,Harbor Motor Group,Harbor Toyota Bayview,Svc Conquest,service,used,Toyota,Tacoma,2020,30583,1729,438,1,SP882,19
D164385,2024-03-27,Harbor Motor Group,Harbor Toyota Bayview,Walk In,showroom,new,Toyota,RAV4,2024,43888,2582,963,0,SP607,3
D164404,2024-03-27,Harbor Motor Group,Harbor Toyota Bayview,Walk In,showroom,new,Toyota,Tacoma,2024,46369,2535,646,1,SP397,43
D153822,2024-03-27,Summit Auto Group,Summit BMW,Autotrader,internet,used,BMW,X1,2021,34411,4972,1842,3,SP920,26
D155373,2024-03-27,Summit Auto Group,Summit BMW,Dealer Website,internet,new,BMW,X1,2024,72904,5162,1264,2,SP715,14
D155381,2024-03-27,Summit Auto Group,Summit BMW,Dealer Website,internet,used,BMW,X3,2021,37067,3022,2089,0,SP645,43
D156684,2024-03-27,Summit Auto Group,Summit BMW,Lease Return,campaign,new,BMW,X5,2024,50477,2075,1427,1,SP505,7
D157117,2024-03-27,Summit Auto Group,Summit BMW,Service Conquest,service,new,BMW,X3,2024,61893,2916,1757,3,SP961,36
D157126,2024-03-27,Summit Auto Group,Summit BMW,Service Conquest,service,used,BMW,5 Series,2019,28950,3502,1581,3,SP230,30
D157647,2024-03-27,Summit Auto Group,Summit BMW,Walk-In,showroom,new,BMW,5 Series,2024,48288,5021,2050,1,SP949,6
D158604,2024-03-27,Summit Auto Group,Summit BMW,Inbound Phone,phone,new,BMW,i4,2024,55270,3146,1043,1,SP920,26
D121674,2024-03-27,Summit Auto Group,Summit Chevrolet Glenpark,Dealer Website,internet,new,Chevrolet,Trax,2024,41546,1978,1032,1,SP202,38
D123740,2024-03-27,Summit Auto Group,Summit Chevrolet Glenpark,Walk In,showroom,new,Chevrolet,Tahoe,2024,43298,3036,649,0,SP892,35
D124614,2024-03-27,Summit Auto Group,Summit Chevrolet Glenpark,Inbound Phone,phone,new,Chevrolet,Traverse,2024,33976,2222,493,3,SP723,7
D124622,2024-03-27,Summit Auto Group,Summit Chevrolet Glenpark,Inbound Phone,phone,new,Chevrolet,Traverse,2024,35410,1870,1489,1,SP238,7
D125456,2024-03-27,Summit Auto Group,Summit Chevrolet Glenpark,FB Marketplace,internet,used,Nissan,Kicks,2017,20382,1915,303,3,SP477,27
D114811,2024-03-27,Summit Auto Group,Summit Ford Rivera,cargurus.com,internet,new,Ford,Bronco,2024,44332,1962,1413,3,SP130,21
D115355,2024-03-27,Summit Auto Group,Summit Ford Rivera,Website,internet,used,Honda,Pilot,2021,19186,2056,914,1,SP175,16
D116775,2024-03-27,Summit Auto Group,Summit Ford Rivera,Lease Retention,campaign,used,Ford,Bronco,2020,23886,1211,844,1,SP421,0
D117785,2024-03-27,Summit Auto Group,Summit Ford Rivera,Showroom,showroom,used,Ford,Explorer,2022,26694,3566,1297,1,SP175,23
D108028,2024-03-27,Summit Auto Group,Summit Honda Westland,Cars.com,internet,new,Honda,Pilot,2024,37548,2309,911,0,SP219,11
D108554,2024-03-27,Summit Auto Group,Summit Honda Westland,CarGurus,internet,new,Honda,CR-V,2024,36472,2622,1449,2,SP598,11
D108563,2024-03-27,Summit Auto Group,Summit Honda Westland,CarGurus,internet,used,Honda,Civic,2018,28888,2173,1482,2,SP873,6
D109066,2024-03-27,Summit Auto Group,Summit Honda Westland,Dealer Website,internet,used,Subaru,WRX,2018,20579,2591,1853,1,SP388,15
D110968,2024-03-27,Summit Auto Group,Summit Honda Westland,Direct Mail Q1,campaign,used,Jeep Ram,Ram 2500,2018,27772,1791,546,3,SP458,4
D111277,2024-03-27,Summit Auto Group,Summit Honda Westland,Walk In,showroom,used,Kia,Forte,2020,21135,3002,1101,3,SP429,19
D113158,2024-03-27,Summit Auto Group,Summit Honda Westland,Facebook,internet,new,Honda,Odyssey,2024,44897,2253,370,1,SP219,20
D130581,2024-03-27,Summit Auto Group,Summit Hyundai Oakhurst,ATC,internet,new,Hyundai,Sonata,2024,39269,2132,1018,0,SP427,31
D130590,2024-03-27,Summit Auto Group,Summit Hyundai Oakhurst,ATC,internet,used,Hyundai,Kona,2021,27683,1926,1200,1,SP883,12
D130597,2024-03-27,Summit Auto Group,Summit Hyundai Oakhurst,ATC,internet,used,Ford,Bronco,2020,27160,1874,605,1,SP673,2
D131087,2024-03-27,Summit Auto Group,Summit Hyundai Oakhurst,CarGurus,internet,new,Hyundai,Palisade,2024,41828,2228,567,1,SP134,6
D131896,2024-03-27,Summit Auto Group,Summit Hyundai Oakhurst,Lease Return,campaign,new,Hyundai,Sonata,2024,46528,1052,584,1,SP468,34
D134497,2024-03-27,Summit Auto Group,Summit Hyundai Oakhurst,Live Chat,chat,new,Hyundai,Kona,2024,39125,2083,1012,0,SP948,7
D145725,2024-03-27,Summit Auto Group,Summit Jeep Ram Clearwater,AutoTrader.com,internet,new,Jeep Ram,Grand Cherokee,2024,35499,2783,1100,0,SP713,33
D145735,2024-03-27,Summit Auto Group,Summit Jeep Ram Clearwater,AutoTrader.com,internet,used,Jeep Ram,Ram 2500,2023,24652,2845,991,1,SP672,14
D147085,2024-03-27,Summit Auto Group,Summit Jeep Ram Clearwater,Website,internet,new,Jeep Ram,Compass,2024,35884,3639,1482,3,SP228,11
D147108,2024-03-27,Summit Auto Group,Summit Jeep Ram Clearwater,Website,internet,used,Jeep Ram,Gladiator,2021,29504,2232,660,1,SP713,15
D148177,2024-03-27,Summit Auto Group,Summit Jeep Ram Clearwater,Lease Return,campaign,new,Jeep Ram,Wrangler,2024,30625,1365,937,0,SP882,45
D148691,2024-03-27,Summit Auto Group,Summit Jeep Ram Clearwater,Direct Mail,campaign,new,Jeep Ram,Grand Cherokee,2024,43014,1561,699,2,SP187,13
D148951,2024-03-27,Summit Auto Group,Summit Jeep Ram Clearwater,Walk In,showroom,new,Jeep Ram,Wrangler,2024,30273,2859,515,1,SP216,42
D148957,2024-03-27,Summit Auto Group,Summit Jeep Ram Clearwater,Walk In,showroom,used,Subaru,Outback,2020,27936,1760,1139,0,SP882,39
D148960,2024-03-27,Summit Auto Group,Summit Jeep Ram Clearwater,Walk In,showroom,used,Toyota,RAV4,2019,29577,1799,610,3,SP257,11
D150393,2024-03-27,Summit Auto Group,Summit Jeep Ram Clearwater,Live Chat,chat,used,Subaru,Crosstrek,2022,24720,1418,345,3,SP426,4
D134866,2024-03-27,Summit Auto Group,Summit Kia Brookfield,AutoTrader.com,internet,new,Kia,Telluride,2024,41746,2040,1738,3,SP500,23
D137387,2024-03-27,Summit Auto Group,Summit Kia Brookfield,Showroom,showroom,new,Kia,K5,2024,40841,2929,1460,0,SP775,45
D138000,2024-03-27,Summit Auto Group,Summit Kia Brookfield,Inbound Calls,phone,new,Kia,Seltos,2024,29003,2434,483,1,SP586,10
D138003,2024-03-27,Summit Auto Group,Summit Kia Brookfield,Inbound Calls,phone,new,Kia,Forte,2024,30568,2779,1283,1,SP545,12
D138015,2024-03-27,Summit Auto Group,Summit Kia Brookfield,Inbound Calls,phone,used,Kia,Sorento,2017,20521,2017,1210,0,SP254,44
D138456,2024-03-27,Summit Auto Group,Summit Kia Brookfield,Live Chat,chat,new,Kia,Sportage,2024,37399,1809,942,1,SP545,24
D138909,2024-03-27,Summit Auto Group,Summit Mazda Lakeside,AutoTrader.com,internet,used,Mazda,CX-90,2019,25218,2191,523,1,SP918,6
D138910,2024-03-27,Summit Auto Group,Summit Mazda Lakeside,AutoTrader.com,internet,used,Mazda,Mazda3,2022,23836,2571,1186,0,SP713,6
D139480,2024-03-27,Summit Auto Group,Summit Mazda Lakeside,CarGurus,internet,used,BMW,X3,2017,24351,2281,1151,3,SP882,33
D139727,2024-03-27,Summit Auto Group,Summit Mazda Lakeside,Dealer Website,internet,used,Mazda,CX-30,2020,29778,2584,1277,1,SP462,19
D140639,2024-03-27,Summit Auto Group,Summit Mazda Lakeside,Svc Conquest,service,new,Mazda,CX-5,2024,30486,1310,1162,0,SP627,25
D140752,2024-03-27,Summit Auto Group,Summit Mazda Lakeside,Direct Mail,campaign,new,Mazda,MX-5,2024,39872,1812,619,3,SP672,26
D125878,2024-03-27,Summit Auto Group,Summit Nissan Ridgemont,auto trader,internet,new,Nissan,Frontier,2024,35126,1546,409,0,SP788,4
D128108,2024-03-27,Summit Auto Group,Summit Nissan Ridgemont,Lease Retention,campaign,new,Nissan,Kicks,2024,34762,1195,616,1,SP982,0
D128828,2024-03-27,Summit Auto Group,Summit Nissan Ridgemont,Walk-In,showroom,used,Nissan,Sentra,2022,29373,3537,1765,0,SP538,31
D129551,2024-03-27,Summit Auto Group,Summit Nissan Ridgemont,Inbound Calls,phone,new,Nissan,Pathfinder,2024,48380,1568,851,0,SP497,13
D130081,2024-03-27,Summit Auto Group,Summit Nissan Ridgemont,Live Chat,chat,new,Nissan,Sentra,2024,29496,2218,1068,0,SP912,37
D130083,2024-03-27,Summit Auto Group,Summit Nissan Ridgemont,Live Chat,chat,used,Nissan,Sentra,2020,28066,2286,1175,2,SP977,41
D130407,2024-03-27,Summit Auto Group,Summit Nissan Ridgemont,TrueCar,internet,new,Nissan,Frontier,2024,47750,2169,581,3,SP287,0
D142101,2024-03-27,Summit Auto Group,Summit Subaru Northgate,Autotrader,internet,new,Subaru,WRX,2024,30395,1961,542,0,SP507,5
D143113,2024-03-27,Summit Auto Group,Summit Subaru Northgate,OEM Website,internet,used,Ford,Maverick,2020,26676,2830,953,1,SP507,35
D144117,2024-03-27,Summit Auto Group,Summit Subaru Northgate,Svc Conquest,service,new,Subaru,Impreza,2024,34903,1332,1050,3,SP951,29
D145541,2024-03-27,Summit Auto Group,Summit Subaru Northgate,True Car,internet,new,Subaru,WRX,2024,31762,1994,1229,0,SP338,15
D100121,2024-03-27,Summit Auto Group,Summit Toyota of Fairview,auto trader,internet,new,Toyota,Corolla,2024,41944,2706,1478,1,SP394,3
D100124,2024-03-27,Summit Auto Group,Summit Toyota of Fairview,auto trader,internet,new,Toyota,Highlander,2024,31119,2206,1417,0,SP874,14
D100130,2024-03-27,Summit Auto Group,Summit Toyota of Fairview,auto trader,internet,new,Toyota,Tundra,2024,31915,2506,469,0,SP394,25
D100873,2024-03-27,Summit Auto Group,Summit Toyota of Fairview,CARS,internet,new,Toyota,Tacoma,2024,48770,1964,871,1,SP563,45
D102066,2024-03-27,Summit Auto Group,Summit Toyota of Fairview,Dealer Website,internet,used,Hyundai,Palisade,2017,28765,2460,1416,1,SP394,25
D103611,2024-03-27,Summit Auto Group,Summit Toyota of Fairview,Lease Retention,campaign,new,Toyota,Camry,2024,33023,1187,275,0,SP838,29
D103615,2024-03-27,Summit Auto Group,Summit Toyota of Fairview,Lease Retention,campaign,new,Toyota,Tacoma,2024,48954,1363,736,0,SP353,18
D104079,2024-03-27,Summit Auto Group,Summit Toyota of Fairview,Svc Conquest,service,new,Toyota,RAV4,2024,47182,1323,758,0,SP475,19
D105716,2024-03-27,Summit Auto Group,Summit Toyota of Fairview,Inbound Calls,phone,new,Toyota,Camry,2024,44168,2735,697,1,SP353,27
D105722,2024-03-27,Summit Auto Group,Summit Toyota of Fairview,Inbound Calls,phone,used,Toyota,Highlander,2023,31159,2814,1226,1,SP475,24
D106856,2024-03-27,Summit Auto Group,Summit Toyota of Fairview,FB Marketplace,internet,used,Kia,Sportage,2017,22975,1994,961,0,SP143,37
D150837,2024-03-27,Summit Auto Group,Summit Volkswagen Eastdale,auto trader,internet,new,Volkswagen,Tiguan,2024,43103,1941,1522,0,SP440,38
D151374,2024-03-27,Summit Auto Group,Summit Volkswagen Eastdale,Car Gurus,internet,new,Volkswagen,Taos,2024,40925,2342,862,0,SP650,17
D152218,2024-03-27,Summit Auto Group,Summit Volkswagen Eastdale,Lease Retention,campaign,new,Volkswagen,Jetta,2024,43948,1464,321,0,SP440,19
D152398,2024-03-27,Summit Auto Group,Summit Volkswagen Eastdale,Service Conquest,service,new,Volkswagen,Atlas,2024,36612,1371,397,0,SP803,40
D198023,2024-03-28,Harbor Motor Group,Harbor BMW,Dealer Website,internet,new,BMW,5 Series,2024,54917,4540,1531,1,SP481,14
D198036,2024-03-28,Harbor Motor Group,Harbor BMW,Dealer Website,internet,new,BMW,5 Series,2024,68097,4840,2400,0,SP460,1
D198050,2024-03-28,Harbor Motor Group,Harbor BMW,Dealer Website,internet,used,Ford,Maverick,2018,30949,6221,1337,1,SP920,4
D200092,2024-03-28,Harbor Motor Group,Harbor BMW,Walk In,showroom,used,BMW,X5,2017,35207,4717,1122,1,SP629,5
D200981,2024-03-28,Harbor Motor Group,Harbor BMW,Phone Up,phone,new,BMW,X5,2024,46470,5372,1270,1,SP440,16
D201859,2024-03-28,Harbor Motor Group,Harbor BMW,Facebook Marketplace,internet,new,BMW,i4,2024,69152,3007,513,0,SP230,33
D201864,2024-03-28,Harbor Motor Group,Harbor BMW,Facebook Marketplace,internet,used,BMW,i4,2022,36945,2619,617,0,SP481,24
D202048,2024-03-28,Harbor Motor Group,Harbor BMW,True Car,internet,new,BMW,i4,2024,60463,3143,1768,2,SP440,34
D180539,2024-03-28,Harbor Motor Group,Harbor Chevrolet Marina,OEM Website,internet,new,Chevrolet,Equinox,2024,41541,3411,1398,2,SP498,15
D182231,2024-03-28,Harbor Motor Group,Harbor Chevrolet Marina,Direct Mail Q1,campaign,new,Chevrolet,Malibu,2024,40106,2407,724,2,SP732,17
D182496,2024-03-28,Harbor Motor Group,Harbor Chevrolet Marina,Walk-In,showroom,new,Chevrolet,Malibu,2024,29555,2597,1514,3,SP773,20
D183347,2024-03-28,Harbor Motor Group,Harbor Chevrolet Marina,Inbound Calls,phone,new,Chevrolet,Malibu,2024,40470,2380,610,0,SP252,9
D173982,2024-03-28,Harbor Motor Group,Harbor Ford Portside,CarGurus,internet,used,Ford,Explorer,2017,20485,1743,1457,1,SP700,0
D173984,2024-03-28,Harbor Motor Group,Harbor Ford Portside,CarGurus,internet,used,Subaru,Crosstrek,2022,23372,1980,1369,3,SP244,13
D174521,2024-03-28,Harbor Motor Group,Harbor Ford Portside,OEM Website,internet,used,Ford,Bronco,2019,22516,2089,539,1,SP519,22
D175836,2024-03-28,Harbor Motor Group,Harbor Ford Portside,Lease Return,campaign,used,Ford,Mustang,2021,25237,1535,349,1,SP905,31
D176747,2024-03-28,Harbor Motor Group,Harbor Ford Portside,Showroom,showroom,new,Ford,Escape,2024,39817,2646,1026,2,SP934,19
D177785,2024-03-28,Harbor Motor Group,Harbor Ford Portside,Inbound Calls,phone,used,Ford,Mustang,2020,27288,2219,1019,1,SP905,12
D169741,2024-03-28,Harbor Motor Group,Harbor Honda Seaside,Lease Retention,campaign,used,Honda,CR-V,2017,29553,1368,325,0,SP961,41
D170121,2024-03-28,Harbor Motor Group,Harbor Honda Seaside,Svc Conquest,service,new,Honda,Civic,2024,29023,1488,743,1,SP937,12
D170611,2024-03-28,Harbor Motor Group,Harbor Honda Seaside,Showroom,showroom,new,Honda,Odyssey,2024,39933,2678,1750,1,SP522,0
