period,group,store,channel,spend
2024-07,Summit Auto Group,Summit Nissan Ridgemont,Paid Social,393
2024-07,Summit Auto Group,Summit Subaru Northgate,Paid Search,852
2024-07,Summit Auto Group,Summit Subaru Northgate,Paid Social,350
2024-07,Summit Auto Group,Summit Toyota of Fairview,Paid Search,1782
2024-07,Summit Auto Group,Summit Toyota of Fairview,Paid Social,608
2024-07,Summit Auto Group,Summit Volkswagen Eastdale,Paid Search,853
2024-07,Summit Auto Group,Summit Volkswagen Eastdale,Paid Social,341
2024-08,Harbor Motor Group,Harbor BMW,Paid Search,1726
2024-08,Harbor Motor Group,Harbor BMW,Paid Social,597
2024-08,Harbor Motor Group,Harbor Chevrolet Marina,Paid Search,1580
2024-08,Harbor Motor Group,Harbor Chevrolet Marina,Paid Social,548
2024-08,Harbor Motor Group,Harbor Ford Portside,Paid Search,1638
2024-08,Harbor Motor Group,Harbor Ford Portside,Paid Social,581
2024-08,Harbor Motor Group,Harbor Honda Seaside,Paid Search,1589
2024-08,Harbor Motor Group,Harbor Honda Seaside,Paid Social,560
2024-08,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Search,1161
2024-08,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Social,473
2024-08,Harbor Motor Group,Harbor Kia Lighthouse,Paid Search,928
2024-08,Harbor Motor Group,Harbor Kia Lighthouse,Paid Social,406
2024-08,Harbor Motor Group,Harbor Subaru Tidewater,Paid Search,813
2024-08,Harbor Motor Group,Harbor Subaru Tidewater,Paid Social,319
2024-08,Harbor Motor Group,Harbor Toyota Bayview,Paid Search,1948
2024-08,Harbor Motor Group,Harbor Toyota Bayview,Paid Social,643
2024-08,Summit Auto Group,Summit BMW,Paid Search,1817
2024-08,Summit Auto Group,Summit BMW,Paid Social,602
2024-08,Summit Auto Group,Summit Chevrolet Glenpark,Paid Search,1670
2024-08,Summit Auto Group,Summit Chevrolet Glenpark,Paid Social,584
2024-08,Summit Auto Group,Summit Ford Rivera,Paid Search,2004
2024-08,Summit Auto Group,Summit Ford Rivera,Paid Social,707
2024-08,Summit Auto Group,Summit Honda Westland,Paid Search,1346
2024-08,Summit Auto Group,Summit Honda Westland,Paid Social,540
2024-08,Summit Auto Group,Summit Hyundai Oakhurst,Paid Search,1243
2024-08,Summit Auto Group,Summit Hyundai Oakhurst,Paid Social,418
2024-08,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Search,1383
2024-08,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Social,549
2024-08,Summit Auto Group,Summit Kia Brookfield,Paid Search,1225
2024-08,Summit Auto Group,Summit Kia Brookfield,Paid Social,446
2024-08,Summit Auto Group,Summit Mazda Lakeside,Paid Search,683
2024-08,Summit Auto Group,Summit Mazda Lakeside,Paid Social,305
2024-08,Summit Auto Group,Summit Nissan Ridgemont,Paid Search,1144
2024-08,Summit Auto Group,Summit Nissan Ridgemont,Paid Social,412
2024-08,Summit Auto Group,Summit Subaru Northgate,Paid Search,1091
2024-08,Summit Auto Group,Summit Subaru Northgate,Paid Social,345
2024-08,Summit Auto Group,Summit Toyota of Fairview,Paid Search,1971
2024-08,Summit Auto Group,Summit Toyota of Fairview,Paid Social,618
2024-08,Summit Auto Group,Summit Volkswagen Eastdale,Paid Search,741
2024-08,Summit Auto Group,Summit Volkswagen Eastdale,Paid Social,289
2024-09,Harbor Motor Group,Harbor BMW,Paid Search,1589
2024-09,Harbor Motor Group,Harbor BMW,Paid Social,573
2024-09,Harbor Motor Group,Harbor Chevrolet Marina,Paid Search,1080
2024-09,Harbor Motor Group,Harbor Chevrolet Marina,Paid Social,484
2024-09,Harbor Motor Group,Harbor Ford Portside,Paid Search,1721
2024-09,Harbor Motor Group,Harbor Ford Portside,Paid Social,743
2024-09,Harbor Motor Group,Harbor Honda Seaside,Paid Search,1648
2024-09,Harbor Motor Group,Harbor Honda Seaside,Paid Social,593
2024-09,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Search,1322
2024-09,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Social,414
2024-09,Harbor Motor Group,Harbor Kia Lighthouse,Paid Search,899
2024-09,Harbor Motor Group,Harbor Kia Lighthouse,Paid Social,416
2024-09,Harbor Motor Group,Harbor Subaru Tidewater,Paid Search,895
2024-09,Harbor Motor Group,Harbor Subaru Tidewater,Paid Social,361
2024-09,Harbor Motor Group,Harbor Toyota Bayview,Paid Search,2137
2024-09,Harbor Motor Group,Harbor Toyota Bayview,Paid Social,632
2024-09,Summit Auto Group,Summit BMW,Paid Search,1844
2024-09,Summit Auto Group,Summit BMW,Paid Social,566
2024-09,Summit Auto Group,Summit Chevrolet Glenpark,Paid Search,1453
2024-09,Summit Auto Group,Summit Chevrolet Glenpark,Paid Social,649
2024-09,Summit Auto Group,Summit Ford Rivera,Paid Search,2055
2024-09,Summit Auto Group,Summit Ford Rivera,Paid Social,660
2024-09,Summit Auto Group,Summit Honda Westland,Paid Search,1557
2024-09,Summit Auto Group,Summit Honda Westland,Paid Social,526
2024-09,Summit Auto Group,Summit Hyundai Oakhurst,Paid Search,1196
2024-09,Summit Auto Group,Summit Hyundai Oakhurst,Paid Social,335
2024-09,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Search,1557
2024-09,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Social,496
2024-09,Summit Auto Group,Summit Kia Brookfield,Paid Search,866
2024-09,Summit Auto Group,Summit Kia Brookfield,Paid Social,420
2024-09,Summit Auto Group,Summit Mazda Lakeside,Paid Search,766
2024-09,Summit Auto Group,Summit Mazda Lakeside,Paid Social,297
2024-09,Summit Auto Group,Summit Nissan Ridgemont,Paid Search,1198
2024-09,Summit Auto Group,Summit Nissan Ridgemont,Paid Social,425
2024-09,Summit Auto Group,Summit Subaru Northgate,Paid Search,771
2024-09,Summit Auto Group,Summit Subaru Northgate,Paid Social,321
2024-09,Summit Auto Group,Summit Toyota of Fairview,Paid Search,1580
2024-09,Summit Auto Group,Summit Toyota of Fairview,Paid Social,704
2024-09,Summit Auto Group,Summit Volkswagen Eastdale,Paid Search,721
2024-09,Summit Auto Group,Summit Volkswagen Eastdale,Paid Social,292
2024-10,Harbor Motor Group,Harbor BMW,Paid Search,1579
2024-10,Harbor Motor Group,Harbor BMW,Paid Social,546
2024-10,Harbor Motor Group,Harbor Chevrolet Marina,Paid Search,1108
2024-10,Harbor Motor Group,Harbor Chevrolet Marina,Paid Social,595
2024-10,Harbor Motor Group,Harbor Ford Portside,Paid Search,1379
2024-10,Harbor Motor Group,Harbor Ford Portside,Paid Social,539
2024-10,Harbor Motor Group,Harbor Honda Seaside,Paid Search,1558
2024-10,Harbor Motor Group,Harbor Honda Seaside,Paid Social,658
2024-10,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Search,1346
2024-10,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Social,410
2024-10,Harbor Motor Group,Harbor Kia Lighthouse,Paid Search,1029
2024-10,Harbor Motor Group,Harbor Kia Lighthouse,Paid Social,346
2024-10,Harbor Motor Group,Harbor Subaru Tidewater,Paid Search,731
2024-10,Harbor Motor Group,Harbor Subaru Tidewater,Paid Social,377
2024-10,Harbor Motor Group,Harbor Toyota Bayview,Paid Search,1682
2024-10,Harbor Motor Group,Harbor Toyota Bayview,Paid Social,778
2024-10,Summit Auto Group,Summit BMW,Paid Search,1345
2024-10,Summit Auto Group,Summit BMW,Paid Social,508
2024-10,Summit Auto Group,Summit Chevrolet Glenpark,Paid Search,1742
2024-10,Summit Auto Group,Summit Chevrolet Glenpark,Paid Social,610
2024-10,Summit Auto Group,Summit Ford Rivera,Paid Search,1907
2024-10,Summit Auto Group,Summit Ford Rivera,Paid Social,721
2024-10,Summit Auto Group,Summit Honda Westland,Paid Search,1381
2024-10,Summit Auto Group,Summit Honda Westland,Paid Social,545
2024-10,Summit Auto Group,Summit Hyundai Oakhurst,Paid Search,1237
2024-10,Summit Auto Group,Summit Hyundai Oakhurst,Paid Social,388
2024-10,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Search,1107
2024-10,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Social,424
2024-10,Summit Auto Group,Summit Kia Brookfield,Paid Search,1051
2024-10,Summit Auto Group,Summit Kia Brookfield,Paid Social,450
2024-10,Summit Auto Group,Summit Mazda Lakeside,Paid Search,960
2024-10,Summit Auto Group,Summit Mazda Lakeside,Paid Social,291
2024-10,Summit Auto Group,Summit Nissan Ridgemont,Paid Search,1105
2024-10,Summit Auto Group,Summit Nissan Ridgemont,Paid Social,519
2024-10,Summit Auto Group,Summit Subaru Northgate,Paid Search,804
2024-10,Summit Auto Group,Summit Subaru Northgate,Paid Social,387
2024-10,Summit Auto Group,Summit Toyota of Fairview,Paid Search,1918
2024-10,Summit Auto Group,Summit Toyota of Fairview,Paid Social,687
2024-10,Summit Auto Group,Summit Volkswagen Eastdale,Paid Search,821
2024-10,Summit Auto Group,Summit Volkswagen Eastdale,Paid Social,323
2024-11,Harbor Motor Group,Harbor BMW,Paid Search,1497
2024-11,Harbor Motor Group,Harbor BMW,Paid Social,575
2024-11,Harbor Motor Group,Harbor Chevrolet Marina,Paid Search,1539
2024-11,Harbor Motor Group,Harbor Chevrolet Marina,Paid Social,479
2024-11,Harbor Motor Group,Harbor Ford Portside,Paid Search,1442
2024-11,Harbor Motor Group,Harbor Ford Portside,Paid Social,622
2024-11,Harbor Motor Group,Harbor Honda Seaside,Paid Search,1639
2024-11,Harbor Motor Group,Harbor Honda Seaside,Paid Social,482
2024-11,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Search,1408
2024-11,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Social,495
2024-11,Harbor Motor Group,Harbor Kia Lighthouse,Paid Search,829
2024-11,Harbor Motor Group,Harbor Kia Lighthouse,Paid Social,312
2024-11,Harbor Motor Group,Harbor Subaru Tidewater,Paid Search,898
2024-11,Harbor Motor Group,Harbor Subaru Tidewater,Paid Social,323
2024-11,Harbor Motor Group,Harbor Toyota Bayview,Paid Search,1918
2024-11,Harbor Motor Group,Harbor Toyota Bayview,Paid Social,760
2024-11,Summit Auto Group,Summit BMW,Paid Search,1487
2024-11,Summit Auto Group,Summit BMW,Paid Social,690
2024-11,Summit Auto Group,Summit Chevrolet Glenpark,Paid Search,1672
2024-11,Summit Auto Group,Summit Chevrolet Glenpark,Paid Social,662
2024-11,Summit Auto Group,Summit Ford Rivera,Paid Search,2062
2024-11,Summit Auto Group,Summit Ford Rivera,Paid Social,770
2024-11,Summit Auto Group,Summit Honda Westland,Paid Search,1699
2024-11,Summit Auto Group,Summit Honda Westland,Paid Social,498
2024-11,Summit Auto Group,Summit Hyundai Oakhurst,Paid Search,1261
2024-11,Summit Auto Group,Summit Hyundai Oakhurst,Paid Social,408
2024-11,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Search,1519
2024-11,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Social,479
2024-11,Summit Auto Group,Summit Kia Brookfield,Paid Search,1137
2024-11,Summit Auto Group,Summit Kia Brookfield,Paid Social,325
2024-11,Summit Auto Group,Summit Mazda Lakeside,Paid Search,806
2024-11,Summit Auto Group,Summit Mazda Lakeside,Paid Social,313
2024-11,Summit Auto Group,Summit Nissan Ridgemont,Paid Search,1233
2024-11,Summit Auto Group,Summit Nissan Ridgemont,Paid Social,532
2024-11,Summit Auto Group,Summit Subaru Northgate,Paid Search,899
2024-11,Summit Auto Group,Summit Subaru Northgate,Paid Social,421
2024-11,Summit Auto Group,Summit Toyota of Fairview,Paid Search,2178
2024-11,Summit Auto Group,Summit Toyota of Fairview,Paid Social,853
2024-11,Summit Auto Group,Summit Volkswagen Eastdale,Paid Search,850
2024-11,Summit Auto Group,Summit Volkswagen Eastdale,Paid Social,326
2024-12,Harbor Motor Group,Harbor BMW,Paid Search,1704
2024-12,Harbor Motor Group,Harbor BMW,Paid Social,511
2024-12,Harbor Motor Group,Harbor Chevrolet Marina,Paid Search,1153
2024-12,Harbor Motor Group,Harbor Chevrolet Marina,Paid Social,482
2024-12,Harbor Motor Group,Harbor Ford Portside,Paid Search,1333
2024-12,Harbor Motor Group,Harbor Ford Portside,Paid Social,568
2024-12,Harbor Motor Group,Harbor Honda Seaside,Paid Search,1641
2024-12,Harbor Motor Group,Harbor Honda Seaside,Paid Social,663
2024-12,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Search,1361
2024-12,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Social,408
2024-12,Harbor Motor Group,Harbor Kia Lighthouse,Paid Search,1129
2024-12,Harbor Motor Group,Harbor Kia Lighthouse,Paid Social,422
2024-12,Harbor Motor Group,Harbor Subaru Tidewater,Paid Search,864
2024-12,Harbor Motor Group,Harbor Subaru Tidewater,Paid Social,275
2024-12,Harbor Motor Group,Harbor Toyota Bayview,Paid Search,2040
2024-12,Harbor Motor Group,Harbor Toyota Bayview,Paid Social,713
2024-12,Summit Auto Group,Summit BMW,Paid Search,1463
2024-12,Summit Auto Group,Summit BMW,Paid Social,649
2024-12,Summit Auto Group,Summit Chevrolet Glenpark,Paid Search,1235
2024-12,Summit Auto Group,Summit Chevrolet Glenpark,Paid Social,523
2024-12,Summit Auto Group,Summit Ford Rivera,Paid Search,1725
2024-12,Summit Auto Group,Summit Ford Rivera,Paid Social,792
2024-12,Summit Auto Group,Summit Honda Westland,Paid Search,1916
2024-12,Summit Auto Group,Summit Honda Westland,Paid Social,604
2024-12,Summit Auto Group,Summit Hyundai Oakhurst,Paid Search,1314
2024-12,Summit Auto Group,Summit Hyundai Oakhurst,Paid Social,492
2024-12,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Search,1322
2024-12,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Social,500
2024-12,Summit Auto Group,Summit Kia Brookfield,Paid Search,1103
2024-12,Summit Auto Group,Summit Kia Brookfield,Paid Social,321
2024-12,Summit Auto Group,Summit Mazda Lakeside,Paid Search,716
2024-12,Summit Auto Group,Summit Mazda Lakeside,Paid Social,360
2024-12,Summit Auto Group,Summit Nissan Ridgemont,Paid Search,1239
2024-12,Summit Auto Group,Summit Nissan Ridgemont,Paid Social,507
2024-12,Summit Auto Group,Summit Subaru Northgate,Paid Search,771
2024-12,Summit Auto Group,Summit Subaru Northgate,Paid Social,314
2024-12,Summit Auto Group,Summit Toyota of Fairview,Paid Search,2165
2024-12,Summit Auto Group,Summit Toyota of Fairview,Paid Social,755
2024-12,Summit Auto Group,Summit Volkswagen Eastdale,Paid Search,631
2024-12,Summit Auto Group,Summit Volkswagen Eastdale,Paid Social,314
2025-01,Harbor Motor Group,Harbor BMW,Paid Search,1190
2025-01,Harbor Motor Group,Harbor BMW,Paid Social,597
2025-01,Harbor Motor Group,Harbor Chevrolet Marina,Paid Search,1567
2025-01,Harbor Motor Group,Harbor Chevrolet Marina,Paid Social,596
2025-01,Harbor Motor Group,Harbor Ford Portside,Paid Search,1460
2025-01,Harbor Motor Group,Harbor Ford Portside,Paid Social,629
2025-01,Harbor Motor Group,Harbor Honda Seaside,Paid Search,1669
2025-01,Harbor Motor Group,Harbor Honda Seaside,Paid Social,617
2025-01,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Search,1163
2025-01,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Social,387
2025-01,Harbor Motor Group,Harbor Kia Lighthouse,Paid Search,828
2025-01,Harbor Motor Group,Harbor Kia Lighthouse,Paid Social,395
2025-01,Harbor Motor Group,Harbor Subaru Tidewater,Paid Search,725
2025-01,Harbor Motor Group,Harbor Subaru Tidewater,Paid Social,340
2025-01,Harbor Motor Group,Harbor Toyota Bayview,Paid Search,1825
2025-01,Harbor Motor Group,Harbor Toyota Bayview,Paid Social,693
2025-01,Summit Auto Group,Summit BMW,Paid Search,1800
2025-01,Summit Auto Group,Summit BMW,Paid Social,680
2025-01,Summit Auto Group,Summit Chevrolet Glenpark,Paid Search,1324
2025-01,Summit Auto Group,Summit Chevrolet Glenpark,Paid Social,631
2025-01,Summit Auto Group,Summit Ford Rivera,Paid Search,1458
2025-01,Summit Auto Group,Summit Ford Rivera,Paid Social,746
2025-01,Summit Auto Group,Summit Honda Westland,Paid Search,1528
2025-01,Summit Auto Group,Summit Honda Westland,Paid Social,571
2025-01,Summit Auto Group,Summit Hyundai Oakhurst,Paid Search,1227
2025-01,Summit Auto Group,Summit Hyundai Oakhurst,Paid Social,466
2025-01,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Search,1331
2025-01,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Social,606
2025-01,Summit Auto Group,Summit Kia Brookfield,Paid Search,1132
2025-01,Summit Auto Group,Summit Kia Brookfield,Paid Social,386
2025-01,Summit Auto Group,Summit Mazda Lakeside,Paid Search,708
2025-01,Summit Auto Group,Summit Mazda Lakeside,Paid Social,264
2025-01,Summit Auto Group,Summit Nissan Ridgemont,Paid Search,1371
2025-01,Summit Auto Group,Summit Nissan Ridgemont,Paid Social,470
2025-01,Summit Auto Group,Summit Subaru Northgate,Paid Search,949
2025-01,Summit Auto Group,Summit Subaru Northgate,Paid Social,312
2025-01,Summit Auto Group,Summit Toyota of Fairview,Paid Search,1941
2025-01,Summit Auto Group,Summit Toyota of Fairview,Paid Social,665
2025-01,Summit Auto Group,Summit Volkswagen Eastdale,Paid Search,756
2025-01,Summit Auto Group,Summit Volkswagen Eastdale,Paid Social,332
2025-02,Harbor Motor Group,Harbor BMW,Paid Search,1289
2025-02,Harbor Motor Group,Harbor BMW,Paid Social,630
2025-02,Harbor Motor Group,Harbor Chevrolet Marina,Paid Search,1575
2025-02,Harbor Motor Group,Harbor Chevrolet Marina,Paid Social,577
2025-02,Harbor Motor Group,Harbor Ford Portside,Paid Search,1784
2025-02,Harbor Motor Group,Harbor Ford Portside,Paid Social,543
2025-02,Harbor Motor Group,Harbor Honda Seaside,Paid Search,1316
2025-02,Harbor Motor Group,Harbor Honda Seaside,Paid Social,659
2025-02,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Search,1446
2025-02,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Social,516
2025-02,Harbor Motor Group,Harbor Kia Lighthouse,Paid Search,1145
2025-02,Harbor Motor Group,Harbor Kia Lighthouse,Paid Social,418
2025-02,Harbor Motor Group,Harbor Subaru Tidewater,Paid Search,1041
2025-02,Harbor Motor Group,Harbor Subaru Tidewater,Paid Social,287
2025-02,Harbor Motor Group,Harbor Toyota Bayview,Paid Search,1987
2025-02,Harbor Motor Group,Harbor Toyota Bayview,Paid Social,570
2025-02,Summit Auto Group,Summit BMW,Paid Search,1700
2025-02,Summit Auto Group,Summit BMW,Paid Social,680
2025-02,Summit Auto Group,Summit Chevrolet Glenpark,Paid Search,1625
2025-02,Summit Auto Group,Summit Chevrolet Glenpark,Paid Social,650
2025-02,Summit Auto Group,Summit Ford Rivera,Paid Search,1994
2025-02,Summit Auto Group,Summit Ford Rivera,Paid Social,732
2025-02,Summit Auto Group,Summit Honda Westland,Paid Search,1735
2025-02,Summit Auto Group,Summit Honda Westland,Paid Social,529
2025-02,Summit Auto Group,Summit Hyundai Oakhurst,Paid Search,1080
2025-02,Summit Auto Group,Summit Hyundai Oakhurst,Paid Social,402
2025-02,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Search,1219
2025-02,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Social,463
2025-02,Summit Auto Group,Summit Kia Brookfield,Paid Search,990
2025-02,Summit Auto Group,Summit Kia Brookfield,Paid Social,427
2025-02,Summit Auto Group,Summit Mazda Lakeside,Paid Search,937
2025-02,Summit Auto Group,Summit Mazda Lakeside,Paid Social,332
2025-02,Summit Auto Group,Summit Nissan Ridgemont,Paid Search,1082
2025-02,Summit Auto Group,Summit Nissan Ridgemont,Paid Social,508
2025-02,Summit Auto Group,Summit Subaru Northgate,Paid Search,780
2025-02,Summit Auto Group,Summit Subaru Northgate,Paid Social,417
2025-02,Summit Auto Group,Summit Toyota of Fairview,Paid Search,2101
2025-02,Summit Auto Group,Summit Toyota of Fairview,Paid Social,610
2025-02,Summit Auto Group,Summit Volkswagen Eastdale,Paid Search,712
2025-02,Summit Auto Group,Summit Volkswagen Eastdale,Paid Social,311
2025-03,Harbor Motor Group,Harbor BMW,Paid Search,1760
2025-03,Harbor Motor Group,Harbor BMW,Paid Social,538
2025-03,Harbor Motor Group,Harbor Chevrolet Marina,Paid Search,1146
2025-03,Harbor Motor Group,Harbor Chevrolet Marina,Paid Social,504
2025-03,Harbor Motor Group,Harbor Ford Portside,Paid Search,1369
2025-03,Harbor Motor Group,Harbor Ford Portside,Paid Social,667
2025-03,Harbor Motor Group,Harbor Honda Seaside,Paid Search,1624
2025-03,Harbor Motor Group,Harbor Honda Seaside,Paid Social,606
2025-03,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Search,1492
2025-03,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Social,560
2025-03,Harbor Motor Group,Harbor Kia Lighthouse,Paid Search,1005
2025-03,Harbor Motor Group,Harbor Kia Lighthouse,Paid Social,439
2025-03,Harbor Motor Group,Harbor Subaru Tidewater,Paid Search,725
2025-03,Harbor Motor Group,Harbor Subaru Tidewater,Paid Social,347
2025-03,Harbor Motor Group,Harbor Toyota Bayview,Paid Search,1532
2025-03,Harbor Motor Group,Harbor Toyota Bayview,Paid Social,658
2025-03,Summit Auto Group,Summit BMW,Paid Search,1741
2025-03,Summit Auto Group,Summit BMW,Paid Social,626
2025-03,Summit Auto Group,Summit Chevrolet Glenpark,Paid Search,1324
2025-03,Summit Auto Group,Summit Chevrolet Glenpark,Paid Social,564
2025-03,Summit Auto Group,Summit Ford Rivera,Paid Search,1653
2025-03,Summit Auto Group,Summit Ford Rivera,Paid Social,658
2025-03,Summit Auto Group,Summit Honda Westland,Paid Search,1934
2025-03,Summit Auto Group,Summit Honda Westland,Paid Social,699
2025-03,Summit Auto Group,Summit Hyundai Oakhurst,Paid Search,951
2025-03,Summit Auto Group,Summit Hyundai Oakhurst,Paid Social,500
2025-03,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Search,1529
2025-03,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Social,439
2025-03,Summit Auto Group,Summit Kia Brookfield,Paid Search,915
2025-03,Summit Auto Group,Summit Kia Brookfield,Paid Social,348
2025-03,Summit Auto Group,Summit Mazda Lakeside,Paid Search,906
2025-03,Summit Auto Group,Summit Mazda Lakeside,Paid Social,340
2025-03,Summit Auto Group,Summit Nissan Ridgemont,Paid Search,1410
2025-03,Summit Auto Group,Summit Nissan Ridgemont,Paid Social,461
2025-03,Summit Auto Group,Summit Subaru Northgate,Paid Search,1020
2025-03,Summit Auto Group,Summit Subaru Northgate,Paid Social,329
2025-03,Summit Auto Group,Summit Toyota of Fairview,Paid Search,1590
2025-03,Summit Auto Group,Summit Toyota of Fairview,Paid Social,856
2025-03,Summit Auto Group,Summit Volkswagen Eastdale,Paid Search,793
2025-03,Summit Auto Group,Summit Volkswagen Eastdale,Paid Social,334
2025-04,Harbor Motor Group,Harbor BMW,Paid Search,1248
2025-04,Harbor Motor Group,Harbor BMW,Paid Social,464
2025-04,Harbor Motor Group,Harbor Chevrolet Marina,Paid Search,1501
2025-04,Harbor Motor Group,Harbor Chevrolet Marina,Paid Social,570
2025-04,Harbor Motor Group,Harbor Ford Portside,Paid Search,1906
2025-04,Harbor Motor Group,Harbor Ford Portside,Paid Social,597
2025-04,Harbor Motor Group,Harbor Honda Seaside,Paid Search,1667
2025-04,Harbor Motor Group,Harbor Honda Seaside,Paid Social,657
2025-04,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Search,1405
2025-04,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Social,502
2025-04,Harbor Motor Group,Harbor Kia Lighthouse,Paid Search,961
2025-04,Harbor Motor Group,Harbor Kia Lighthouse,Paid Social,345
2025-04,Harbor Motor Group,Harbor Subaru Tidewater,Paid Search,973
2025-04,Harbor Motor Group,Harbor Subaru Tidewater,Paid Social,393
2025-04,Harbor Motor Group,Harbor Toyota Bayview,Paid Search,1689
2025-04,Harbor Motor Group,Harbor Toyota Bayview,Paid Social,818
2025-04,Summit Auto Group,Summit BMW,Paid Search,1279
2025-04,Summit Auto Group,Summit BMW,Paid Social,615
2025-04,Summit Auto Group,Summit Chevrolet Glenpark,Paid Search,1632
2025-04,Summit Auto Group,Summit Chevrolet Glenpark,Paid Social,594
2025-04,Summit Auto Group,Summit Ford Rivera,Paid Search,1554
2025-04,Summit Auto Group,Summit Ford Rivera,Paid Social,575
2025-04,Summit Auto Group,Summit Honda Westland,Paid Search,1438
2025-04,Summit Auto Group,Summit Honda Westland,Paid Social,606
2025-04,Summit Auto Group,Summit Hyundai Oakhurst,Paid Search,1109
2025-04,Summit Auto Group,Summit Hyundai Oakhurst,Paid Social,355
2025-04,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Search,1296
2025-04,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Social,514
2025-04,Summit Auto Group,Summit Kia Brookfield,Paid Search,995
2025-04,Summit Auto Group,Summit Kia Brookfield,Paid Social,394
2025-04,Summit Auto Group,Summit Mazda Lakeside,Paid Search,902
2025-04,Summit Auto Group,Summit Mazda Lakeside,Paid Social,314
2025-04,Summit Auto Group,Summit Nissan Ridgemont,Paid Search,1194
2025-04,Summit Auto Group,Summit Nissan Ridgemont,Paid Social,472
2025-04,Summit Auto Group,Summit Subaru Northgate,Paid Search,1027
2025-04,Summit Auto Group,Summit Subaru Northgate,Paid Social,318
2025-04,Summit Auto Group,Summit Toyota of Fairview,Paid Search,2061
2025-04,Summit Auto Group,Summit Toyota of Fairview,Paid Social,773
2025-04,Summit Auto Group,Summit Volkswagen Eastdale,Paid Search,648
2025-04,Summit Auto Group,Summit Volkswagen Eastdale,Paid Social,315
2025-05,Harbor Motor Group,Harbor BMW,Paid Search,1448
2025-05,Harbor Motor Group,Harbor BMW,Paid Social,671
2025-05,Harbor Motor Group,Harbor Chevrolet Marina,Paid Search,1242
2025-05,Harbor Motor Group,Harbor Chevrolet Marina,Paid Social,404
2025-05,Harbor Motor Group,Harbor Ford Portside,Paid Search,1467
2025-05,Harbor Motor Group,Harbor Ford Portside,Paid Social,585
2025-05,Harbor Motor Group,Harbor Honda Seaside,Paid Search,1623
2025-05,Harbor Motor Group,Harbor Honda Seaside,Paid Social,610
2025-05,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Search,1308
2025-05,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Social,513
2025-05,Harbor Motor Group,Harbor Kia Lighthouse,Paid Search,882
2025-05,Harbor Motor Group,Harbor Kia Lighthouse,Paid Social,418
2025-05,Harbor Motor Group,Harbor Subaru Tidewater,Paid Search,810
2025-05,Harbor Motor Group,Harbor Subaru Tidewater,Paid Social,380
2025-05,Harbor Motor Group,Harbor Toyota Bayview,Paid Search,1912
2025-05,Harbor Motor Group,Harbor Toyota Bayview,Paid Social,563
2025-05,Summit Auto Group,Summit BMW,Paid Search,1746
2025-05,Summit Auto Group,Summit BMW,Paid Social,487
2025-05,Summit Auto Group,Summit Chevrolet Glenpark,Paid Search,1584
2025-05,Summit Auto Group,Summit Chevrolet Glenpark,Paid Social,602
2025-05,Summit Auto Group,Summit Ford Rivera,Paid Search,1817
2025-05,Summit Auto Group,Summit Ford Rivera,Paid Social,621
2025-05,Summit Auto Group,Summit Honda Westland,Paid Search,1802
2025-05,Summit Auto Group,Summit Honda Westland,Paid Social,671
2025-05,Summit Auto Group,Summit Hyundai Oakhurst,Paid Search,1291
2025-05,Summit Auto Group,Summit Hyundai Oakhurst,Paid Social,379
