period,group,store,new_units,used_units,avg_days_on_lot,avg_price_to_market
2025-03,Summit Auto Group,Summit Mazda Lakeside,54,43,69.4,99.2
2025-03,Summit Auto Group,Summit Nissan Ridgemont,92,56,67.4,98.7
2025-03,Summit Auto Group,Summit Subaru Northgate,69,58,40.5,103.8
2025-03,Summit Auto Group,Summit Toyota of Fairview,108,121,58.9,103.6
2025-03,Summit Auto Group,Summit Volkswagen Eastdale,50,38,59.3,98.5
2025-04,Harbor Motor Group,Harbor BMW,90,71,54.0,96.1
2025-04,Harbor Motor Group,Harbor Chevrolet Marina,92,71,73.0,101.6
2025-04,Harbor Motor Group,Harbor Ford Portside,125,81,48.2,94.2
2025-04,Harbor Motor Group,Harbor Honda Seaside,94,85,55.1,101.1
2025-04,Harbor Motor Group,Harbor Jeep Ram Anchor,75,82,33.2,100.2
2025-04,Harbor Motor Group,Harbor Kia Lighthouse,74,64,73.6,94.8
2025-04,Harbor Motor Group,Harbor Subaru Tidewater,70,47,60.6,95.7
2025-04,Harbor Motor Group,Harbor Toyota Bayview,149,105,42.7,94.1
2025-04,Summit Auto Group,Summit BMW,121,88,42.1,103.5
2025-04,Summit Auto Group,Summit Chevrolet Glenpark,109,74,49.0,101.9
2025-04,Summit Auto Group,Summit Ford Rivera,100,99,72.6,98.0
2025-04,Summit Auto Group,Summit Honda Westland,96,110,56.9,97.4
2025-04,Summit Auto Group,Summit Hyundai Oakhurst,63,58,69.2,99.0
2025-04,Summit Auto Group,Summit Jeep Ram Clearwater,105,80,73.0,94.7
2025-04,Summit Auto Group,Summit Kia Brookfield,67,61,63.0,96.2
2025-04,Summit Auto Group,Summit Mazda Lakeside,62,44,66.8,94.0
2025-04,Summit Auto Group,Summit Nissan Ridgemont,86,67,73.4,96.0
2025-04,Summit Auto Group,Summit Subaru Northgate,51,54,49.6,97.4
2025-04,Summit Auto Group,Summit Toyota of Fairview,135,99,46.2,99.8
2025-04,Summit Auto Group,Summit Volkswagen Eastdale,49,36,52.0,99.2
2025-05,Harbor Motor Group,Harbor BMW,123,92,61.9,102.1
2025-05,Harbor Motor Group,Harbor Chevrolet Marina,78,78,40.7,100.2
2025-05,Harbor Motor Group,Harbor Ford Portside,107,94,68.4,97.1
2025-05,Harbor Motor Group,Harbor Honda Seaside,92,100,35.9,99.9
2025-05,Harbor Motor Group,Harbor Jeep Ram Anchor,74,81,53.0,103.8
2025-05,Harbor Motor Group,Harbor Kia Lighthouse,74,66,50.9,97.2
2025-05,Harbor Motor Group,Harbor Subaru Tidewater,60,57,53.4,104.0
2025-05,Harbor Motor Group,Harbor Toyota Bayview,147,114,66.7,101.0
2025-05,Summit Auto Group,Summit BMW,122,88,38.6,96.7
2025-05,Summit Auto Group,Summit Chevrolet Glenpark,114,72,41.5,96.0
2025-05,Summit Auto Group,Summit Ford Rivera,106,98,37.1,99.2
2025-05,Summit Auto Group,Summit Honda Westland,103,88,44.8,102.4
2025-05,Summit Auto Group,Summit Hyundai Oakhurst,73,63,36.8,103.1
2025-05,Summit Auto Group,Summit Jeep Ram Clearwater,83,61,31.8,102.9
2025-05,Summit Auto Group,Summit Kia Brookfield,70,66,71.9,96.2
2025-05,Summit Auto Group,Summit Mazda Lakeside,66,51,69.0,97.4
2025-05,Summit Auto Group,Summit Nissan Ridgemont,86,56,32.1,96.0
2025-05,Summit Auto Group,Summit Subaru Northgate,59,59,50.2,101.2
2025-05,Summit Auto Group,Summit Toyota of Fairview,127,103,35.3,103.9
2025-05,Summit Auto Group,Summit Volkswagen Eastdale,59,44,36.6,97.8
2025-06,Harbor Motor Group,Harbor BMW,87,78,72.9,100.0
2025-06,Harbor Motor Group,Harbor Chevrolet Marina,80,60,32.3,101.9
2025-06,Harbor Motor Group,Harbor Ford Portside,136,101,45.0,100.3
2025-06,Harbor Motor Group,Harbor Honda Seaside,87,89,57.9,101.1
2025-06,Harbor Motor Group,Harbor Jeep Ram Anchor,85,74,51.9,103.4
2025-06,Harbor Motor Group,Harbor Kia Lighthouse,65,49,62.2,99.4
2025-06,Harbor Motor Group,Harbor Subaru Tidewater,52,44,48.2,97.0
2025-06,Harbor Motor Group,Harbor Toyota Bayview,127,95,68.1,101.5
2025-06,Summit Auto Group,Summit BMW,97,92,57.4,96.9
2025-06,Summit Auto Group,Summit Chevrolet Glenpark,92,91,64.5,97.7
2025-06,Summit Auto Group,Summit Ford Rivera,114,90,38.6,102.6
2025-06,Summit Auto Group,Summit Honda Westland,135,88,34.5,98.0
2025-06,Summit Auto Group,Summit Hyundai Oakhurst,78,60,37.5,102.2
2025-06,Summit Auto Group,Summit Jeep Ram Clearwater,104,86,51.7,103.6
2025-06,Summit Auto Group,Summit Kia Brookfield,62,61,58.7,95.8
2025-06,Summit Auto Group,Summit Mazda Lakeside,58,50,34.0,99.5
2025-06,Summit Auto Group,Summit Nissan Ridgemont,77,64,43.7,98.1
2025-06,Summit Auto Group,Summit Subaru Northgate,76,54,43.4,97.7
2025-06,Summit Auto Group,Summit Toyota of Fairview,106,118,64.5,94.2
2025-06,Summit Auto Group,Summit Volkswagen Eastdale,62,41,72.4,99.4
2025-07,Harbor Motor Group,Harbor BMW,114,77,69.1,99.3
2025-07,Harbor Motor Group,Harbor Chevrolet Marina,94,87,32.9,95.1
2025-07,Harbor Motor Group,Harbor Ford Portside,108,102,60.9,103.5
2025-07,Harbor Motor Group,Harbor Honda Seaside,112,96,66.1,98.9
2025-07,Harbor Motor Group,Harbor Jeep Ram Anchor,89,58,51.6,103.4
2025-07,Harbor Motor Group,Harbor Kia Lighthouse,71,65,49.4,98.6
2025-07,Harbor Motor Group,Harbor Subaru Tidewater,53,54,65.5,100.4
2025-07,Harbor Motor Group,Harbor Toyota Bayview,142,109,64.6,99.6
2025-07,Summit Auto Group,Summit BMW,107,104,35.0,99.4
2025-07,Summit Auto Group,Summit Chevrolet Glenpark,122,79,57.4,96.1
2025-07,Summit Auto Group,Summit Ford Rivera,114,89,51.4,103.1
2025-07,Summit Auto Group,Summit Honda Westland,116,89,42.3,96.0
2025-07,Summit Auto Group,Summit Hyundai Oakhurst,79,58,49.9,103.0
2025-07,Summit Auto Group,Summit Jeep Ram Clearwater,109,67,73.5,103.1
2025-07,Summit Auto Group,Summit Kia Brookfield,61,69,28.4,98.9
2025-07,Summit Auto Group,Summit Mazda Lakeside,55,41,46.1,102.3
2025-07,Summit Auto Group,Summit Nissan Ridgemont,99,66,69.0,99.4
2025-07,Summit Auto Group,Summit Subaru Northgate,64,42,59.5,101.7
2025-07,Summit Auto Group,Summit Toyota of Fairview,142,123,63.2,100.9
2025-07,Summit Auto Group,Summit Volkswagen Eastdale,54,34,31.7,102.8
2025-08,Harbor Motor Group,Harbor BMW,107,84,31.9,96.9
2025-08,Harbor Motor Group,Harbor Chevrolet Marina,74,73,54.0,99.4
2025-08,Harbor Motor Group,Harbor Ford Portside,134,102,44.7,100.6
2025-08,Harbor Motor Group,Harbor Honda Seaside,103,101,73.6,101.8
2025-08,Harbor Motor Group,Harbor Jeep Ram Anchor,78,65,65.5,94.7
2025-08,Harbor Motor Group,Harbor Kia Lighthouse,64,50,55.8,97.8
2025-08,Harbor Motor Group,Harbor Subaru Tidewater,63,40,47.0,100.9
2025-08,Harbor Motor Group,Harbor Toyota Bayview,108,115,59.7,97.9
2025-08,Summit Auto Group,Summit BMW,103,84,41.7,94.5
2025-08,Summit Auto Group,Summit Chevrolet Glenpark,96,77,66.7,94.7
2025-08,Summit Auto Group,Summit Ford Rivera,117,113,70.6,101.9
2025-08,Summit Auto Group,Summit Honda Westland,125,83,51.1,96.6
2025-08,Summit Auto Group,Summit Hyundai Oakhurst,75,50,33.0,94.0
2025-08,Summit Auto Group,Summit Jeep Ram Clearwater,98,78,50.1,103.8
2025-08,Summit Auto Group,Summit Kia Brookfield,64,65,67.5,99.7
2025-08,Summit Auto Group,Summit Mazda Lakeside,51,51,28.4,102.7
2025-08,Summit Auto Group,Summit Nissan Ridgemont,91,72,40.2,97.6
2025-08,Summit Auto Group,Summit Subaru Northgate,56,48,73.6,96.3
2025-08,Summit Auto Group,Summit Toyota of Fairview,133,115,40.9,96.9
2025-08,Summit Auto Group,Summit Volkswagen Eastdale,63,35,51.5,97.8
2025-09,Harbor Motor Group,Harbor BMW,96,79,30.6,102.0
2025-09,Harbor Motor Group,Harbor Chevrolet Marina,80,76,66.7,99.1
2025-09,Harbor Motor Group,Harbor Ford Portside,137,84,38.1,95.6
2025-09,Harbor Motor Group,Harbor Honda Seaside,110,99,40.0,102.5
2025-09,Harbor Motor Group,Harbor Jeep Ram Anchor,98,68,70.3,94.4
2025-09,Harbor Motor Group,Harbor Kia Lighthouse,79,48,39.2,96.4
2025-09,Harbor Motor Group,Harbor Subaru Tidewater,55,41,54.3,99.0
2025-09,Harbor Motor Group,Harbor Toyota Bayview,131,82,45.9,98.9
2025-09,Summit Auto Group,Summit BMW,111,80,29.1,100.3
2025-09,Summit Auto Group,Summit Chevrolet Glenpark,101,72,53.8,103.7
2025-09,Summit Auto Group,Summit Ford Rivera,141,117,69.0,94.2
2025-09,Summit Auto Group,Summit Honda Westland,119,104,73.0,95.6
2025-09,Summit Auto Group,Summit Hyundai Oakhurst,68,72,54.9,94.7
2025-09,Summit Auto Group,Summit Jeep Ram Clearwater,98,66,67.9,102.7
2025-09,Summit Auto Group,Summit Kia Brookfield,79,54,47.1,100.0
2025-09,Summit Auto Group,Summit Mazda Lakeside,57,56,50.5,98.7
2025-09,Summit Auto Group,Summit Nissan Ridgemont,91,58,67.7,100.9
2025-09,Summit Auto Group,Summit Subaru Northgate,71,50,72.5,100.5
2025-09,Summit Auto Group,Summit Toyota of Fairview,152,114,61.5,103.9
2025-09,Summit Auto Group,Summit Volkswagen Eastdale,61,36,47.7,94.2
2025-10,Harbor Motor Group,Harbor BMW,101,76,37.7,99.2
2025-10,Harbor Motor Group,Harbor Chevrolet Marina,80,89,39.3,97.6
2025-10,Harbor Motor Group,Harbor Ford Portside,136,111,48.8,98.3
2025-10,Harbor Motor Group,Harbor Honda Seaside,87,70,54.0,97.2
2025-10,Harbor Motor Group,Harbor Jeep Ram Anchor,86,74,56.8,103.4
2025-10,Harbor Motor Group,Harbor Kia Lighthouse,71,50,45.4,102.5
2025-10,Harbor Motor Group,Harbor Subaru Tidewater,56,43,59.6,101.0
2025-10,Harbor Motor Group,Harbor Toyota Bayview,110,101,63.9,94.6
2025-10,Summit Auto Group,Summit BMW,90,88,39.4,96.4
2025-10,Summit Auto Group,Summit Chevrolet Glenpark,97,85,56.2,95.4
2025-10,Summit Auto Group,Summit Ford Rivera,144,79,65.3,99.1
2025-10,Summit Auto Group,Summit Honda Westland,98,81,73.3,94.1
2025-10,Summit Auto Group,Summit Hyundai Oakhurst,63,53,63.8,101.3
2025-10,Summit Auto Group,Summit Jeep Ram Clearwater,82,87,73.5,94.9
2025-10,Summit Auto Group,Summit Kia Brookfield,74,51,50.3,98.3
2025-10,Summit Auto Group,Summit Mazda Lakeside,68,41,65.2,97.0
2025-10,Summit Auto Group,Summit Nissan Ridgemont,96,78,56.5,95.0
2025-10,Summit Auto Group,Summit Subaru Northgate,55,44,32.0,97.2
2025-10,Summit Auto Group,Summit Toyota of Fairview,107,128,31.9,94.7
2025-10,Summit Auto Group,Summit Volkswagen Eastdale,45,40,33.2,102.7
2025-11,Harbor Motor Group,Harbor BMW,89,96,45.8,101.7
2025-11,Harbor Motor Group,Harbor Chevrolet Marina,110,69,46.6,97.1
2025-11,Harbor Motor Group,Harbor Ford Portside,109,79,72.7,101.1
2025-11,Harbor Motor Group,Harbor Honda Seaside,103,83,68.3,102.7
2025-11,Harbor Motor Group,Harbor Jeep Ram Anchor,97,68,38.3,100.4
2025-11,Harbor Motor Group,Harbor Kia Lighthouse,60,55,56.2,99.4
2025-11,Harbor Motor Group,Harbor Subaru Tidewater,73,56,62.0,101.2
2025-11,Harbor Motor Group,Harbor Toyota Bayview,134,97,56.7,98.4
2025-11,Summit Auto Group,Summit BMW,118,89,50.5,97.7
2025-11,Summit Auto Group,Summit Chevrolet Glenpark,93,71,50.3,98.8
2025-11,Summit Auto Group,Summit Ford Rivera,116,96,29.6,96.9
2025-11,Summit Auto Group,Summit Honda Westland,130,81,65.3,101.7
2025-11,Summit Auto Group,Summit Hyundai Oakhurst,87,56,39.2,101.2
2025-11,Summit Auto Group,Summit Jeep Ram Clearwater,92,80,38.3,99.9
2025-11,Summit Auto Group,Summit Kia Brookfield,76,62,33.0,94.9
2025-11,Summit Auto Group,Summit Mazda Lakeside,61,41,33.9,103.6
2025-11,Summit Auto Group,Summit Nissan Ridgemont,69,59,48.3,99.2
2025-11,Summit Auto Group,Summit Subaru Northgate,54,59,34.6,100.6
2025-11,Summit Auto Group,Summit Toyota of Fairview,107,91,46.9,96.4
2025-11,Summit Auto Group,Summit Volkswagen Eastdale,58,36,34.1,101.0
2025-12,Harbor Motor Group,Harbor BMW,88,95,31.2,94.5
2025-12,Harbor Motor Group,Harbor Chevrolet Marina,92,63,58.9,96.9
2025-12,Harbor Motor Group,Harbor Ford Portside,126,77,44.7,97.3
2025-12,Harbor Motor Group,Harbor Honda Seaside,123,69,54.1,95.6
2025-12,Harbor Motor Group,Harbor Jeep Ram Anchor,91,67,38.8,94.5
2025-12,Harbor Motor Group,Harbor Kia Lighthouse,72,53,55.6,96.9
2025-12,Harbor Motor Group,Harbor Subaru Tidewater,54,51,71.5,98.4
2025-12,Harbor Motor Group,Harbor Toyota Bayview,102,114,59.2,98.2
2025-12,Summit Auto Group,Summit BMW,122,93,37.3,99.5
2025-12,Summit Auto Group,Summit Chevrolet Glenpark,113,84,36.0,96.3
2025-12,Summit Auto Group,Summit Ford Rivera,104,111,49.3,101.5
2025-12,Summit Auto Group,Summit Honda Westland,119,100,66.8,99.3
2025-12,Summit Auto Group,Summit Hyundai Oakhurst,77,59,57.9,102.8
2025-12,Summit Auto Group,Summit Jeep Ram Clearwater,75,86,46.7,103.2
2025-12,Summit Auto Group,Summit Kia Brookfield,72,65,42.1,97.5
2025-12,Summit Auto Group,Summit Mazda Lakeside,49,42,63.6,97.9
2025-12,Summit Auto Group,Summit Nissan Ridgemont,70,75,44.6,99.2
2025-12,Summit Auto Group,Summit Subaru Northgate,74,62,46.1,102.9
2025-12,Summit Auto Group,Summit Toyota of Fairview,118,104,52.9,96.1
2025-12,Summit Auto Group,Summit Volkswagen Eastdale,54,47,32.0,103.3
2026-01,Harbor Motor Group,Harbor BMW,115,71,49.9,96.2
2026-01,Harbor Motor Group,Harbor Chevrolet Marina,95,64,62.3,95.5
2026-01,Harbor Motor Group,Harbor Ford Portside,116,94,64.3,101.2
2026-01,Harbor Motor Group,Harbor Honda Seaside,99,86,69.3,96.9
2026-01,Harbor Motor Group,Harbor Jeep Ram Anchor,90,57,61.8,101.0
2026-01,Harbor Motor Group,Harbor Kia Lighthouse,59,58,51.5,98.3
2026-01,Harbor Motor Group,Harbor Subaru Tidewater,53,52,41.3,94.6
2026-01,Harbor Motor Group,Harbor Toyota Bayview,131,120,58.9,96.5
2026-01,Summit Auto Group,Summit BMW,124,74,62.7,103.5
2026-01,Summit Auto Group,Summit Chevrolet Glenpark,99,95,29.6,98.8
2026-01,Summit Auto Group,Summit Ford Rivera,98,108,44.2,98.9
2026-01,Summit Auto Group,Summit Honda Westland,119,98,60.3,97.9
2026-01,Summit Auto Group,Summit Hyundai Oakhurst,72,67,37.0,98.9
2026-01,Summit Auto Group,Summit Jeep Ram Clearwater,83,70,70.6,102.4
2026-01,Summit Auto Group,Summit Kia Brookfield,70,58,72.2,96.3
2026-01,Summit Auto Group,Summit Mazda Lakeside,55,43,63.6,100.9
2026-01,Summit Auto Group,Summit Nissan Ridgemont,72,75,60.6,95.9
2026-01,Summit Auto Group,Summit Subaru Northgate,71,54,72.5,99.0
2026-01,Summit Auto Group,Summit Toyota of Fairview,108,122,68.1,95.3
2026-01,Summit Auto Group,Summit Volkswagen Eastdale,49,45,72.0,99.2
2026-02,Harbor Motor Group,Harbor BMW,93,73,53.6,98.5
2026-02,Harbor Motor Group,Harbor Chevrolet Marina,110,87,69.3,101.7
2026-02,Harbor Motor Group,Harbor Ford Portside,107,84,42.2,94.7
2026-02,Harbor Motor Group,Harbor Honda Seaside,115,73,55.4,101.5
2026-02,Harbor Motor Group,Harbor Jeep Ram Anchor,90,67,39.2,97.8
2026-02,Harbor Motor Group,Harbor Kia Lighthouse,74,45,42.0,98.3
2026-02,Harbor Motor Group,Harbor Subaru Tidewater,61,41,42.8,99.1
2026-02,Harbor Motor Group,Harbor Toyota Bayview,121,102,56.6,97.9
2026-02,Summit Auto Group,Summit BMW,99,102,29.2,94.9
2026-02,Summit Auto Group,Summit Chevrolet Glenpark,116,90,43.0,98.7
2026-02,Summit Auto Group,Summit Ford Rivera,113,107,54.5,101.7
2026-02,Summit Auto Group,Summit Honda Westland,98,76,54.6,94.9
2026-02,Summit Auto Group,Summit Hyundai Oakhurst,82,61,59.6,100.8
2026-02,Summit Auto Group,Summit Jeep Ram Clearwater,85,75,72.7,102.7
2026-02,Summit Auto Group,Summit Kia Brookfield,60,49,28.4,94.7
2026-02,Summit Auto Group,Summit Mazda Lakeside,68,43,50.3,100.8
2026-02,Summit Auto Group,Summit Nissan Ridgemont,90,81,65.6,97.8
2026-02,Summit Auto Group,Summit Subaru Northgate,57,44,70.9,100.7
2026-02,Summit Auto Group,Summit Toyota of Fairview,132,101,43.7,100.9
2026-02,Summit Auto Group,Summit Volkswagen Eastdale,51,43,50.6,98.6
2026-03,Harbor Motor Group,Harbor BMW,106,93,42.3,95.5
2026-03,Harbor Motor Group,Harbor Chevrolet Marina,99,66,40.4,96.2
2026-03,Harbor Motor Group,Harbor Ford Portside,130,85,64.0,99.3
2026-03,Harbor Motor Group,Harbor Honda Seaside,99,93,43.5,101.2
2026-03,Harbor Motor Group,Harbor Jeep Ram Anchor,100,78,38.1,96.4
2026-03,Harbor Motor Group,Harbor Kia Lighthouse,77,61,64.8,94.6
2026-03,Harbor Motor Group,Harbor Subaru Tidewater,55,59,56.7,94.4
2026-03,Harbor Motor Group,Harbor Toyota Bayview,136,93,40.2,101.5
2026-03,Summit Auto Group,Summit BMW,120,73,63.6,100.4
2026-03,Summit Auto Group,Summit Chevrolet Glenpark,100,91,58.4,101.3
2026-03,Summit Auto Group,Summit Ford Rivera,117,87,70.8,103.6
2026-03,Summit Auto Group,Summit Honda Westland,108,80,50.9,94.7
2026-03,Summit Auto Group,Summit Hyundai Oakhurst,63,57,37.8,101.6
2026-03,Summit Auto Group,Summit Jeep Ram Clearwater,92,63,52.5,101.9
2026-03,Summit Auto Group,Summit Kia Brookfield,80,51,31.3,103.0
2026-03,Summit Auto Group,Summit Mazda Lakeside,52,40,63.4,94.3
2026-03,Summit Auto Group,Summit Nissan Ridgemont,79,75,51.2,95.8
2026-03,Summit Auto Group,Summit Subaru Northgate,70,60,29.2,101.5
2026-03,Summit Auto Group,Summit Toyota of Fairview,116,116,40.7,101.4
2026-03,Summit Auto Group,Summit Volkswagen Eastdale,61,35,31.0,96.0
2026-04,Harbor Motor Group,Harbor BMW,85,99,57.0,101.3
2026-04,Harbor Motor Group,Harbor Chevrolet Marina,74,88,45.4,103.3
2026-04,Harbor Motor Group,Harbor Ford Portside,128,99,37.3,94.2
2026-04,Harbor Motor Group,Harbor Honda Seaside,88,102,51.9,96.9
2026-04,Harbor Motor Group,Harbor Jeep Ram Anchor,101,57,69.2,98.6
2026-04,Harbor Motor Group,Harbor Kia Lighthouse,65,52,40.1,94.6
2026-04,Harbor Motor Group,Harbor Subaru Tidewater,51,59,58.2,98.2
2026-04,Harbor Motor Group,Harbor Toyota Bayview,118,122,36.4,101.5
2026-04,Summit Auto Group,Summit BMW,111,79,67.3,98.6
2026-04,Summit Auto Group,Summit Chevrolet Glenpark,116,67,35.1,101.6
2026-04,Summit Auto Group,Summit Ford Rivera,125,97,43.8,95.0
2026-04,Summit Auto Group,Summit Honda Westland,99,103,53.5,97.9
2026-04,Summit Auto Group,Summit Hyundai Oakhurst,86,63,33.5,97.6
2026-04,Summit Auto Group,Summit Jeep Ram Clearwater,95,64,54.2,95.6
2026-04,Summit Auto Group,Summit Kia Brookfield,83,67,57.0,98.4
2026-04,Summit Auto Group,Summit Mazda Lakeside,54,51,67.7,99.0
2026-04,Summit Auto Group,Summit Nissan Ridgemont,93,75,30.5,102.8
2026-04,Summit Auto Group,Summit Subaru Northgate,55,48,51.5,100.2
2026-04,Summit Auto Group,Summit Toyota of Fairview,132,104,43.4,99.6
2026-04,Summit Auto Group,Summit Volkswagen Eastdale,58,40,34.8,98.2
2026-05,Harbor Motor Group,Harbor BMW,84,79,52.3,99.3
2026-05,Harbor Motor Group,Harbor Chevrolet Marina,76,84,33.8,99.5
2026-05,Harbor Motor Group,Harbor Ford Portside,117,101,29.4,96.0
2026-05,Harbor Motor Group,Harbor Honda Seaside,113,71,73.1,103.2
2026-05,Harbor Motor Group,Harbor Jeep Ram Anchor,79,57,30.0,96.0
2026-05,Harbor Motor Group,Harbor Kia Lighthouse,58,46,51.4,103.0
2026-05,Harbor Motor Group,Harbor Subaru Tidewater,55,43,45.0,94.8
2026-05,Harbor Motor Group,Harbor Toyota Bayview,124,120,55.7,97.5
2026-05,Summit Auto Group,Summit BMW,115,100,68.6,97.4
2026-05,Summit Auto Group,Summit Chevrolet Glenpark,119,92,56.3,96.1
2026-05,Summit Auto Group,Summit Ford Rivera,143,103,57.7,94.6
2026-05,Summit Auto Group,Summit Honda Westland,132,111,39.5,103.5
2026-05,Summit Auto Group,Summit Hyundai Oakhurst,83,71,62.0,97.0
2026-05,Summit Auto Group,Summit Jeep Ram Clearwater,97,84,48.5,103.1
2026-05,Summit Auto Group,Summit Kia Brookfield,75,47,43.0,95.2
2026-05,Summit Auto Group,Summit Mazda Lakeside,64,52,60.9,96.5
2026-05,Summit Auto Group,Summit Nissan Ridgemont,81,68,67.8,95.2
2026-05,Summit Auto Group,Summit Subaru Northgate,62,61,38.1,103.3
2026-05,Summit Auto Group,Summit Toyota of Fairview,121,93,45.4,103.8
2026-05,Summit Auto Group,Summit Volkswagen Eastdale,48,41,45.3,98.0
2026-06,Harbor Motor Group,Harbor BMW,110,89,42.8,103.2
2026-06,Harbor Motor Group,Harbor Chevrolet Marina,79,70,65.4,100.8
2026-06,Harbor Motor Group,Harbor Ford Portside,120,94,62.4,102.5
2026-06,Harbor Motor Group,Harbor Honda Seaside,113,74,55.7,103.7
2026-06,Harbor Motor Group,Harbor Jeep Ram Anchor,78,57,70.5,96.9
2026-06,Harbor Motor Group,Harbor Kia Lighthouse,66,59,59.8,102.6
2026-06,Harbor Motor Group,Harbor Subaru Tidewater,58,56,57.6,100.2
2026-06,Harbor Motor Group,Harbor Toyota Bayview,116,105,36.1,101.1
2026-06,Summit Auto Group,Summit BMW,111,77,49.6,101.3
2026-06,Summit Auto Group,Summit Chevrolet Glenpark,118,83,69.3,94.5
2026-06,Summit Auto Group,Summit Ford Rivera,113,92,50.4,99.2
2026-06,Summit Auto Group,Summit Honda Westland,112,98,68.7,101.8
2026-06,Summit Auto Group,Summit Hyundai Oakhurst,89,66,34.4,97.4
2026-06,Summit Auto Group,Summit Jeep Ram Clearwater,82,83,48.2,97.6
2026-06,Summit Auto Group,Summit Kia Brookfield,83,64,55.0,96.6
2026-06,Summit Auto Group,Summit Mazda Lakeside,67,53,41.5,102.9
2026-06,Summit Auto Group,Summit Nissan Ridgemont,93,55,29.0,95.1
2026-06,Summit Auto Group,Summit Subaru Northgate,63,59,62.7,103.4
2026-06,Summit Auto Group,Summit Toyota of Fairview,107,101,69.3,100.1
2026-06,Summit Auto Group,Summit Volkswagen Eastdale,52,43,59.3,94.6
2026-07,Harbor Motor Group,Harbor BMW,84,96,42.6,95.7
2026-07,Harbor Motor Group,Harbor Chevrolet Marina,86,61,45.2,98.1
2026-07,Harbor Motor Group,Harbor Ford Portside,139,91,54.6,98.6
2026-07,Harbor Motor Group,Harbor Honda Seaside,103,84,30.9,97.0
2026-07,Harbor Motor Group,Harbor Jeep Ram Anchor,87,70,61.2,98.6
2026-07,Harbor Motor Group,Harbor Kia Lighthouse,65,66,38.4,102.6
2026-07,Harbor Motor Group,Harbor Subaru Tidewater,62,54,58.9,95.6
2026-07,Harbor Motor Group,Harbor Toyota Bayview,110,104,66.0,95.7
2026-07,Summit Auto Group,Summit BMW,97,77,58.1,95.5
2026-07,Summit Auto Group,Summit Chevrolet Glenpark,88,76,66.4,96.5
2026-07,Summit Auto Group,Summit Ford Rivera,103,112,47.8,101.5
2026-07,Summit Auto Group,Summit Honda Westland,122,86,66.3,102.6
2026-07,Summit Auto Group,Summit Hyundai Oakhurst,81,58,73.8,96.9
2026-07,Summit Auto Group,Summit Jeep Ram Clearwater,90,63,44.2,94.5
2026-07,Summit Auto Group,Summit Kia Brookfield,83,52,30.4,99.0
2026-07,Summit Auto Group,Summit Mazda Lakeside,58,55,63.6,98.9
2026-07,Summit Auto Group,Summit Nissan Ridgemont,76,76,53.9,97.3
2026-07,Summit Auto Group,Summit Subaru Northgate,72,53,40.9,95.9
2026-07,Summit Auto Group,Summit Toyota of Fairview,145,124,40.0,103.8
2026-07,Summit Auto Group,Summit Volkswagen Eastdale,50,51,69.6,102.8
2026-08,Harbor Motor Group,Harbor BMW,109,91,49.0,97.3
2026-08,Harbor Motor Group,Harbor Chevrolet Marina,108,61,50.3,101.4
2026-08,Harbor Motor Group,Harbor Ford Portside,116,81,41.0,102.3
2026-08,Harbor Motor Group,Harbor Honda Seaside,94,80,37.0,96.0
2026-08,Harbor Motor Group,Harbor Jeep Ram Anchor,102,77,46.2,98.7
2026-08,Harbor Motor Group,Harbor Kia Lighthouse,77,54,62.0,94.6
2026-08,Harbor Motor Group,Harbor Subaru Tidewater,56,54,58.0,103.4
2026-08,Harbor Motor Group,Harbor Toyota Bayview,141,110,67.5,101.4
2026-08,Summit Auto Group,Summit BMW,115,81,49.3,94.5
2026-08,Summit Auto Group,Summit Chevrolet Glenpark,82,79,32.1,101.5
2026-08,Summit Auto Group,Summit Ford Rivera,124,94,54.0,102.3
2026-08,Summit Auto Group,Summit Honda Westland,126,98,50.8,99.7
2026-08,Summit Auto Group,Summit Hyundai Oakhurst,81,72,64.0,103.9
2026-08,Summit Auto Group,Summit Jeep Ram Clearwater,75,78,67.6,95.5
2026-08,Summit Auto Group,Summit Kia Brookfield,59,58,58.4,102.9
2026-08,Summit Auto Group,Summit Mazda Lakeside,60,53,54.0,94.7
2026-08,Summit Auto Group,Summit Nissan Ridgemont,85,66,29.9,100.0
2026-08,Summit Auto Group,Summit Subaru Northgate,63,59,48.0,102.4
2026-08,Summit Auto Group,Summit Toyota of Fairview,116,100,46.6,98.1
2026-08,Summit Auto Group,Summit Volkswagen Eastdale,55,51,44.9,94.4
2026-09,Harbor Motor Group,Harbor BMW,115,75,65.9,102.2
2026-09,Harbor Motor Group,Harbor Chevrolet Marina,87,76,38.3,94.4
2026-09,Harbor Motor Group,Harbor Ford Portside,109,101,60.4,98.3
2026-09,Harbor Motor Group,Harbor Honda Seaside,88,71,31.3,96.5
2026-09,Harbor Motor Group,Harbor Jeep Ram Anchor,95,60,56.8,102.3
2026-09,Harbor Motor Group,Harbor Kia Lighthouse,58,52,44.7,100.8
2026-09,Harbor Motor Group,Harbor Subaru Tidewater,71,60,53.5,102.7
2026-09,Harbor Motor Group,Harbor Toyota Bayview,139,117,47.1,95.0
2026-09,Summit Auto Group,Summit BMW,91,97,59.1,103.1
2026-09,Summit Auto Group,Summit Chevrolet Glenpark,121,99,47.9,98.1
2026-09,Summit Auto Group,Summit Ford Rivera,112,100,51.8,102.6
