period,group,store,source,lead_type,leads,sales,new_sales,used_sales,gross,budget
2024-03,Summit Auto Group,Summit Chevrolet Glenpark,ATC,internet,238,14,8,6,38997,3276
2024-03,Summit Auto Group,Summit Chevrolet Glenpark,Cars .com,internet,132,10,6,4,26240,2418
2024-03,Summit Auto Group,Summit Chevrolet Glenpark,cargurus.com,internet,216,6,3,3,16915,2964
2024-03,Summit Auto Group,Summit Chevrolet Glenpark,Dealer Website,internet,292,35,19,16,123880,
2024-03,Summit Auto Group,Summit Chevrolet Glenpark,Lease Return,campaign,58,18,13,5,26524,
2024-03,Summit Auto Group,Summit Chevrolet Glenpark,Svc Conquest,service,53,10,7,3,23275,
2024-03,Summit Auto Group,Summit Chevrolet Glenpark,Direct Mail,campaign,96,4,3,1,9720,5070
2024-03,Summit Auto Group,Summit Chevrolet Glenpark,Walk In,showroom,65,16,12,4,55240,
2024-03,Summit Auto Group,Summit Chevrolet Glenpark,Inbound Phone,phone,111,18,13,5,50483,
2024-03,Summit Auto Group,Summit Chevrolet Glenpark,Chat,chat,67,3,2,1,7844,702
2024-03,Summit Auto Group,Summit Chevrolet Glenpark,FB Marketplace,internet,186,7,4,3,14047,1092
2024-03,Summit Auto Group,Summit Chevrolet Glenpark,TrueCar,internet,90,7,4,3,17709,2028
2024-03,Summit Auto Group,Summit Chevrolet Glenpark,Radio Spot,campaign,2,0,0,0,0,312
2024-03,Summit Auto Group,Summit Ford Rivera,ATC,internet,261,19,10,9,59656,3864
2024-03,Summit Auto Group,Summit Ford Rivera,Cars.com,internet,156,13,7,6,41834,2852
2024-03,Summit Auto Group,Summit Ford Rivera,cargurus.com,internet,227,16,9,7,46035,3496
2024-03,Summit Auto Group,Summit Ford Rivera,Website,internet,342,45,25,20,137889,
2024-03,Summit Auto Group,Summit Ford Rivera,Lease Retention,campaign,75,28,20,8,44477,
2024-03,Summit Auto Group,Summit Ford Rivera,Service Conquest,service,52,9,6,3,20527,
2024-03,Summit Auto Group,Summit Ford Rivera,Direct Mail Q1,campaign,108,16,12,4,42656,5980
2024-03,Summit Auto Group,Summit Ford Rivera,Showroom,showroom,87,33,24,9,127356,
2024-03,Summit Auto Group,Summit Ford Rivera,Inbound Phone,phone,137,29,21,8,79431,
2024-03,Summit Auto Group,Summit Ford Rivera,Live Chat,chat,71,2,1,1,5508,828
2024-03,Summit Auto Group,Summit Ford Rivera,Facebook,internet,203,5,3,2,11187,1288
2024-03,Summit Auto Group,Summit Ford Rivera,TrueCar,internet,115,5,3,2,13068,2392
2024-03,Summit Auto Group,Summit Ford Rivera,Radio,campaign,3,0,0,0,0,368
2024-03,Summit Auto Group,Summit Honda Westland,auto trader,internet,296,14,8,6,38585,3612
2024-03,Summit Auto Group,Summit Honda Westland,Cars.com,internet,145,13,7,6,34850,2666
2024-03,Summit Auto Group,Summit Honda Westland,CarGurus,internet,249,14,8,6,38891,3268
2024-03,Summit Auto Group,Summit Honda Westland,Dealer Website,internet,340,31,17,14,120723,
2024-03,Summit Auto Group,Summit Honda Westland,Lease Return,campaign,67,19,14,5,33841,
2024-03,Summit Auto Group,Summit Honda Westland,Svc Conquest,service,45,10,7,3,19386,
2024-03,Summit Auto Group,Summit Honda Westland,Direct Mail Q1,campaign,123,11,8,3,26655,5590
2024-03,Summit Auto Group,Summit Honda Westland,Walk In,showroom,82,23,17,6,81448,
2024-03,Summit Auto Group,Summit Honda Westland,Inbound Calls,phone,135,26,19,7,75534,
2024-03,Summit Auto Group,Summit Honda Westland,Website Chat,chat,76,8,4,4,23579,774
2024-03,Summit Auto Group,Summit Honda Westland,Facebook,internet,204,13,7,6,29101,1204
2024-03,Summit Auto Group,Summit Honda Westland,True Car,internet,108,7,4,3,15306,2236
2024-03,Summit Auto Group,Summit Honda Westland,Radio Spot,campaign,3,1,1,0,2341,344
2024-03,Summit Auto Group,Summit Hyundai Oakhurst,ATC,internet,160,19,10,9,47321,2436
2024-03,Summit Auto Group,Summit Hyundai Oakhurst,Cars .com,internet,126,10,6,4,29029,1797
2024-03,Summit Auto Group,Summit Hyundai Oakhurst,CarGurus,internet,159,9,5,4,22108,2204
2024-03,Summit Auto Group,Summit Hyundai Oakhurst,Website,internet,217,27,15,12,81025,
2024-03,Summit Auto Group,Summit Hyundai Oakhurst,Lease Return,campaign,49,15,11,4,25311,
2024-03,Summit Auto Group,Summit Hyundai Oakhurst,Svc Conquest,service,34,8,6,2,16110,
2024-03,Summit Auto Group,Summit Hyundai Oakhurst,Direct Mail Q1,campaign,77,3,2,1,6276,3769
2024-03,Summit Auto Group,Summit Hyundai Oakhurst,Showroom,showroom,51,20,14,6,66702,
2024-03,Summit Auto Group,Summit Hyundai Oakhurst,Inbound Calls,phone,86,15,11,4,51104,
2024-03,Summit Auto Group,Summit Hyundai Oakhurst,Live Chat,chat,56,6,3,3,16919,522
2024-03,Summit Auto Group,Summit Hyundai Oakhurst,Facebook,internet,124,7,4,3,15889,812
2024-03,Summit Auto Group,Summit Hyundai Oakhurst,True Car,internet,65,4,2,2,9547,1508
2024-03,Summit Auto Group,Summit Hyundai Oakhurst,Radio,campaign,1,0,0,0,0,231
2024-03,Summit Auto Group,Summit Jeep Ram Clearwater,AutoTrader.com,internet,202,18,10,8,52696,2982
2024-03,Summit Auto Group,Summit Jeep Ram Clearwater,Cars .com,internet,154,9,5,4,23561,2201
2024-03,Summit Auto Group,Summit Jeep Ram Clearwater,Car Gurus,internet,176,5,3,2,14075,2698
2024-03,Summit Auto Group,Summit Jeep Ram Clearwater,Website,internet,307,33,18,15,128864,
2024-03,Summit Auto Group,Summit Jeep Ram Clearwater,Lease Return,campaign,59,16,12,4,30971,
2024-03,Summit Auto Group,Summit Jeep Ram Clearwater,Svc Conquest,service,38,6,4,2,13882,
2024-03,Summit Auto Group,Summit Jeep Ram Clearwater,Direct Mail,campaign,77,8,6,2,22377,4615
2024-03,Summit Auto Group,Summit Jeep Ram Clearwater,Walk In,showroom,64,24,17,7,74707,
2024-03,Summit Auto Group,Summit Jeep Ram Clearwater,Inbound Calls,phone,93,16,12,4,52054,
2024-03,Summit Auto Group,Summit Jeep Ram Clearwater,Live Chat,chat,68,7,4,3,15701,639
2024-03,Summit Auto Group,Summit Jeep Ram Clearwater,Facebook,internet,160,6,3,3,12753,994
2024-03,Summit Auto Group,Summit Jeep Ram Clearwater,True Car,internet,76,4,2,2,10036,1846
2024-03,Summit Auto Group,Summit Jeep Ram Clearwater,Radio,campaign,2,1,1,0,2007,284
2024-03,Summit Auto Group,Summit Kia Brookfield,AutoTrader.com,internet,156,13,7,6,41365,2310
2024-03,Summit Auto Group,Summit Kia Brookfield,CARS,internet,99,6,3,3,15556,1705
2024-03,Summit Auto Group,Summit Kia Brookfield,Car Gurus,internet,139,9,5,4,26505,2090
2024-03,Summit Auto Group,Summit Kia Brookfield,OEM Website,internet,231,28,15,13,90719,
2024-03,Summit Auto Group,Summit Kia Brookfield,Lease Return,campaign,36,9,6,3,14192,
2024-03,Summit Auto Group,Summit Kia Brookfield,Service Conquest,service,29,5,4,1,10570,
2024-03,Summit Auto Group,Summit Kia Brookfield,Direct Mail Q1,campaign,66,4,3,1,11217,3575
2024-03,Summit Auto Group,Summit Kia Brookfield,Showroom,showroom,48,16,12,4,63809,
2024-03,Summit Auto Group,Summit Kia Brookfield,Inbound Calls,phone,73,17,12,5,51025,
2024-03,Summit Auto Group,Summit Kia Brookfield,Live Chat,chat,54,5,3,2,13878,495
2024-03,Summit Auto Group,Summit Kia Brookfield,Facebook,internet,121,5,3,2,9828,770
2024-03,Summit Auto Group,Summit Kia Brookfield,True Car,internet,63,6,3,3,14421,1430
2024-03,Summit Auto Group,Summit Kia Brookfield,Radio Spot,campaign,1,0,0,0,0,220
2024-03,Summit Auto Group,Summit Mazda Lakeside,AutoTrader.com,internet,148,19,10,9,48255,1848
2024-03,Summit Auto Group,Summit Mazda Lakeside,Cars.com,internet,80,8,4,4,21303,1364
2024-03,Summit Auto Group,Summit Mazda Lakeside,CarGurus,internet,132,12,7,5,34581,1672
2024-03,Summit Auto Group,Summit Mazda Lakeside,Dealer Website,internet,169,18,10,8,66897,
2024-03,Summit Auto Group,Summit Mazda Lakeside,Lease Return,campaign,34,13,9,4,19892,
2024-03,Summit Auto Group,Summit Mazda Lakeside,Svc Conquest,service,30,5,4,1,11908,
2024-03,Summit Auto Group,Summit Mazda Lakeside,Direct Mail,campaign,57,6,4,2,16382,2860
2024-03,Summit Auto Group,Summit Mazda Lakeside,Walk In,showroom,45,18,13,5,55616,
2024-03,Summit Auto Group,Summit Mazda Lakeside,Phone Up,phone,52,9,6,3,31951,
2024-03,Summit Auto Group,Summit Mazda Lakeside,Website Chat,chat,33,1,1,0,2812,396
2024-03,Summit Auto Group,Summit Mazda Lakeside,Facebook,internet,100,2,1,1,5002,616
2024-03,Summit Auto Group,Summit Mazda Lakeside,True Car,internet,51,4,2,2,9036,1144
2024-03,Summit Auto Group,Summit Mazda Lakeside,Radio Spot,campaign,1,0,0,0,0,176
2024-03,Summit Auto Group,Summit Nissan Ridgemont,auto trader,internet,179,10,6,4,24862,2688
2024-03,Summit Auto Group,Summit Nissan Ridgemont,CARS,internet,113,10,6,4,27351,1984
2024-03,Summit Auto Group,Summit Nissan Ridgemont,CarGurus,internet,148,9,5,4,25296,2432
2024-03,Summit Auto Group,Summit Nissan Ridgemont,Dealer Website,internet,264,31,17,14,107089,
2024-03,Summit Auto Group,Summit Nissan Ridgemont,Lease Retention,campaign,53,12,9,3,17534,
2024-03,Summit Auto Group,Summit Nissan Ridgemont,Svc Conquest,service,41,6,4,2,13351,
2024-03,Summit Auto Group,Summit Nissan Ridgemont,Direct Mail Q1,campaign,74,3,2,1,8027,4160
2024-03,Summit Auto Group,Summit Nissan Ridgemont,Walk-In,showroom,63,24,17,7,83990,
2024-03,Summit Auto Group,Summit Nissan Ridgemont,Inbound Calls,phone,100,21,15,6,57220,
2024-03,Summit Auto Group,Summit Nissan Ridgemont,Live Chat,chat,62,5,3,2,12094,576
2024-03,Summit Auto Group,Summit Nissan Ridgemont,Facebook,internet,145,6,3,3,11790,896
2024-03,Summit Auto Group,Summit Nissan Ridgemont,TrueCar,internet,76,5,3,2,11589,1664
2024-03,Summit Auto Group,Summit Nissan Ridgemont,Radio,campaign,1,0,0,0,0,256
2024-03,Summit Auto Group,Summit Subaru Northgate,Autotrader,internet,152,15,8,7,49065,2058
2024-03,Summit Auto Group,Summit Subaru Northgate,CARS,internet,82,8,4,4,26014,1519
2024-03,Summit Auto Group,Summit Subaru Northgate,CarGurus,internet,124,6,3,3,15660,1862
2024-03,Summit Auto Group,Summit Subaru Northgate,OEM Website,internet,224,20,11,9,64347,
2024-03,Summit Auto Group,Summit Subaru Northgate,Lease Return,campaign,32,5,4,1,9770,
2024-03,Summit Auto Group,Summit Subaru Northgate,Svc Conquest,service,25,5,4,1,10909,
2024-03,Summit Auto Group,Summit Subaru Northgate,Direct Mail Q1,campaign,67,5,4,1,11255,3185
2024-03,Summit Auto Group,Summit Subaru Northgate,Walk-In,showroom,41,16,12,4,61698,
2024-03,Summit Auto Group,Summit Subaru Northgate,Phone Up,phone,64,11,8,3,30476,
2024-03,Summit Auto Group,Summit Subaru Northgate,Website Chat,chat,46,4,2,2,9008,441
2024-03,Summit Auto Group,Summit Subaru Northgate,Facebook Marketplace,internet,114,2,1,1,3763,686
2024-03,Summit Auto Group,Summit Subaru Northgate,True Car,internet,53,6,3,3,14012,1274
2024-03,Summit Auto Group,Summit Subaru Northgate,Radio,campaign,1,0,0,0,0,196
2024-03,Summit Auto Group,Summit Toyota of Fairview,auto trader,internet,313,19,10,9,56070,4200
2024-03,Summit Auto Group,Summit Toyota of Fairview,CARS,internet,196,18,10,8,54215,3100
2024-03,Summit Auto Group,Summit Toyota of Fairview,Car Gurus,internet,277,18,10,8,53824,3800
2024-03,Summit Auto Group,Summit Toyota of Fairview,Dealer Website,internet,448,57,31,26,181407,
2024-03,Summit Auto Group,Summit Toyota of Fairview,Lease Retention,campaign,74,24,17,7,38096,
2024-03,Summit Auto Group,Summit Toyota of Fairview,Svc Conquest,service,55,17,12,5,36087,
2024-03,Summit Auto Group,Summit Toyota of Fairview,Direct Mail Q1,campaign,140,10,7,3,24893,6500
2024-03,Summit Auto Group,Summit Toyota of Fairview,Showroom,showroom,80,28,20,8,110046,
2024-03,Summit Auto Group,Summit Toyota of Fairview,Inbound Calls,phone,158,31,22,9,92062,
2024-03,Summit Auto Group,Summit Toyota of Fairview,Chat,chat,83,7,4,3,16075,900
2024-03,Summit Auto Group,Summit Toyota of Fairview,FB Marketplace,internet,233,13,7,6,29083,1400
2024-03,Summit Auto Group,Summit Toyota of Fairview,True Car,internet,106,5,3,2,13490,2600
2024-03,Summit Auto Group,Summit Toyota of Fairview,Radio Spot,campaign,3,0,0,0,0,400
2024-03,Summit Auto Group,Summit Volkswagen Eastdale,auto trader,internet,113,9,5,4,28597,1680
2024-03,Summit Auto Group,Summit Volkswagen Eastdale,Cars .com,internet,85,8,4,4,23459,1240
2024-03,Summit Auto Group,Summit Volkswagen Eastdale,Car Gurus,internet,97,7,4,3,17374,1520
2024-03,Summit Auto Group,Summit Volkswagen Eastdale,Dealer Website,internet,154,14,8,6,53999,
2024-03,Summit Auto Group,Summit Volkswagen Eastdale,Lease Retention,campaign,33,11,8,3,17596,
2024-03,Summit Auto Group,Summit Volkswagen Eastdale,Service Conquest,service,20,8,6,2,15955,
2024-03,Summit Auto Group,Summit Volkswagen Eastdale,Direct Mail Q1,campaign,53,8,6,2,20090,2600
2024-03,Summit Auto Group,Summit Volkswagen Eastdale,Walk-In,showroom,34,8,6,2,32614,
2024-03,Summit Auto Group,Summit Volkswagen Eastdale,Phone Up,phone,50,10,7,3,31401,
2024-03,Summit Auto Group,Summit Volkswagen Eastdale,Chat,chat,36,1,1,0,2891,360
2024-03,Summit Auto Group,Summit Volkswagen Eastdale,Facebook,internet,97,5,3,2,10798,560
2024-03,Summit Auto Group,Summit Volkswagen Eastdale,True Car,internet,47,4,2,2,8599,1040
2024-03,Summit Auto Group,Summit Volkswagen Eastdale,Radio Spot,campaign,1,0,0,0,0,160
2024-04,Harbor Motor Group,Harbor BMW,auto trader,internet,215,12,7,5,60511,3276
2024-04,Harbor Motor Group,Harbor BMW,Cars.com,internet,166,18,10,8,86690,2418
2024-04,Harbor Motor Group,Harbor BMW,Car Gurus,internet,230,7,4,3,34077,2964
2024-04,Harbor Motor Group,Harbor BMW,Dealer Website,internet,313,44,24,20,246269,
2024-04,Harbor Motor Group,Harbor BMW,Lease Retention,campaign,60,16,12,4,47098,
2024-04,Harbor Motor Group,Harbor BMW,Svc Conquest,service,50,12,9,3,41991,
2024-04,Harbor Motor Group,Harbor BMW,Direct Mail Q1,campaign,113,12,9,3,43522,5070
2024-04,Harbor Motor Group,Harbor BMW,Walk In,showroom,65,29,21,8,171289,
2024-04,Harbor Motor Group,Harbor BMW,Phone Up,phone,107,17,12,5,95949,
2024-04,Harbor Motor Group,Harbor BMW,Website Chat,chat,65,4,2,2,17028,702
2024-04,Harbor Motor Group,Harbor BMW,Facebook Marketplace,internet,180,9,5,4,29373,1092
2024-04,Harbor Motor Group,Harbor BMW,True Car,internet,94,6,3,3,24170,2028
2024-04,Harbor Motor Group,Harbor BMW,Radio Spot,campaign,2,0,0,0,0,312
2024-04,Harbor Motor Group,Harbor Chevrolet Marina,auto trader,internet,232,21,12,9,60034,2940
2024-04,Harbor Motor Group,Harbor Chevrolet Marina,Cars.com,internet,122,11,6,5,37562,2170
2024-04,Harbor Motor Group,Harbor Chevrolet Marina,Car Gurus,internet,161,14,8,6,37643,2660
2024-04,Harbor Motor Group,Harbor Chevrolet Marina,OEM Website,internet,313,39,21,18,121027,
2024-04,Harbor Motor Group,Harbor Chevrolet Marina,Lease Retention,campaign,60,16,12,4,30582,
2024-04,Harbor Motor Group,Harbor Chevrolet Marina,Service Conquest,service,40,12,9,3,26496,
2024-04,Harbor Motor Group,Harbor Chevrolet Marina,Direct Mail Q1,campaign,84,12,9,3,31921,4550
2024-04,Harbor Motor Group,Harbor Chevrolet Marina,Walk-In,showroom,71,25,18,7,89291,
2024-04,Harbor Motor Group,Harbor Chevrolet Marina,Inbound Calls,phone,101,17,12,5,50005,
2024-04,Harbor Motor Group,Harbor Chevrolet Marina,Live Chat,chat,56,2,1,1,4616,630
2024-04,Harbor Motor Group,Harbor Chevrolet Marina,FB Marketplace,internet,161,9,5,4,18202,979
2024-04,Harbor Motor Group,Harbor Chevrolet Marina,True Car,internet,85,7,4,3,15503,1819
2024-04,Harbor Motor Group,Harbor Chevrolet Marina,Radio Spot,campaign,2,0,0,0,0,280
2024-04,Harbor Motor Group,Harbor Ford Portside,auto trader,internet,285,20,11,9,62540,3696
2024-04,Harbor Motor Group,Harbor Ford Portside,Cars .com,internet,157,14,8,6,36904,2728
2024-04,Harbor Motor Group,Harbor Ford Portside,CarGurus,internet,253,20,11,9,56503,3344
2024-04,Harbor Motor Group,Harbor Ford Portside,OEM Website,internet,327,39,21,18,125685,
2024-04,Harbor Motor Group,Harbor Ford Portside,Lease Return,campaign,68,18,13,5,33879,
2024-04,Harbor Motor Group,Harbor Ford Portside,Svc Conquest,service,48,11,8,3,20930,
2024-04,Harbor Motor Group,Harbor Ford Portside,Direct Mail,campaign,122,10,7,3,25546,5720
2024-04,Harbor Motor Group,Harbor Ford Portside,Showroom,showroom,82,23,17,6,95002,
2024-04,Harbor Motor Group,Harbor Ford Portside,Inbound Calls,phone,113,25,18,7,72529,
2024-04,Harbor Motor Group,Harbor Ford Portside,Live Chat,chat,70,7,4,3,16693,792
2024-04,Harbor Motor Group,Harbor Ford Portside,Facebook Marketplace,internet,191,12,7,5,28449,1232
2024-04,Harbor Motor Group,Harbor Ford Portside,TrueCar,internet,96,8,4,4,22426,2288
2024-04,Harbor Motor Group,Harbor Ford Portside,Radio Spot,campaign,2,0,0,0,0,352
2024-04,Harbor Motor Group,Harbor Honda Seaside,ATC,internet,279,10,6,4,31056,3360
2024-04,Harbor Motor Group,Harbor Honda Seaside,Cars .com,internet,136,13,7,6,34773,2480
2024-04,Harbor Motor Group,Harbor Honda Seaside,CarGurus,internet,194,14,8,6,38860,3040
2024-04,Harbor Motor Group,Harbor Honda Seaside,Dealer Website,internet,333,35,19,16,118147,
2024-04,Harbor Motor Group,Harbor Honda Seaside,Lease Retention,campaign,68,20,14,6,35078,
2024-04,Harbor Motor Group,Harbor Honda Seaside,Svc Conquest,service,49,9,6,3,17572,
2024-04,Harbor Motor Group,Harbor Honda Seaside,Direct Mail Q1,campaign,114,8,6,2,20291,5200
2024-04,Harbor Motor Group,Harbor Honda Seaside,Showroom,showroom,77,35,25,10,134120,
2024-04,Harbor Motor Group,Harbor Honda Seaside,Phone Up,phone,123,18,13,5,65138,
2024-04,Harbor Motor Group,Harbor Honda Seaside,Live Chat,chat,66,6,3,3,14731,720
2024-04,Harbor Motor Group,Harbor Honda Seaside,Facebook,internet,187,2,1,1,4100,1120
2024-04,Harbor Motor Group,Harbor Honda Seaside,TrueCar,internet,85,2,1,1,4538,2080
2024-04,Harbor Motor Group,Harbor Honda Seaside,Radio,campaign,2,0,0,0,0,320
2024-04,Harbor Motor Group,Harbor Jeep Ram Anchor,AutoTrader.com,internet,189,17,9,8,47768,2772
2024-04,Harbor Motor Group,Harbor Jeep Ram Anchor,Cars .com,internet,133,11,6,5,34744,2046
2024-04,Harbor Motor Group,Harbor Jeep Ram Anchor,cargurus.com,internet,159,10,6,4,28123,2508
2024-04,Harbor Motor Group,Harbor Jeep Ram Anchor,OEM Website,internet,303,32,18,14,99319,
2024-04,Harbor Motor Group,Harbor Jeep Ram Anchor,Lease Retention,campaign,43,10,7,3,15853,
2024-04,Harbor Motor Group,Harbor Jeep Ram Anchor,Svc Conquest,service,35,10,7,3,23029,
2024-04,Harbor Motor Group,Harbor Jeep Ram Anchor,Direct Mail,campaign,85,6,4,2,16757,4290
2024-04,Harbor Motor Group,Harbor Jeep Ram Anchor,Walk-In,showroom,69,30,22,8,111159,
2024-04,Harbor Motor Group,Harbor Jeep Ram Anchor,Phone Up,phone,88,15,11,4,43759,
2024-04,Harbor Motor Group,Harbor Jeep Ram Anchor,Chat,chat,65,2,1,1,5676,594
2024-04,Harbor Motor Group,Harbor Jeep Ram Anchor,Facebook,internet,162,9,5,4,17514,924
2024-04,Harbor Motor Group,Harbor Jeep Ram Anchor,TrueCar,internet,88,9,5,4,23559,1716
2024-04,Harbor Motor Group,Harbor Jeep Ram Anchor,Radio Spot,campaign,2,0,0,0,0,264
2024-04,Harbor Motor Group,Harbor Kia Lighthouse,ATC,internet,161,12,7,5,37837,2184
2024-04,Harbor Motor Group,Harbor Kia Lighthouse,CARS,internet,112,4,2,2,12775,1612
2024-04,Harbor Motor Group,Harbor Kia Lighthouse,CarGurus,internet,145,5,3,2,12773,1976
2024-04,Harbor Motor Group,Harbor Kia Lighthouse,Dealer Website,internet,231,28,15,13,108120,
2024-04,Harbor Motor Group,Harbor Kia Lighthouse,Lease Retention,campaign,34,14,10,4,25185,
2024-04,Harbor Motor Group,Harbor Kia Lighthouse,Svc Conquest,service,34,6,4,2,13579,
2024-04,Harbor Motor Group,Harbor Kia Lighthouse,Direct Mail,campaign,62,4,3,1,8722,3380
2024-04,Harbor Motor Group,Harbor Kia Lighthouse,Walk In,showroom,56,22,16,6,85141,
2024-04,Harbor Motor Group,Harbor Kia Lighthouse,Inbound Calls,phone,81,11,8,3,37950,
2024-04,Harbor Motor Group,Harbor Kia Lighthouse,Website Chat,chat,39,3,2,1,8389,468
2024-04,Harbor Motor Group,Harbor Kia Lighthouse,Facebook,internet,119,9,5,4,20061,728
2024-04,Harbor Motor Group,Harbor Kia Lighthouse,True Car,internet,62,3,2,1,6811,1352
2024-04,Harbor Motor Group,Harbor Kia Lighthouse,Radio Spot,campaign,1,0,0,0,0,208
2024-04,Harbor Motor Group,Harbor Subaru Tidewater,auto trader,internet,151,11,6,5,28110,1974
2024-04,Harbor Motor Group,Harbor Subaru Tidewater,Cars .com,internet,87,6,3,3,17586,1457
2024-04,Harbor Motor Group,Harbor Subaru Tidewater,Car Gurus,internet,114,3,2,1,8636,1786
2024-04,Harbor Motor Group,Harbor Subaru Tidewater,Dealer Website,internet,198,21,12,9,78481,
2024-04,Harbor Motor Group,Harbor Subaru Tidewater,Lease Return,campaign,38,11,8,3,19336,
2024-04,Harbor Motor Group,Harbor Subaru Tidewater,Service Conquest,service,27,6,4,2,13471,
2024-04,Harbor Motor Group,Harbor Subaru Tidewater,Direct Mail Q1,campaign,54,3,2,1,7582,3055
2024-04,Harbor Motor Group,Harbor Subaru Tidewater,Showroom,showroom,45,13,9,4,46848,
2024-04,Harbor Motor Group,Harbor Subaru Tidewater,Phone Up,phone,68,13,9,4,36876,
2024-04,Harbor Motor Group,Harbor Subaru Tidewater,Website Chat,chat,41,4,2,2,9258,423
2024-04,Harbor Motor Group,Harbor Subaru Tidewater,FB Marketplace,internet,100,4,2,2,9436,658
2024-04,Harbor Motor Group,Harbor Subaru Tidewater,True Car,internet,53,1,1,0,2846,1222
2024-04,Harbor Motor Group,Harbor Subaru Tidewater,Radio Spot,campaign,1,0,0,0,0,188
2024-04,Harbor Motor Group,Harbor Toyota Bayview,Autotrader,internet,347,22,12,10,56429,3990
2024-04,Harbor Motor Group,Harbor Toyota Bayview,Cars .com,internet,186,15,8,7,39522,2945
2024-04,Harbor Motor Group,Harbor Toyota Bayview,cargurus.com,internet,262,13,7,6,41269,3610
2024-04,Harbor Motor Group,Harbor Toyota Bayview,OEM Website,internet,367,46,25,21,153294,
2024-04,Harbor Motor Group,Harbor Toyota Bayview,Lease Return,campaign,76,27,19,8,46592,
2024-04,Harbor Motor Group,Harbor Toyota Bayview,Svc Conquest,service,48,11,8,3,22023,
2024-04,Harbor Motor Group,Harbor Toyota Bayview,Direct Mail,campaign,123,6,4,2,13244,6175
2024-04,Harbor Motor Group,Harbor Toyota Bayview,Walk In,showroom,86,23,17,6,91435,
2024-04,Harbor Motor Group,Harbor Toyota Bayview,Inbound Phone,phone,124,27,19,8,97049,
2024-04,Harbor Motor Group,Harbor Toyota Bayview,Website Chat,chat,92,8,4,4,20162,855
2024-04,Harbor Motor Group,Harbor Toyota Bayview,Facebook Marketplace,internet,221,17,9,8,32952,1330
2024-04,Harbor Motor Group,Harbor Toyota Bayview,True Car,internet,103,2,1,1,5561,2470
2024-04,Harbor Motor Group,Harbor Toyota Bayview,Radio Spot,campaign,3,0,0,0,0,380
2024-04,Summit Auto Group,Summit BMW,Autotrader,internet,298,24,13,11,115452,3486
2024-04,Summit Auto Group,Summit BMW,Cars .com,internet,155,18,10,8,82720,2573
2024-04,Summit Auto Group,Summit BMW,cargurus.com,internet,186,7,4,3,27546,3154
2024-04,Summit Auto Group,Summit BMW,Dealer Website,internet,317,36,20,16,202883,
2024-04,Summit Auto Group,Summit BMW,Lease Return,campaign,60,21,15,6,52000,
2024-04,Summit Auto Group,Summit BMW,Service Conquest,service,55,8,6,2,27727,
2024-04,Summit Auto Group,Summit BMW,Direct Mail,campaign,94,7,5,2,26392,5395
2024-04,Summit Auto Group,Summit BMW,Walk-In,showroom,85,28,20,8,137286,
2024-04,Summit Auto Group,Summit BMW,Inbound Phone,phone,111,25,18,7,117251,
2024-04,Summit Auto Group,Summit BMW,Chat,chat,69,6,3,3,25972,747
2024-04,Summit Auto Group,Summit BMW,Facebook,internet,179,8,4,4,30580,1162
2024-04,Summit Auto Group,Summit BMW,TrueCar,internet,95,10,6,4,42768,2158
2024-04,Summit Auto Group,Summit BMW,Radio,campaign,2,0,0,0,0,332
2024-04,Summit Auto Group,Summit Chevrolet Glenpark,ATC,internet,247,9,5,4,26847,3276
2024-04,Summit Auto Group,Summit Chevrolet Glenpark,Cars .com,internet,148,15,8,7,44195,2418
2024-04,Summit Auto Group,Summit Chevrolet Glenpark,cargurus.com,internet,202,19,10,9,52848,2964
2024-04,Summit Auto Group,Summit Chevrolet Glenpark,Dealer Website,internet,300,30,16,14,86792,
2024-04,Summit Auto Group,Summit Chevrolet Glenpark,Lease Return,campaign,50,17,12,5,31297,
2024-04,Summit Auto Group,Summit Chevrolet Glenpark,Svc Conquest,service,41,7,5,2,13675,
2024-04,Summit Auto Group,Summit Chevrolet Glenpark,Direct Mail,campaign,103,4,3,1,10887,5070
2024-04,Summit Auto Group,Summit Chevrolet Glenpark,Walk In,showroom,64,26,19,7,88274,
2024-04,Summit Auto Group,Summit Chevrolet Glenpark,Inbound Phone,phone,100,17,12,5,56882,
2024-04,Summit Auto Group,Summit Chevrolet Glenpark,Chat,chat,60,3,2,1,8826,702
2024-04,Summit Auto Group,Summit Chevrolet Glenpark,FB Marketplace,internet,183,10,6,4,22310,1092
2024-04,Summit Auto Group,Summit Chevrolet Glenpark,TrueCar,internet,89,6,3,3,13019,2028
2024-04,Summit Auto Group,Summit Chevrolet Glenpark,Radio Spot,campaign,2,0,0,0,0,312
2024-04,Summit Auto Group,Summit Ford Rivera,ATC,internet,325,16,9,7,44878,3864
2024-04,Summit Auto Group,Summit Ford Rivera,Cars.com,internet,197,28,15,13,89132,2852
2024-04,Summit Auto Group,Summit Ford Rivera,cargurus.com,internet,260,7,4,3,19748,3496
2024-04,Summit Auto Group,Summit Ford Rivera,Website,internet,352,26,14,12,90098,
2024-04,Summit Auto Group,Summit Ford Rivera,Lease Retention,campaign,65,19,14,5,33345,
2024-04,Summit Auto Group,Summit Ford Rivera,Service Conquest,service,61,11,8,3,22820,
2024-04,Summit Auto Group,Summit Ford Rivera,Direct Mail Q1,campaign,115,12,9,3,27074,5980
2024-04,Summit Auto Group,Summit Ford Rivera,Showroom,showroom,99,36,26,10,120205,
