stock_number,group,store,new_used,make,model,model_year,days_on_lot,list_price,cost,price_to_market_pct,vdp_views_30d,leads_30d
S32834,Harbor Motor Group,Harbor Kia Lighthouse,used,Kia,Seltos,2018,72,25926,23867,99.0,217,3
S31898,Summit Auto Group,Summit BMW,used,Honda,CR-V,2018,72,39526,34266,93.8,21,5
S31918,Summit Auto Group,Summit BMW,new,BMW,3 Series,2026,72,75715,66999,97.0,416,1
S30290,Summit Auto Group,Summit Honda Westland,new,Honda,HR-V,2026,72,30790,28978,101.8,112,3
S30360,Summit Auto Group,Summit Honda Westland,new,Honda,Pilot,2026,72,44287,41094,97.8,114,0
S31115,Summit Auto Group,Summit Hyundai Oakhurst,new,Hyundai,Sonata,2026,72,48249,41553,98.6,5,5
S30996,Summit Auto Group,Summit Nissan Ridgemont,used,Nissan,Frontier,2023,72,24277,22026,100.6,105,0
S30212,Summit Auto Group,Summit Toyota of Fairview,new,Toyota,RAV4,2026,72,41051,39789,102.2,111,0
S30226,Summit Auto Group,Summit Toyota of Fairview,used,Ford,F-150,2019,72,31152,28593,101.0,515,0
S33211,Harbor Motor Group,Harbor BMW,used,Toyota,Tundra,2020,71,44736,41152,98.0,52,2
S33261,Harbor Motor Group,Harbor BMW,used,BMW,3 Series,2023,71,40870,36976,95.5,113,3
S32426,Harbor Motor Group,Harbor Ford Portside,used,Ford,Maverick,2019,71,17561,15781,101.9,357,5
S32524,Harbor Motor Group,Harbor Ford Portside,used,Ford,Maverick,2022,71,28732,27509,105.5,54,1
S32550,Harbor Motor Group,Harbor Ford Portside,new,Ford,Maverick,2026,71,41611,39105,95.5,59,1
S33075,Harbor Motor Group,Harbor Jeep Ram Anchor,used,Jeep Ram,Grand Cherokee,2018,71,20238,19608,94.2,145,3
S32939,Harbor Motor Group,Harbor Subaru Tidewater,used,Chevrolet,Equinox,2024,71,24971,21638,93.3,90,2
S31966,Harbor Motor Group,Harbor Toyota Bayview,new,Toyota,Tundra,2026,71,32367,29623,95.3,53,5
S30835,Summit Auto Group,Summit Chevrolet Glenpark,new,Chevrolet,Tahoe,2026,71,28129,26582,96.4,13,0
S30355,Summit Auto Group,Summit Honda Westland,used,Honda,Odyssey,2023,71,29000,26609,96.9,170,0
S30414,Summit Auto Group,Summit Honda Westland,used,Honda,Civic,2018,71,25254,24160,102.5,361,5
S31546,Summit Auto Group,Summit Jeep Ram Clearwater,used,Jeep Ram,Ram 1500,2019,71,27935,24800,96.0,298,2
S30050,Summit Auto Group,Summit Toyota of Fairview,used,Nissan,Pathfinder,2019,71,17640,16770,95.6,18,2
S30153,Summit Auto Group,Summit Toyota of Fairview,used,Toyota,Tacoma,2018,71,31585,30175,97.4,2,0
S32219,Harbor Motor Group,Harbor Honda Seaside,used,Honda,Pilot,2020,70,18145,16897,99.6,105,1
S32241,Harbor Motor Group,Harbor Honda Seaside,new,Honda,Civic,2026,70,45196,42297,98.5,105,0
S32298,Harbor Motor Group,Harbor Honda Seaside,used,Honda,Accord,2018,70,31717,29197,93.9,416,0
S33066,Harbor Motor Group,Harbor Jeep Ram Anchor,new,Jeep Ram,Ram 1500,2026,70,40802,38696,95.8,293,2
S32959,Harbor Motor Group,Harbor Subaru Tidewater,used,Kia,Seltos,2022,70,20506,17655,103.3,40,2
S32999,Harbor Motor Group,Harbor Subaru Tidewater,new,Subaru,Outback,2026,70,48635,46757,93.1,2,3
S31930,Summit Auto Group,Summit BMW,new,BMW,X5,2026,70,47092,42752,101.1,7,0
S30579,Summit Auto Group,Summit Ford Rivera,used,Ford,Explorer,2025,70,21901,19157,101.5,12,1
S30645,Summit Auto Group,Summit Ford Rivera,new,Ford,Mustang,2026,70,44298,40695,95.2,228,1
S31012,Summit Auto Group,Summit Hyundai Oakhurst,new,Hyundai,Elantra,2026,70,43015,40008,99.0,152,1
S31110,Summit Auto Group,Summit Hyundai Oakhurst,new,Hyundai,Sonata,2026,70,35106,31462,105.6,305,2
S31609,Summit Auto Group,Summit Jeep Ram Clearwater,new,Jeep Ram,Ram 2500,2026,70,36436,32435,99.3,221,3
S31185,Summit Auto Group,Summit Kia Brookfield,new,Kia,Telluride,2026,70,43545,41838,96.9,93,2
S31333,Summit Auto Group,Summit Mazda Lakeside,new,Mazda,CX-30,2026,70,47602,43264,94.1,102,0
S30913,Summit Auto Group,Summit Nissan Ridgemont,used,Nissan,Pathfinder,2023,70,26999,25241,96.3,28,5
S31391,Summit Auto Group,Summit Subaru Northgate,new,Subaru,Outback,2026,70,36967,32435,105.8,347,1
S31393,Summit Auto Group,Summit Subaru Northgate,new,Subaru,Ascent,2026,70,33849,31058,103.3,73,5
S31485,Summit Auto Group,Summit Subaru Northgate,new,Subaru,Outback,2026,70,30085,29130,100.0,186,3
S31496,Summit Auto Group,Summit Subaru Northgate,new,Subaru,Impreza,2026,70,38086,36545,96.7,345,2
S30181,Summit Auto Group,Summit Toyota of Fairview,used,Toyota,Tacoma,2020,70,18622,17600,96.3,333,1
S31722,Summit Auto Group,Summit Volkswagen Eastdale,new,Volkswagen,Atlas,2026,70,40799,38971,96.2,100,1
S31763,Summit Auto Group,Summit Volkswagen Eastdale,used,Volkswagen,Tiguan,2019,70,30862,26961,101.9,36,0
S33163,Harbor Motor Group,Harbor BMW,new,BMW,3 Series,2026,69,80257,70542,101.5,65,0
S32742,Harbor Motor Group,Harbor Chevrolet Marina,used,Chevrolet,Malibu,2025,69,23462,21160,93.7,292,1
S32220,Harbor Motor Group,Harbor Honda Seaside,new,Honda,Civic,2026,69,39504,37481,93.3,7,0
S32813,Harbor Motor Group,Harbor Kia Lighthouse,new,Kia,K5,2026,69,37327,32288,97.3,88,1
S32079,Harbor Motor Group,Harbor Toyota Bayview,new,Toyota,Highlander,2026,69,46777,44493,104.0,40,0
S32091,Harbor Motor Group,Harbor Toyota Bayview,used,Kia,K5,2021,69,19021,17175,102.8,119,3
S30572,Summit Auto Group,Summit Ford Rivera,new,Ford,F-150,2026,69,31450,30274,97.9,155,1
S30358,Summit Auto Group,Summit Honda Westland,used,Honda,Accord,2025,69,30507,29214,93.1,24,0
S30381,Summit Auto Group,Summit Honda Westland,used,Honda,CR-V,2019,69,27079,25587,102.4,348,0
S30383,Summit Auto Group,Summit Honda Westland,new,Honda,Civic,2026,69,40210,35574,98.5,18,0
S31326,Summit Auto Group,Summit Mazda Lakeside,used,Mazda,Mazda3,2019,69,17309,15797,94.2,269,2
S32431,Harbor Motor Group,Harbor Ford Portside,used,Ford,Mustang,2019,68,25167,23965,102.4,20,0
S32432,Harbor Motor Group,Harbor Ford Portside,used,Honda,Civic,2023,68,27217,24019,105.1,65,0
S32455,Harbor Motor Group,Harbor Ford Portside,new,Ford,F-150,2026,68,39161,35231,102.7,208,5
S32287,Harbor Motor Group,Harbor Honda Seaside,new,Honda,HR-V,2026,68,50973,47324,100.3,127,0
S32332,Harbor Motor Group,Harbor Honda Seaside,new,Honda,CR-V,2026,68,46472,42699,105.0,50,0
S33004,Harbor Motor Group,Harbor Jeep Ram Anchor,used,Jeep Ram,Ram 1500,2025,68,21846,19603,94.0,85,0
S32838,Harbor Motor Group,Harbor Kia Lighthouse,used,Kia,Sportage,2022,68,19474,18589,100.7,71,2
S31990,Harbor Motor Group,Harbor Toyota Bayview,used,Toyota,Camry,2025,68,22334,21602,97.1,73,3
S31879,Summit Auto Group,Summit BMW,used,Jeep Ram,Ram 2500,2019,68,47127,44443,94.2,86,2
S31893,Summit Auto Group,Summit BMW,new,BMW,X1,2026,68,77469,66794,93.3,162,0
S30792,Summit Auto Group,Summit Chevrolet Glenpark,new,Chevrolet,Traverse,2026,68,48913,47012,99.5,142,1
S30344,Summit Auto Group,Summit Honda Westland,new,Honda,Odyssey,2026,68,41629,36133,104.4,46,0
S31133,Summit Auto Group,Summit Hyundai Oakhurst,used,Hyundai,Elantra,2024,68,29630,26846,99.7,24,1
S30888,Summit Auto Group,Summit Nissan Ridgemont,used,Nissan,Pathfinder,2025,68,23125,20555,95.4,16,1
S31460,Summit Auto Group,Summit Subaru Northgate,new,Subaru,Forester,2026,68,32860,29528,97.8,199,2
S30058,Summit Auto Group,Summit Toyota of Fairview,new,Toyota,Tacoma,2026,68,37070,34131,93.4,112,2
S30078,Summit Auto Group,Summit Toyota of Fairview,new,Toyota,Tacoma,2026,68,39116,37413,96.0,503,5
S30097,Summit Auto Group,Summit Toyota of Fairview,new,Toyota,Camry,2026,68,33111,30264,99.1,146,3
S30135,Summit Auto Group,Summit Toyota of Fairview,used,Subaru,Outback,2021,68,29598,26011,99.3,56,2
S31732,Summit Auto Group,Summit Volkswagen Eastdale,new,Volkswagen,ID.4,2026,68,46713,44162,99.4,470,1
S33302,Harbor Motor Group,Harbor BMW,new,BMW,i4,2026,67,55878,49855,104.4,24,1
S32420,Harbor Motor Group,Harbor Ford Portside,used,Ford,Escape,2022,67,17553,16991,95.1,215,1
S32208,Harbor Motor Group,Harbor Honda Seaside,used,Nissan,Pathfinder,2020,67,26274,23184,102.3,97,3
S32358,Harbor Motor Group,Harbor Honda Seaside,new,Honda,Pilot,2026,67,38101,34024,99.5,40,2
S33074,Harbor Motor Group,Harbor Jeep Ram Anchor,used,Jeep Ram,Gladiator,2023,67,23027,20320,95.2,235,0
S33119,Harbor Motor Group,Harbor Jeep Ram Anchor,new,Jeep Ram,Ram 2500,2026,67,40378,36501,94.9,67,0
S32957,Harbor Motor Group,Harbor Subaru Tidewater,used,Jeep Ram,Compass,2019,67,19084,17145,102.1,3,5
S32970,Harbor Motor Group,Harbor Subaru Tidewater,new,Subaru,Impreza,2026,67,49460,43127,94.3,192,1
S31861,Summit Auto Group,Summit BMW,new,BMW,5 Series,2026,67,55181,50582,102.5,65,5
S31957,Summit Auto Group,Summit BMW,used,BMW,X5,2020,67,41735,38630,98.4,233,5
S30470,Summit Auto Group,Summit Ford Rivera,new,Ford,Mustang,2026,67,28571,25494,104.8,66,0
S30482,Summit Auto Group,Summit Ford Rivera,new,Ford,Mustang,2026,67,47049,43536,98.8,359,2
S30616,Summit Auto Group,Summit Ford Rivera,used,Honda,Accord,2018,67,20721,18972,94.1,320,3
S31595,Summit Auto Group,Summit Jeep Ram Clearwater,used,Jeep Ram,Wrangler,2019,67,17953,16446,102.2,51,2
S31224,Summit Auto Group,Summit Kia Brookfield,new,Kia,Seltos,2026,67,40231,36296,94.9,82,0
S31334,Summit Auto Group,Summit Mazda Lakeside,new,Mazda,CX-30,2026,67,32772,31342,98.2,103,0
S31337,Summit Auto Group,Summit Mazda Lakeside,new,Mazda,MX-5,2026,67,50922,44441,105.0,187,1
S31347,Summit Auto Group,Summit Mazda Lakeside,used,Kia,Sorento,2021,67,25767,24742,98.0,116,3
S30894,Summit Auto Group,Summit Nissan Ridgemont,new,Nissan,Pathfinder,2026,67,35192,32907,104.2,55,3
S30958,Summit Auto Group,Summit Nissan Ridgemont,new,Nissan,Altima,2026,67,28679,26510,99.7,86,1
S30959,Summit Auto Group,Summit Nissan Ridgemont,new,Nissan,Pathfinder,2026,67,28178,26054,94.2,230,0
S31690,Summit Auto Group,Summit Volkswagen Eastdale,new,Volkswagen,ID.4,2026,67,37991,32826,99.4,378,2
S31695,Summit Auto Group,Summit Volkswagen Eastdale,used,Volkswagen,ID.4,2025,67,21654,20712,93.4,296,0
S31754,Summit Auto Group,Summit Volkswagen Eastdale,new,Volkswagen,Jetta,2026,67,39822,34842,100.2,194,2
S32596,Harbor Motor Group,Harbor Chevrolet Marina,used,Ford,Maverick,2020,66,17445,15071,102.1,32,2
S32682,Harbor Motor Group,Harbor Chevrolet Marina,new,Chevrolet,Traverse,2026,66,49884,48332,94.7,339,0
S32474,Harbor Motor Group,Harbor Ford Portside,new,Ford,Explorer,2026,66,41793,38733,99.2,35,0
S32297,Harbor Motor Group,Harbor Honda Seaside,new,Honda,Civic,2026,66,33149,28915,97.9,39,1
S32325,Harbor Motor Group,Harbor Honda Seaside,new,Honda,Accord,2026,66,29058,25383,95.0,73,0
S32947,Harbor Motor Group,Harbor Subaru Tidewater,used,Subaru,Outback,2018,66,26188,24893,105.3,37,0
S32965,Harbor Motor Group,Harbor Subaru Tidewater,new,Subaru,Impreza,2026,66,45523,40467,103.1,99,0
S32972,Harbor Motor Group,Harbor Subaru Tidewater,used,Subaru,Forester,2023,66,22918,22125,105.8,189,1
S31973,Harbor Motor Group,Harbor Toyota Bayview,used,Jeep Ram,Wrangler,2020,66,27525,26504,102.1,31,3
S32125,Harbor Motor Group,Harbor Toyota Bayview,used,Chevrolet,Silverado,2018,66,27769,26378,96.7,236,0
S32132,Harbor Motor Group,Harbor Toyota Bayview,new,Toyota,Tundra,2026,66,46747,41734,93.9,8,0
S32138,Harbor Motor Group,Harbor Toyota Bayview,new,Toyota,Camry,2026,66,30357,26876,98.3,751,5
S32163,Harbor Motor Group,Harbor Toyota Bayview,used,Toyota,Corolla,2018,66,21129,19309,105.0,92,1
S31801,Summit Auto Group,Summit BMW,new,BMW,3 Series,2026,66,67666,64568,97.5,363,0
S31854,Summit Auto Group,Summit BMW,used,BMW,X3,2024,66,31732,29919,99.1,355,1
S30695,Summit Auto Group,Summit Chevrolet Glenpark,used,Chevrolet,Malibu,2025,66,22269,21035,102.0,105,5
S30803,Summit Auto Group,Summit Chevrolet Glenpark,new,Chevrolet,Silverado,2026,66,50989,46634,94.7,38,0
S30529,Summit Auto Group,Summit Ford Rivera,new,Ford,Maverick,2026,66,30675,28815,97.8,362,2
S30537,Summit Auto Group,Summit Ford Rivera,used,Hyundai,Santa Fe,2021,66,23844,22438,100.8,49,2
S30582,Summit Auto Group,Summit Ford Rivera,new,Ford,Mustang,2026,66,29916,26142,103.4,30,5
S30243,Summit Auto Group,Summit Honda Westland,used,Toyota,Highlander,2024,66,17904,15905,104.8,17,0
S30340,Summit Auto Group,Summit Honda Westland,new,Honda,Odyssey,2026,66,37524,32344,96.5,13,2
S31060,Summit Auto Group,Summit Hyundai Oakhurst,new,Hyundai,Tucson,2026,66,50941,47832,93.8,39,1
S31075,Summit Auto Group,Summit Hyundai Oakhurst,used,Hyundai,Sonata,2020,66,23030,21700,94.7,83,0
S31145,Summit Auto Group,Summit Hyundai Oakhurst,used,Hyundai,Sonata,2020,66,20839,18900,97.5,128,0
S31614,Summit Auto Group,Summit Jeep Ram Clearwater,new,Jeep Ram,Ram 1500,2026,66,28388,25675,103.9,143,0
S31323,Summit Auto Group,Summit Mazda Lakeside,used,Kia,Telluride,2019,66,24309,21413,97.6,46,0
S31456,Summit Auto Group,Summit Subaru Northgate,used,Ford,F-150,2021,66,30374,29027,105.1,60,1
S31482,Summit Auto Group,Summit Subaru Northgate,used,BMW,i4,2020,66,26400,23324,94.0,148,1
S33208,Harbor Motor Group,Harbor BMW,new,BMW,X3,2026,65,71367,65002,97.9,311,5
S31084,Summit Auto Group,Summit Hyundai Oakhurst,new,Hyundai,Kona,2026,65,28562,25534,96.1,109,0
S31621,Summit Auto Group,Summit Jeep Ram Clearwater,new,Jeep Ram,Wrangler,2026,65,47058,42776,94.8,104,1
S31644,Summit Auto Group,Summit Jeep Ram Clearwater,used,Jeep Ram,Grand Cherokee,2022,65,32127,29332,97.8,252,0
S31162,Summit Auto Group,Summit Kia Brookfield,new,Kia,Forte,2026,65,28517,26382,105.2,15,5
S31200,Summit Auto Group,Summit Kia Brookfield,used,Kia,Seltos,2023,65,17764,15806,102.2,197,0
S30057,Summit Auto Group,Summit Toyota of Fairview,used,Subaru,WRX,2019,65,23189,21216,97.1,402,1
S31699,Summit Auto Group,Summit Volkswagen Eastdale,new,Volkswagen,Golf GTI,2026,65,40401,35452,98.1,64,0
S33168,Harbor Motor Group,Harbor BMW,used,BMW,X1,2024,64,28551,25892,105.2,555,1
S32606,Harbor Motor Group,Harbor Chevrolet Marina,used,Chevrolet,Equinox,2023,64,20843,18533,104.4,31,0
S32763,Harbor Motor Group,Harbor Chevrolet Marina,new,Chevrolet,Malibu,2026,64,33402,29204,103.9,319,2
S32505,Harbor Motor Group,Harbor Ford Portside,new,Ford,Bronco,2026,64,35172,34111,101.5,63,3
S32564,Harbor Motor Group,Harbor Ford Portside,used,Ford,Escape,2020,64,22779,20425,96.0,104,5
S32337,Harbor Motor Group,Harbor Honda Seaside,used,Honda,Accord,2020,64,30087,27021,99.7,356,0
S32009,Harbor Motor Group,Harbor Toyota Bayview,used,Toyota,Tacoma,2022,64,32136,29509,104.4,63,0
S32043,Harbor Motor Group,Harbor Toyota Bayview,used,BMW,X3,2023,64,17214,15964,99.1,101,3
S30671,Summit Auto Group,Summit Chevrolet Glenpark,used,Hyundai,Santa Fe,2019,64,25782,23131,98.2,860,0
S30717,Summit Auto Group,Summit Chevrolet Glenpark,new,Chevrolet,Equinox,2026,64,27210,24243,100.3,278,3
S30447,Summit Auto Group,Summit Ford Rivera,used,Jeep Ram,Gladiator,2022,64,28840,27651,95.2,74,0
S30554,Summit Auto Group,Summit Ford Rivera,new,Ford,Maverick,2026,64,39793,36975,104.6,918,3
S31096,Summit Auto Group,Summit Hyundai Oakhurst,new,Hyundai,Sonata,2026,64,44261,42351,97.4,58,3
S31116,Summit Auto Group,Summit Hyundai Oakhurst,new,Hyundai,Tucson,2026,64,29643,25715,99.3,134,1
S31150,Summit Auto Group,Summit Kia Brookfield,used,Kia,Sportage,2020,64,27074,25831,98.3,793,0
S31291,Summit Auto Group,Summit Mazda Lakeside,used,Mazda,MX-5,2024,64,21309,20032,99.8,109,1
S31366,Summit Auto Group,Summit Mazda Lakeside,new,Mazda,CX-50,2026,64,41729,38259,97.8,358,1
S30866,Summit Auto Group,Summit Nissan Ridgemont,used,Jeep Ram,Compass,2023,64,27337,25605,100.9,22,1
S30901,Summit Auto Group,Summit Nissan Ridgemont,used,Nissan,Altima,2021,64,26532,24247,104.0,239,0
S33291,Harbor Motor Group,Harbor BMW,used,BMW,X3,2023,63,32838,31108,95.8,105,0
S32710,Harbor Motor Group,Harbor Chevrolet Marina,used,Jeep Ram,Gladiator,2019,63,27687,23860,98.0,107,1
S32446,Harbor Motor Group,Harbor Ford Portside,used,Ford,F-150,2022,63,17138,16073,96.5,491,1
S32466,Harbor Motor Group,Harbor Ford Portside,new,Ford,Maverick,2026,63,36584,34360,101.4,2,5
S32481,Harbor Motor Group,Harbor Ford Portside,used,Ford,Maverick,2019,63,21469,20773,94.2,272,5
S32314,Harbor Motor Group,Harbor Honda Seaside,new,Honda,Civic,2026,63,30450,27381,95.3,26,3
S32331,Harbor Motor Group,Harbor Honda Seaside,used,Honda,Pilot,2021,63,31134,27013,103.9,8,1
S32065,Harbor Motor Group,Harbor Toyota Bayview,new,Toyota,RAV4,2026,63,49499,47406,97.4,206,0
S32136,Harbor Motor Group,Harbor Toyota Bayview,used,Chevrolet,Tahoe,2022,63,25083,22615,99.5,453,1
S31823,Summit Auto Group,Summit BMW,new,BMW,X1,2026,63,63837,60162,103.2,103,5
S31824,Summit Auto Group,Summit BMW,used,BMW,X3,2021,63,49883,43043,98.3,366,0
S31827,Summit Auto Group,Summit BMW,new,BMW,X3,2026,63,46252,43261,95.3,19,0
S30764,Summit Auto Group,Summit Chevrolet Glenpark,new,Chevrolet,Trax,2026,63,32817,30813,95.6,160,3
S30768,Summit Auto Group,Summit Chevrolet Glenpark,new,Chevrolet,Traverse,2026,63,34069,32137,100.7,156,3
S30466,Summit Auto Group,Summit Ford Rivera,new,Ford,Explorer,2026,63,39771,37453,95.6,316,0
S30519,Summit Auto Group,Summit Ford Rivera,used,Ford,Maverick,2019,63,30029,28337,96.5,21,2
S30619,Summit Auto Group,Summit Ford Rivera,new,Ford,Bronco,2026,63,45988,42503,103.3,69,2
S30293,Summit Auto Group,Summit Honda Westland,new,Honda,HR-V,2026,63,49437,47949,105.9,61,0
S30294,Summit Auto Group,Summit Honda Westland,new,Honda,Odyssey,2026,63,41520,36500,98.5,27,0
S31067,Summit Auto Group,Summit Hyundai Oakhurst,new,Hyundai,Sonata,2026,63,41992,38253,95.9,10,3
S31068,Summit Auto Group,Summit Hyundai Oakhurst,new,Hyundai,Tucson,2026,63,40068,38761,101.2,342,0
S31118,Summit Auto Group,Summit Hyundai Oakhurst,new,Hyundai,Palisade,2026,63,48515,46453,98.4,84,1
S31622,Summit Auto Group,Summit Jeep Ram Clearwater,used,Jeep Ram,Ram 1500,2023,63,29734,26973,102.4,128,5
S31651,Summit Auto Group,Summit Jeep Ram Clearwater,new,Jeep Ram,Gladiator,2026,63,46315,44631,104.2,162,2
S31230,Summit Auto Group,Summit Kia Brookfield,used,Kia,Seltos,2024,63,23403,20394,98.3,54,2
S31306,Summit Auto Group,Summit Mazda Lakeside,used,Jeep Ram,Compass,2019,63,18852,17707,105.4,203,1
S31351,Summit Auto Group,Summit Mazda Lakeside,new,Mazda,CX-50,2026,63,26731,23494,102.3,380,5
S30955,Summit Auto Group,Summit Nissan Ridgemont,new,Nissan,Altima,2026,63,31775,30779,98.0,138,0
S30186,Summit Auto Group,Summit Toyota of Fairview,used,Hyundai,Kona,2021,63,17163,15619,97.3,108,1
S33170,Harbor Motor Group,Harbor BMW,new,BMW,3 Series,2026,62,77498,72533,95.7,19,1
S32741,Harbor Motor Group,Harbor Chevrolet Marina,new,Chevrolet,Traverse,2026,62,50376,48757,95.0,617,0
S33051,Harbor Motor Group,Harbor Jeep Ram Anchor,used,Jeep Ram,Grand Cherokee,2024,62,20111,18727,93.4,168,2
S32887,Harbor Motor Group,Harbor Kia Lighthouse,used,Kia,Forte,2025,62,26356,22931,96.8,192,0
S32949,Harbor Motor Group,Harbor Subaru Tidewater,used,Subaru,Outback,2024,62,17734,17104,105.2,88,1
S31993,Harbor Motor Group,Harbor Toyota Bayview,new,Toyota,RAV4,2026,62,28246,24291,96.5,59,0
S31909,Summit Auto Group,Summit BMW,new,BMW,X5,2026,62,57528,51877,100.1,22,5
S30746,Summit Auto Group,Summit Chevrolet Glenpark,new,Chevrolet,Malibu,2026,62,47109,45300,105.3,274,1
S30476,Summit Auto Group,Summit Ford Rivera,used,Chevrolet,Silverado,2020,62,22322,20978,101.0,409,0
S30530,Summit Auto Group,Summit Ford Rivera,new,Ford,Explorer,2026,62,47051,44372,93.6,323,0
S30359,Summit Auto Group,Summit Honda Westland,new,Honda,Accord,2026,62,48684,43336,97.2,12,0
S31082,Summit Auto Group,Summit Hyundai Oakhurst,new,Hyundai,Palisade,2026,62,28142,26731,103.8,3,1
S31573,Summit Auto Group,Summit Jeep Ram Clearwater,used,Jeep Ram,Compass,2024,62,23304,20096,104.3,126,0
S31615,Summit Auto Group,Summit Jeep Ram Clearwater,used,Jeep Ram,Compass,2022,62,21513,20344,94.6,39,3
S31663,Summit Auto Group,Summit Jeep Ram Clearwater,new,Jeep Ram,Gladiator,2026,62,37263,35391,104.1,138,0
S31155,Summit Auto Group,Summit Kia Brookfield,used,Toyota,RAV4,2023,62,21339,20429,97.6,480,2
S31318,Summit Auto Group,Summit Mazda Lakeside,used,Nissan,Pathfinder,2024,62,18641,17214,96.4,41,0
S31376,Summit Auto Group,Summit Mazda Lakeside,new,Mazda,CX-50,2026,62,40629,36779,105.3,105,0
S30990,Summit Auto Group,Summit Nissan Ridgemont,new,Nissan,Altima,2026,62,34224,29604,99.3,3,3
S31454,Summit Auto Group,Summit Subaru Northgate,new,Subaru,Ascent,2026,62,39313,36321,95.2,53,1
S30002,Summit Auto Group,Summit Toyota of Fairview,new,Toyota,Highlander,2026,62,29953,25952,95.7,251,0
S30201,Summit Auto Group,Summit Toyota of Fairview,used,Jeep Ram,Ram 2500,2023,62,16976,15395,102.6,128,0
S32390,Harbor Motor Group,Harbor Ford Portside,used,Kia,Sportage,2023,61,17480,16413,98.3,106,5
S33030,Harbor Motor Group,Harbor Jeep Ram Anchor,used,Jeep Ram,Ram 2500,2023,61,24339,22247,99.0,44,1
S31783,Summit Auto Group,Summit BMW,new,BMW,X3,2026,61,77270,74629,93.4,80,5
S30255,Summit Auto Group,Summit Honda Westland,used,Honda,CR-V,2018,61,27672,25596,102.9,92,1
S30339,Summit Auto Group,Summit Honda Westland,used,Subaru,Forester,2018,61,22123,19278,97.8,67,0
S31078,Summit Auto Group,Summit Hyundai Oakhurst,used,Hyundai,Elantra,2025,61,24359,21953,105.2,2,3
S31580,Summit Auto Group,Summit Jeep Ram Clearwater,used,Jeep Ram,Gladiator,2024,61,23114,21953,96.2,279,5
S30909,Summit Auto Group,Summit Nissan Ridgemont,new,Nissan,Kicks,2026,61,38998,36387,96.6,257,0
S31671,Summit Auto Group,Summit Volkswagen Eastdale,new,Volkswagen,Jetta,2026,61,34790,31919,93.4,21,0
S31724,Summit Auto Group,Summit Volkswagen Eastdale,new,Volkswagen,ID.4,2026,61,36030,32372,99.2,127,1
S32504,Harbor Motor Group,Harbor Ford Portside,new,Ford,Explorer,2026,60,46985,42021,102.1,14,1
S32507,Harbor Motor Group,Harbor Ford Portside,used,Hyundai,Elantra,2021,60,17431,15972,94.3,90,0
S32243,Harbor Motor Group,Harbor Honda Seaside,new,Honda,HR-V,2026,60,43070,39622,97.4,15,1
S32380,Harbor Motor Group,Harbor Honda Seaside,new,Honda,Accord,2026,60,29943,26108,96.6,55,5
S33141,Harbor Motor Group,Harbor Jeep Ram Anchor,used,BMW,X5,2022,60,17279,15326,95.3,5,1
S32894,Harbor Motor Group,Harbor Subaru Tidewater,new,Subaru,WRX,2026,60,39188,37556,96.5,260,5
S31971,Harbor Motor Group,Harbor Toyota Bayview,new,Toyota,Highlander,2026,60,27742,26544,94.9,76,1
S32187,Harbor Motor Group,Harbor Toyota Bayview,new,Toyota,RAV4,2026,60,30617,27154,105.4,86,2
S31041,Summit Auto Group,Summit Hyundai Oakhurst,used,Jeep Ram,Grand Cherokee,2021,60,18321,16514,102.9,173,2
S31055,Summit Auto Group,Summit Hyundai Oakhurst,new,Hyundai,Tucson,2026,60,40456,36152,101.6,224,0
S31080,Summit Auto Group,Summit Hyundai Oakhurst,new,Hyundai,Sonata,2026,60,31428,28756,103.7,92,1
S31502,Summit Auto Group,Summit Jeep Ram Clearwater,new,Jeep Ram,Gladiator,2026,60,45772,41484,104.3,125,3
S30007,Summit Auto Group,Summit Toyota of Fairview,used,Toyota,Tundra,2021,60,19453,17065,99.8,113,1
S30116,Summit Auto Group,Summit Toyota of Fairview,new,Toyota,Tundra,2026,60,46108,44612,93.5,168,0
S30133,Summit Auto Group,Summit Toyota of Fairview,new,Toyota,RAV4,2026,60,44165,41222,99.6,40,2
S32530,Harbor Motor Group,Harbor Ford Portside,new,Ford,F-150,2026,59,36301,34712,94.6,247,0
S32317,Harbor Motor Group,Harbor Honda Seaside,new,Honda,HR-V,2026,59,31934,30824,95.0,38,5
S33073,Harbor Motor Group,Harbor Jeep Ram Anchor,used,Jeep Ram,Ram 2500,2023,59,31990,28205,101.2,88,0
S32774,Harbor Motor Group,Harbor Kia Lighthouse,new,Kia,Sorento,2026,59,46986,45345,103.4,650,1
S32780,Harbor Motor Group,Harbor Kia Lighthouse,used,Honda,CR-V,2023,59,28658,26765,100.1,519,1
S32817,Harbor Motor Group,Harbor Kia Lighthouse,used,Jeep Ram,Gladiator,2021,59,26078,23104,98.6,4,1
S32021,Harbor Motor Group,Harbor Toyota Bayview,used,Subaru,Crosstrek,2024,59,21848,19206,99.9,377,1
S30727,Summit Auto Group,Summit Chevrolet Glenpark,new,Chevrolet,Tahoe,2026,59,48842,42330,102.2,473,0
S30831,Summit Auto Group,Summit Chevrolet Glenpark,new,Chevrolet,Tahoe,2026,59,47624,46166,101.4,46,2
S30454,Summit Auto Group,Summit Ford Rivera,used,Kia,Forte,2023,59,27895,26833,104.5,383,1
S30535,Summit Auto Group,Summit Ford Rivera,used,Ford,Explorer,2024,59,20177,17631,93.4,5,3
